phred	base_count
1	2541
2	287967
3	10796310
4	18220544
5	16491858
6	15649811
7	15470192
8	15705646
9	16205363
10	16882299
11	17841473
12	18996183
13	20306189
14	21780139
15	23323708
16	24950566
17	26620268
18	28445199
19	30491690
20	32930327
21	35494723
22	38250455
23	41262043
24	44644535
25	48109558
26	51124112
27	53664346
28	55796303
29	58306822
30	62107833
31	66175522
32	70117452
33	72917657
34	76331157
35	80653062
36	86044038
37	89224035
38	92966194
39	98750140
40	105863865
41	113647675
42	121319602
43	129546566
44	129920830
45	129413823
46	130382508
47	134409235
48	138220227
49	141255679
50	148631643
51	159078328
52	168490312
53	168974858
54	165806816
55	159022486
56	156319441
57	156186588
58	157891005
59	162579445
60	170456031
61	178799334
62	185636980
63	194003430
64	199050601
65	201876901
66	198549117
67	190018161
68	180543581
69	173555353
70	168326282
71	166868648
72	167655889
73	170018178
74	174728714
75	180407929
76	185451092
77	189847132
78	195332720
79	193821538
80	189205558
81	184410043
82	178527949
83	172660060
84	169832541
85	167870459
86	166451949
87	166069177
88	167441477
89	169156684
90	170394630
91	172878494
92	172607444
93	14570926162
