length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	22	20	1
0	25	20	1
0	32	35	1
0	36	30	1
0	37	25	1
0	38	20	1
0	39	20	1
0	39	30	2
0	40	20	1
0	40	25	1
0	42	20	1
0	42	30	1
0	42	70	1
0	43	30	1
0	45	90	1
0	47	90	1
0	49	20	1
0	54	90	1
0	55	25	1
0	56	25	1
0	58	25	1
0	58	30	1
1	31	40	1
1	32	70	1
1	34	25	1
1	34	30	2
1	35	35	1
1	35	85	1
1	35	90	1
1	36	90	2
1	37	20	1
1	37	65	1
1	38	20	2
1	38	40	1
1	38	60	1
1	38	70	1
1	38	90	2
1	39	20	1
1	39	25	2
1	39	30	1
1	39	40	1
1	39	50	1
1	39	55	1
1	39	90	2
1	40	25	1
1	40	35	3
1	40	55	1
1	40	90	2
1	41	20	2
1	41	55	1
1	41	85	1
1	41	90	2
1	42	20	2
1	42	30	1
1	42	45	1
1	42	85	1
1	42	90	1
1	43	20	2
1	43	35	1
1	43	45	3
1	43	70	1
1	43	80	1
1	43	90	2
1	44	35	1
1	44	55	1
1	44	65	1
1	44	90	2
1	45	35	2
1	45	55	1
1	45	90	5
1	46	20	1
1	46	35	1
1	46	65	1
1	46	90	1
1	47	20	1
1	47	25	1
1	47	35	1
1	47	40	1
1	47	90	1
1	48	30	1
1	48	50	1
1	49	75	1
1	49	80	1
1	49	85	1
1	49	90	1
1	50	90	1
1	51	20	1
1	51	50	1
1	51	65	1
1	51	90	2
1	52	70	1
1	53	35	1
1	53	65	1
1	53	90	1
1	54	30	1
1	55	20	2
1	57	40	1
1	57	90	1
1	58	35	1
1	58	45	1
1	59	25	1
1	59	90	1
1	60	20	2
1	61	25	1
1	64	35	1
1	64	90	1
1	66	30	1
2	34	90	1
2	35	35	1
2	36	20	1
2	36	30	2
2	37	40	1
2	37	70	1
2	38	20	1
2	38	40	1
2	39	20	1
2	40	75	1
2	41	20	1
2	41	40	2
2	41	60	1
2	41	75	1
2	41	80	1
2	41	85	1
2	41	90	2
2	42	25	1
2	42	30	1
2	42	35	1
2	42	70	1
2	42	80	1
2	43	30	1
2	43	45	1
2	43	60	1
2	43	70	1
2	43	90	1
2	44	50	1
2	44	65	1
2	45	20	1
2	45	25	2
2	45	45	1
2	45	90	1
2	46	35	1
2	46	40	1
2	46	55	1
2	46	90	1
2	47	45	1
2	47	60	1
2	48	35	2
2	48	40	1
2	48	90	1
2	49	25	1
2	49	35	1
2	49	40	1
2	49	45	1
2	49	80	1
2	49	90	1
2	50	25	1
2	50	90	1
2	51	40	1
2	51	50	1
2	51	90	1
2	52	30	1
2	52	35	1
2	52	40	1
2	52	50	1
2	53	85	1
