length_bp	read_count
118	1
193	1
207	1
208	1
250	1
269	1
305	1
351	1
356	1
383	1
391	1
577	1
618	1
621	1
635	1
714	1
716	1
787	1
803	1
817	1
862	1
977	1
988	1
1008	1
1012	1
1013	1
1026	1
1039	1
1070	1
1077	1
1078	1
1096	1
1104	1
1118	1
1121	1
1128	1
1135	1
1145	1
1169	1
1176	1
1246	1
1254	1
1278	1
1284	1
1290	1
1304	1
1316	2
1319	1
1320	1
1327	1
1328	1
1330	1
1339	1
1349	1
1356	1
1363	1
1364	1
1367	1
1368	1
1377	1
1382	1
1391	1
1404	1
1408	1
1411	1
1412	1
1421	1
1435	1
1448	1
1450	1
1457	1
1467	1
1471	1
1485	1
1496	1
1497	1
1507	1
1508	1
1523	1
1524	1
1533	1
1547	1
1551	1
1553	1
1554	1
1555	1
1557	1
1566	1
1576	1
1577	1
1579	1
1585	2
1588	1
1593	1
1600	1
1621	1
1622	1
1627	1
1645	2
1647	1
1653	1
1664	1
1702	1
1704	1
1705	1
1710	2
1727	1
1731	1
1738	1
1739	3
1742	1
1746	1
1750	2
1760	1
1773	1
1785	1
1790	1
1805	1
1864	1
1900	1
1914	1
1923	1
1943	1
1952	1
1993	1
1994	1
2003	1
2006	1
2013	1
2022	1
2023	1
2034	1
2063	1
2070	1
2101	1
2107	1
2119	1
2151	1
2210	2
2221	1
2249	1
2254	1
2257	1
2263	1
2271	1
2275	1
2278	1
2302	1
2352	1
2394	1
2403	1
2405	1
2410	1
2417	2
2428	1
2430	1
2436	1
2460	1
2464	1
2470	1
2491	1
2515	1
2522	1
2534	1
2614	1
2627	1
2630	1
2638	1
2640	1
2642	1
2643	1
2651	1
2713	1
2747	1
2762	1
2791	1
2823	1
2824	1
2837	1
2844	1
2845	1
2857	1
2862	1
2867	1
2868	1
2912	1
2918	1
2932	2
2945	1
2962	1
2969	1
2995	1
2999	1
3013	1
3020	1
3029	3
3031	1
3043	1
3053	1
3073	1
3110	1
3122	1
3132	1
3137	1
3143	1
3148	1
3162	1
3173	1
3178	1
3185	1
3199	1
3216	1
3251	1
3300	1
3325	1
3330	1
3335	2
3349	1
3353	1
3359	1
3366	1
3381	1
3382	1
3396	1
3402	1
3427	1
3437	1
3442	1
3469	1
3476	1
3481	1
3492	1
3513	1
3514	1
3515	1
3518	1
3519	1
3536	1
3566	1
3571	1
3612	1
3613	1
3616	1
3621	1
3626	1
3628	1
3629	1
3638	1
3650	1
3656	1
3660	1
3668	1
3674	1
3680	1
3687	1
3709	1
3718	1
3721	1
3732	1
3752	1
3760	1
3762	1
3767	1
3772	1
3781	1
3785	1
3787	1
3789	1
3810	1
3819	1
3822	1
3826	1
3834	1
3837	1
3842	1
3849	1
3860	1
3868	1
3870	1
3871	1
3872	1
3889	1
3893	1
3910	1
3921	1
3925	1
3930	1
3934	1
3938	1
3941	1
3956	1
3960	1
3961	1
3966	1
3967	1
3977	1
3986	1
3997	1
4003	1
4005	2
4009	1
4021	1
4023	1
4027	1
4029	1
4031	1
4043	1
4050	1
4061	1
4066	1
4074	1
4085	1
4107	1
4108	1
4112	2
4114	1
4121	1
4125	1
