length_bp	read_count
1467	1
1760	1
5952	1
6763	1
6817	1
7061	1
7198	1
7640	1
7729	1
8278	1
8515	1
8740	1
8835	1
8898	1
9045	1
9362	1
9446	1
9566	1
9613	1
9626	1
9695	1
9714	1
9896	1
9938	1
10007	1
10230	1
10290	1
10316	1
10529	1
10685	1
10708	1
10744	1
10878	1
10919	1
11030	1
11038	1
11048	1
11101	1
11109	1
11155	1
11183	1
11209	1
11274	1
11361	1
11435	1
11568	1
11572	1
11612	1
11664	1
11670	1
11674	1
11675	1
11747	1
11831	1
11861	1
11869	1
11902	1
11982	1
11999	1
12043	1
12085	1
12093	1
12110	1
12123	1
12144	1
12149	1
12150	1
12162	1
12165	2
12175	1
12190	1
12203	1
12219	1
12220	1
12226	1
12248	1
12269	1
12298	1
12322	1
12340	1
12347	1
12349	1
12364	1
12374	1
12375	1
12384	2
12386	1
12388	1
12396	1
12411	2
12412	1
12420	1
12438	1
12441	1
12446	1
12458	2
12463	1
12464	1
12470	1
12476	1
12478	1
12498	1
12510	1
12515	1
12517	1
12521	1
12522	1
12523	1
12534	1
12538	1
12542	1
12559	1
12563	1
12566	1
12570	1
12587	2
12592	1
12597	1
12601	1
12604	1
12607	1
12613	1
12623	2
12631	1
12633	1
12635	1
12636	1
12638	1
12639	1
12640	1
12644	1
12647	1
12649	2
12651	2
12653	2
12658	1
12659	1
12662	1
12667	1
12668	1
12670	1
12675	1
12679	1
12680	1
12681	2
12684	1
12688	1
12690	2
12691	1
12692	1
12693	1
12695	1
12696	1
12697	2
12701	1
12704	1
12705	1
12706	1
12707	2
12708	3
12709	1
12711	1
12712	1
12716	2
12717	1
12723	2
12726	1
12728	1
12729	1
12730	1
12732	2
12733	2
12735	1
12740	1
12742	1
12743	1
12745	2
12753	2
12755	1
12756	1
12757	1
12759	1
12761	1
12762	1
12764	1
12766	1
12768	2
12772	1
12773	1
12776	3
12778	1
12779	2
12781	1
12786	2
12789	1
12792	1
12793	3
12794	1
12795	1
12796	2
12799	1
12801	2
12805	1
12806	1
12807	1
12808	5
12809	1
12811	2
12812	2
12813	1
12814	1
12818	1
12820	2
12821	1
12822	3
12823	2
12827	2
12828	1
12829	2
12830	1
12831	1
12835	1
12837	1
12838	1
12841	1
12842	1
12844	1
12845	2
12846	1
12847	3
12849	3
12850	2
12851	1
12855	1
12856	1
12858	1
12860	1
12862	1
12865	1
12870	4
12871	1
12872	1
12874	2
12879	1
12880	2
12882	1
12884	1
12887	1
12892	1
12897	3
12898	1
12900	1
12901	1
12902	1
12903	1
12908	2
12910	1
12911	1
12912	1
12914	2
12918	1
12921	2
12923	1
12924	1
12927	4
12928	1
12929	2
12931	1
12932	1
12935	1
12937	1
12938	1
12939	3
12942	3
12943	1
12944	2
12945	1
12946	1
12949	1
12951	1
12952	1
12953	3
12954	2
12956	2
12958	2
12961	1
12962	2
12963	1
12967	1
12970	1
12971	2
12973	1
12974	1
12975	1
12976	1
12978	1
12981	1
12982	1
12983	1
12985	3
12987	1
12988	1
12989	1
12990	1
12992	1
12995	1
12996	1
12998	3
12999	2
13000	1
13003	3
13004	4
13006	3
13008	2
13010	3
13011	2
13012	1
13014	1
13015	1
13016	1
13017	1
13018	2
13019	2
13022	1
13024	2
13025	1
13026	4
13027	1
13029	4
13030	1
13031	2
13032	2
13033	1
