length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
1	36	90	1
1	38	70	1
1	38	90	1
1	43	35	1
1	45	90	1
1	49	80	1
1	52	70	1
2	40	75	1
2	42	35	1
2	45	90	1
2	48	35	1
2	49	40	1
2	52	50	1
3	38	90	1
3	41	20	1
3	42	55	1
3	42	85	1
3	43	85	1
3	45	85	1
3	49	90	1
3	52	20	1
4	40	40	1
4	43	25	1
4	43	30	1
4	45	45	1
4	46	90	1
4	47	45	1
4	48	35	1
4	51	90	1
5	38	65	1
5	41	30	1
5	43	30	1
5	45	20	1
5	45	45	1
5	46	45	1
5	46	70	1
5	47	20	1
5	49	45	1
5	52	40	1
5	52	70	1
5	56	75	1
5	62	50	1
6	36	35	1
6	39	20	1
6	40	45	1
6	43	25	2
6	44	20	1
6	44	50	1
6	45	25	1
6	45	30	1
6	45	80	1
6	46	20	2
6	47	20	1
6	47	30	1
6	47	45	1
6	47	50	1
6	47	80	1
6	49	45	1
6	49	75	1
6	50	25	1
6	51	20	1
6	54	25	1
6	55	20	1
7	35	25	1
7	37	40	1
7	38	20	1
7	39	25	1
7	39	40	1
7	40	35	1
7	41	20	1
7	41	30	1
7	41	35	2
7	42	20	1
7	43	25	1
7	43	30	1
7	43	50	1
7	44	25	1
7	44	70	1
7	45	30	1
7	45	35	1
7	45	40	1
7	46	30	1
7	46	35	1
7	48	25	2
7	49	20	1
7	49	35	1
7	49	40	1
7	49	75	1
7	50	35	1
7	51	40	1
7	52	25	1
7	53	20	1
8	31	35	1
8	33	30	1
8	35	35	1
8	38	60	1
8	39	20	1
8	39	25	1
8	40	20	1
8	40	30	1
8	40	35	1
8	40	40	1
8	40	45	1
8	41	25	2
8	41	35	1
8	41	40	2
8	41	85	1
8	42	25	3
8	42	30	1
8	42	35	1
8	43	20	1
8	43	25	1
8	43	35	1
8	43	70	1
8	44	20	1
8	44	35	2
8	44	45	1
8	44	50	1
8	45	35	1
8	45	85	1
8	46	25	1
8	46	35	3
8	46	40	3
8	47	25	1
8	47	40	1
8	48	25	1
8	48	30	1
8	49	20	1
8	49	35	2
8	49	40	1
8	50	40	1
8	50	70	1
8	58	30	1
9	33	25	1
9	35	20	1
9	38	40	1
9	39	25	1
9	39	35	1
9	40	40	2
9	41	20	1
9	41	30	1
9	41	50	1
9	42	20	1
9	42	25	2
9	43	20	1
9	43	25	1
9	43	45	2
9	43	70	1
9	44	25	1
9	44	30	1
9	44	35	1
9	44	40	1
9	45	20	2
9	45	40	1
9	45	50	1
9	45	85	1
9	46	20	2
9	46	25	1
9	46	30	1
9	46	35	1
9	46	40	1
9	46	45	2
9	47	25	1
9	47	30	2
9	47	35	3
9	47	45	1
9	47	50	1
9	47	65	1
9	48	20	1
9	48	25	1
9	48	30	2
9	48	35	1
9	49	40	2
9	49	50	2
9	49	55	1
9	49	70	1
9	50	25	1
9	50	30	1
9	50	40	1
9	51	30	1
9	51	40	2
9	52	35	1
9	52	55	1
9	53	20	1
9	54	40	1
9	54	75	1
9	63	30	1
10	36	30	1
10	38	40	1
10	38	65	1
10	39	20	1
10	39	35	2
10	39	40	2
10	39	45	1
10	40	20	1
10	40	30	3
10	40	40	1
10	41	30	1
10	41	35	2
10	41	50	1
10	41	65	1
10	42	20	2
10	42	25	1
10	42	30	1
10	42	35	2
10	42	40	1
10	42	65	1
10	43	20	1
10	43	30	2
10	43	35	1
10	43	45	1
10	43	60	1
10	44	20	1
10	44	25	4
10	44	30	2
10	44	35	1
