panel	dataset	metric	x	value	read_count
A	Full library (n=933,904)	length_bp	0.045	1.0707738696911032e-06	1
A	Full library (n=933,904)	length_bp	0.047	5.3538693484555156e-06	4
A	Full library (n=933,904)	length_bp	0.048	1.4990834175675445e-05	9
A	Full library (n=933,904)	length_bp	0.049	2.034470352413096e-05	5
A	Full library (n=933,904)	length_bp	0.05	3.105244222104199e-05	10
A	Full library (n=933,904)	length_bp	0.051000000000000004	3.747708543918861e-05	6
A	Full library (n=933,904)	length_bp	0.052000000000000005	4.3901728657335226e-05	6
A	Full library (n=933,904)	length_bp	0.053	5.2467919614864054e-05	8
A	Full library (n=933,904)	length_bp	0.054	6.53172060511573e-05	12
A	Full library (n=933,904)	length_bp	0.055	6.96003015299217e-05	4
A	Full library (n=933,904)	length_bp	0.056	7.602494474806833e-05	6
A	Full library (n=933,904)	length_bp	0.057	8.137881409652384e-05	5
A	Full library (n=933,904)	length_bp	0.058	8.780345731467045e-05	6
A	Full library (n=933,904)	length_bp	0.059000000000000004	8.887423118436156e-05	1
A	Full library (n=933,904)	length_bp	0.06	9.636964827219928e-05	7
A	Full library (n=933,904)	length_bp	0.061	9.744042214189039e-05	1
A	Full library (n=933,904)	length_bp	0.062	9.851119601158148e-05	1
A	Full library (n=933,904)	length_bp	0.063	0.0001006527437509637	2
A	Full library (n=933,904)	length_bp	0.064	0.00010493583922972811	4
A	Full library (n=933,904)	length_bp	0.066	0.00010600661309941922	1
A	Full library (n=933,904)	length_bp	0.067	0.00010921893470849253	3
A	Full library (n=933,904)	length_bp	0.069	0.00011028970857818362	1
A	Full library (n=933,904)	length_bp	0.07	0.00011136048244787473	1
A	Full library (n=933,904)	length_bp	0.07100000000000001	0.00011243125631756583	1
A	Full library (n=933,904)	length_bp	0.081	0.00011350203018725694	1
A	Full library (n=933,904)	length_bp	0.082	0.00011457280405694804	1
A	Full library (n=933,904)	length_bp	0.083	0.00011671435179633025	2
A	Full library (n=933,904)	length_bp	0.085	0.00011885589953571245	2
A	Full library (n=933,904)	length_bp	0.08600000000000001	0.00012206822114478576	3
A	Full library (n=933,904)	length_bp	0.08700000000000001	0.00012635131662355018	4
A	Full library (n=933,904)	length_bp	0.088	0.00014134215079922562	14
A	Full library (n=933,904)	length_bp	0.089	0.0001702530452808854	27
A	Full library (n=933,904)	length_bp	0.09	0.00028589662320752454	108
A	Full library (n=933,904)	length_bp	0.091	0.00031801983929825764	30
A	Full library (n=933,904)	length_bp	0.092	0.0003405060905617708	21
A	Full library (n=933,904)	length_bp	0.093	0.0003447891860405352	4
A	Full library (n=933,904)	length_bp	0.099	0.0003458599599102263	1
A	Full library (n=933,904)	length_bp	0.10300000000000001	0.00034693073377991743	1
A	Full library (n=933,904)	length_bp	0.112	0.0003480015076496085	1
A	Full library (n=933,904)	length_bp	0.113	0.00034907228151929965	1
A	Full library (n=933,904)	length_bp	0.11900000000000001	0.00035014305538899073	1
A	Full library (n=933,904)	length_bp	0.121	0.0003512138292586818	1
A	Full library (n=933,904)	length_bp	0.139	0.000353355376998064	2
A	Full library (n=933,904)	length_bp	0.14	0.00035442615086775516	1
A	Full library (n=933,904)	length_bp	0.14200000000000002	0.00035549692473744624	1
A	Full library (n=933,904)	length_bp	0.14400000000000002	0.0003565676986071373	1
A	Full library (n=933,904)	length_bp	0.155	0.00035763847247682846	1
A	Full library (n=933,904)	length_bp	0.156	0.00035870924634651954	1
A	Full library (n=933,904)	length_bp	0.157	0.0003597800202162107	1
A	Full library (n=933,904)	length_bp	0.16	0.00036192156795559284	2
A	Full library (n=933,904)	length_bp	0.161	0.0003651338895646662	3
A	Full library (n=933,904)	length_bp	0.162	0.0003662046634343573	1
A	Full library (n=933,904)	length_bp	0.163	0.0003683462111737395	2
A	Full library (n=933,904)	length_bp	0.166	0.0003704877589131217	2
A	Full library (n=933,904)	length_bp	0.167	0.00037262930665250387	2
A	Full library (n=933,904)	length_bp	0.168	0.000373700080522195	1
A	Full library (n=933,904)	length_bp	0.169	0.0003758416282615772	2
A	Full library (n=933,904)	length_bp	0.17	0.0003769124021312683	1
A	Full library (n=933,904)	length_bp	0.176	0.0003779831760009594	1
A	Full library (n=933,904)	length_bp	0.179	0.0003790539498706505	1
A	Full library (n=933,904)	length_bp	0.181	0.0003801247237403416	1
A	Full library (n=933,904)	length_bp	0.183	0.00038119549761003274	1
A	Full library (n=933,904)	length_bp	0.184	0.0003822662714797238	1
A	Full library (n=933,904)	length_bp	0.188	0.0003833370453494149	1
