phred	base_count
1	512
2	134937
3	6030468
4	10268895
5	9299987
6	8850805
7	8716102
8	8809431
9	9014831
10	9346698
11	9788653
12	10329396
13	10936587
14	11615235
15	12360192
16	13186600
17	14033892
18	14953931
19	15973577
20	17096262
21	18234490
22	19433821
23	20728647
24	22133569
25	23586386
26	25032578
27	26544081
28	27951209
29	29473856
30	31181488
31	33099134
32	35049962
33	36452558
34	38298222
35	40338849
36	42495621
37	44324332
38	46255472
39	48538453
40	50977874
41	53669336
42	56262571
43	58838848
44	60728937
45	62083876
46	63746386
47	66543693
48	69048328
49	70808830
50	73443815
51	76409371
52	79395148
53	81452491
54	82736029
55	83286614
56	83776271
57	84748333
58	85724767
59	87817967
60	90633899
61	93450808
62	96122420
63	99313510
64	101308727
65	102570915
66	103187312
67	102035359
68	99904381
69	99775678
70	99040983
71	98961350
72	99334656
73	100240813
74	101367433
75	103188256
76	104184262
77	104736500
78	106541506
79	107145682
80	106479987
81	106156415
82	105564840
83	104221780
84	103468748
85	103114373
86	102888706
87	102967192
88	103692777
89	104489443
90	105151307
91	106461538
92	106633210
93	9030867488
