length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	15	90	1
0	16	70	1
0	17	90	1
0	18	90	1
0	19	90	1
0	20	90	1
0	22	90	4
0	23	90	2
0	24	20	1
0	24	70	1
0	24	90	6
0	25	25	1
0	25	90	4
0	26	20	1
0	26	90	2
0	27	25	1
0	27	30	1
0	27	75	1
0	27	90	2
0	28	40	2
0	28	45	1
0	28	55	1
0	28	90	12
0	29	20	1
0	29	25	1
0	29	40	1
0	29	85	1
0	29	90	6
0	30	30	1
0	30	90	12
0	31	20	2
0	31	35	1
0	31	90	8
0	32	20	1
0	32	40	1
0	32	90	13
0	33	20	1
0	33	25	1
0	33	30	1
0	33	35	1
0	33	70	1
0	33	90	17
0	34	25	1
0	34	35	1
0	34	80	1
0	34	90	16
0	35	25	1
0	35	30	1
0	35	85	1
0	35	90	13
0	36	25	2
0	36	35	1
0	36	45	1
0	36	60	1
0	36	65	1
0	36	90	14
0	37	25	3
0	37	30	5
0	37	35	1
0	37	50	3
0	37	55	1
0	37	80	1
0	37	85	1
0	37	90	23
0	38	20	2
0	38	25	3
0	38	35	2
0	38	40	1
0	38	80	1
0	38	90	19
0	39	20	1
0	39	25	2
0	39	30	2
0	39	35	1
0	39	70	1
0	39	90	15
0	40	20	3
0	40	30	2
0	40	80	1
0	40	85	1
0	40	90	11
0	41	20	1
0	41	25	2
0	41	30	2
0	41	90	7
0	42	20	2
0	42	25	2
0	42	45	1
0	42	65	1
0	42	90	11
0	43	20	3
0	43	25	1
0	43	30	3
0	43	35	1
0	43	50	1
0	43	75	1
0	43	80	1
0	43	90	28
0	44	20	8
0	44	25	10
0	44	30	8
0	44	35	13
0	44	40	4
0	44	45	6
0	44	50	3
0	44	55	3
0	44	60	4
0	44	65	1
0	44	70	1
0	44	75	1
0	44	80	3
0	44	85	2
0	44	90	173
0	45	20	3
0	45	30	1
0	45	35	2
0	45	40	1
0	45	60	1
0	45	65	1
0	45	70	1
0	45	85	1
0	45	90	51
0	46	20	1
0	46	30	1
0	46	35	2
0	46	40	2
0	46	45	1
0	46	50	1
0	46	55	1
0	46	90	32
0	47	20	2
0	47	25	2
0	47	30	1
0	47	60	1
0	47	65	1
0	47	70	1
0	47	85	1
0	47	90	7
0	48	20	2
0	48	25	1
0	48	30	1
0	48	70	1
0	48	75	1
0	48	90	12
0	49	20	1
0	49	25	1
0	49	35	1
0	49	90	2
0	50	20	1
0	50	30	1
0	50	35	1
0	50	50	1
0	50	90	5
0	51	90	2
0	52	25	1
0	52	90	1
0	54	90	1
0	55	35	1
0	55	90	1
0	56	20	1
0	56	90	3
0	57	30	1
0	57	35	1
0	57	90	2
0	58	90	2
0	59	90	1
0	60	90	2
0	62	90	1
0	64	50	1
0	70	90	1
1	21	90	1
1	23	50	1
1	24	25	1
1	25	30	1
1	25	45	1
1	25	90	1
1	26	90	1
1	27	25	2
1	28	20	1
1	28	40	2
1	28	45	1
1	28	65	1
1	28	80	1
1	28	90	3
1	29	25	1
1	29	35	1
1	29	55	2
1	29	70	1
1	29	90	3
1	30	30	2
1	30	35	4
1	30	40	1
1	30	45	1
1	30	50	1
1	30	70	1
1	30	75	1
1	30	80	1
1	30	90	2
1	31	20	4
1	31	25	1
1	31	30	2
1	31	35	4
1	31	55	1
1	31	70	1
1	31	75	1
1	31	80	1
1	31	90	1
1	32	25	3
1	32	30	1
1	32	35	3
1	32	40	1
1	32	50	1
1	32	55	1
1	32	90	2
1	33	20	1
1	33	25	1
1	33	35	4
1	33	40	1
1	33	90	5
1	34	20	1
1	34	25	1
1	34	30	1
1	34	35	5
1	34	70	1
1	34	75	1
1	34	85	1
1	34	90	6
1	35	20	2
1	35	30	2
1	35	35	2
1	35	50	1
1	35	55	1
1	35	65	1
1	35	85	1
1	35	90	8
1	36	25	1
1	36	30	2
1	36	35	6
1	36	40	1
1	36	45	1
1	36	55	3
1	36	75	1
1	36	90	9
1	37	20	1
1	37	25	2
1	37	30	3
1	37	35	3
1	37	40	1
1	37	45	1
1	37	60	3
1	37	70	3
1	37	80	1
1	37	90	21
1	38	20	2
1	38	25	1
1	38	35	1
1	38	40	2
1	38	45	2
1	38	50	1
1	38	55	2
1	38	60	1
1	38	65	1
1	38	75	2
1	38	85	1
1	38	90	12
1	39	20	1
1	39	25	2
1	39	30	4
1	39	35	4
1	39	45	2
1	39	50	1
1	39	80	1
1	39	85	1
1	39	90	8
1	40	30	1
1	40	35	2
1	40	40	1
1	40	55	1
1	40	80	1
1	40	85	2
1	40	90	5
1	41	25	1
1	41	90	7
1	42	35	1
1	42	90	2
1	43	20	1
1	43	25	3
1	43	30	1
1	43	40	1
1	43	50	1
1	43	55	1
1	43	60	1
1	43	90	3
1	44	20	4
1	44	25	4
1	44	30	4
1	44	35	3
1	44	40	2
1	44	45	1
1	44	90	3
1	45	30	1
1	45	40	1
1	45	60	1
1	45	90	1
1	46	25	1
1	46	80	1
1	46	90	1
1	47	75	1
1	48	25	1
1	48	65	1
1	49	90	2
1	50	90	1
1	51	25	1
1	51	35	1
1	51	90	1
1	52	90	1
1	53	35	1
1	54	75	1
1	56	25	2
1	56	55	1
1	56	90	1
2	24	45	1
2	26	50	1
2	27	30	1
2	27	35	2
2	27	90	1
2	28	30	1
2	28	35	1
2	28	40	1
2	28	50	2
2	28	75	1
2	28	90	1
2	29	35	1
2	29	45	2
2	29	90	1
2	30	20	1
2	30	25	2
2	30	30	1
2	30	40	2
2	30	50	1
2	30	60	1
2	30	90	1
2	31	25	2
2	31	30	2
2	31	40	3
2	31	45	2
2	31	85	1
2	31	90	5
2	32	35	2
2	32	45	1
2	32	50	1
2	32	55	1
2	32	90	1
2	33	20	2
2	33	30	2
2	33	35	2
2	33	40	1
2	33	45	1
2	33	55	1
2	33	65	1
2	33	90	5
2	34	20	1
2	34	25	3
2	34	30	1
2	34	35	2
2	34	45	1
2	34	90	8
2	35	20	2
2	35	25	7
2	35	30	1
2	35	35	5
2	35	40	2
2	35	50	1
2	35	65	1
2	35	80	1
2	35	90	3
2	36	20	4
2	36	25	3
2	36	35	4
2	36	45	1
2	36	60	1
2	36	90	8
2	37	20	1
2	37	25	2
2	37	30	2
2	37	35	3
2	37	40	3
2	37	50	1
2	37	55	3
2	37	60	1
2	37	65	1
2	37	70	2
2	37	80	1
2	37	90	8
2	38	20	1
2	38	25	2
2	38	30	2
2	38	35	3
2	38	40	3
2	38	65	2
2	38	70	1
2	38	75	1
2	38	85	1
2	38	90	6
2	39	25	1
2	39	30	2
2	39	35	1
2	39	40	2
2	39	45	1
2	39	60	1
2	39	70	1
2	39	80	1
2	39	85	1
2	39	90	7
2	40	35	1
2	40	60	1
2	40	65	1
2	40	90	5
2	41	40	1
2	41	45	1
2	41	60	2
2	41	65	1
2	41	70	2
2	41	90	1
2	42	30	1
2	42	35	1
2	42	65	1
2	42	75	1
2	42	90	1
2	43	20	2
2	43	45	1
2	43	90	1
2	44	35	1
2	44	65	2
2	44	70	1
2	44	90	1
2	45	20	2
2	45	25	1
2	45	30	1
2	47	90	1
2	48	70	1
2	50	30	2
2	50	40	1
2	50	90	1
2	51	20	1
2	51	30	1
2	51	35	1
2	51	70	1
2	52	30	1
2	52	60	1
2	52	90	1
2	53	20	1
2	53	30	1
2	53	40	1
2	53	90	1
2	54	90	1
2	56	30	1
2	57	35	1
2	67	25	1
3	26	35	1
3	26	85	1
3	27	40	1
3	27	90	1
3	28	25	1
3	28	45	1
3	28	50	1
3	29	35	1
3	29	45	1
3	29	55	1
3	29	90	1
3	30	25	1
3	30	35	1
3	30	40	1
3	30	45	1
3	30	50	2
3	30	85	2
3	30	90	2
3	31	20	2
3	31	25	2
3	31	30	1
3	31	40	2
3	31	60	1
3	31	90	3
3	32	25	4
3	32	35	1
3	32	50	1
3	32	55	1
3	32	60	1
3	32	65	1
3	32	80	1
3	32	90	3
3	33	20	1
3	33	25	1
3	33	30	3
3	33	35	2
3	33	40	1
3	33	55	2
3	33	60	1
3	33	70	1
3	33	80	1
3	33	90	5
3	34	25	2
3	34	30	2
3	34	35	1
3	34	40	1
3	34	45	2
3	34	50	1
3	34	65	1
3	34	80	1
3	34	90	4
3	35	20	5
3	35	25	1
3	35	30	1
