length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	25	90	1
0	28	40	1
0	28	90	1
0	29	90	1
0	30	90	1
0	31	90	1
0	32	90	1
0	33	20	1
0	34	90	1
0	35	90	1
0	36	90	2
0	39	25	1
0	39	90	1
0	40	85	1
0	40	90	1
0	41	90	1
0	43	90	4
0	44	25	1
0	44	40	1
0	44	60	1
0	44	65	1
0	44	90	12
0	45	65	1
0	45	70	1
0	45	90	5
0	46	20	1
0	46	90	1
0	47	70	1
0	47	90	1
0	48	75	1
0	48	90	2
0	52	90	1
0	57	90	1
0	59	90	1
0	60	90	1
0	64	50	1
1	27	25	1
1	28	80	1
1	29	70	1
1	30	50	1
1	32	35	1
1	32	40	1
1	34	75	1
1	35	90	1
1	36	90	1
1	37	70	1
1	37	90	3
1	38	45	1
1	44	25	1
1	45	60	1
2	27	35	1
2	30	40	1
2	31	30	1
2	32	55	1
2	32	90	1
2	34	25	2
2	34	90	2
2	35	25	1
2	35	40	1
2	36	35	1
2	37	35	1
2	37	55	1
2	37	80	1
2	37	90	1
2	38	40	1
2	38	65	1
2	38	90	1
2	39	80	1
2	39	85	1
2	39	90	1
2	40	90	1
2	52	60	1
2	52	90	1
3	30	90	1
3	33	20	1
3	34	45	1
3	35	25	1
3	35	45	1
3	35	80	1
3	36	45	1
3	36	60	1
3	37	75	1
3	38	25	2
3	38	40	1
3	39	50	1
3	39	70	1
3	41	45	1
3	44	90	1
3	45	35	1
4	26	85	1
4	28	75	1
4	30	40	1
4	30	90	1
4	31	90	1
4	32	20	1
4	32	25	1
4	32	30	1
4	32	50	1
4	32	60	1
4	32	65	1
4	33	20	1
4	33	30	1
4	33	75	1
4	33	80	1
4	35	40	1
4	35	50	1
4	35	85	1
4	35	90	1
4	36	30	1
4	36	65	1
4	36	70	1
4	36	85	1
4	37	25	1
4	37	30	1
4	37	35	1
4	37	40	1
4	37	45	1
4	37	65	1
4	37	80	1
4	37	90	1
4	38	60	1
4	38	90	1
4	39	35	1
4	39	90	2
4	40	90	3
4	42	30	1
4	42	70	1
4	47	50	1
4	50	25	1
4	50	40	1
4	52	40	1
4	53	45	1
4	53	90	1
5	27	30	1
5	28	35	1
5	29	45	2
5	29	50	1
5	30	20	1
