length_bp	read_count
48	1
49	1
50	1
53	2
54	1
62	1
63	1
71	1
88	2
89	3
90	6
91	3
92	3
157	1
223	1
238	1
251	1
276	1
286	1
318	1
327	1
338	1
358	1
363	1
394	1
415	1
465	1
472	1
475	1
483	1
488	1
506	1
534	1
541	1
584	1
602	1
629	1
649	1
666	1
675	1
689	1
692	1
852	1
1083	1
1183	1
1209	1
1295	1
1392	1
1408	1
1419	1
1494	1
1560	1
1565	1
1697	1
1757	1
1762	1
1792	1
1800	1
1994	1
2079	1
2130	1
2203	1
2231	1
2258	1
2292	1
2295	1
2300	1
2333	1
2401	1
2565	1
2595	1
2597	1
2613	1
2627	1
2651	1
2660	1
2760	1
2773	1
2774	1
2776	1
2796	1
2819	1
2935	1
2975	1
3015	1
3072	1
3124	1
3144	1
3176	1
3221	1
3222	1
3346	1
3383	1
3428	1
3499	1
3576	1
3599	1
3620	1
3819	1
3899	1
3964	1
4015	1
4087	1
4095	1
4134	1
4176	1
4212	1
4246	1
4267	1
4283	1
4319	1
4324	1
4327	1
4336	1
4351	1
4373	1
4374	1
4384	1
4391	1
4432	1
4441	1
4480	1
4487	1
4521	2
4561	1
4635	1
4676	1
4691	1
4706	1
4722	1
4726	1
4773	1
4776	1
4792	1
4826	1
4836	1
4854	1
4859	1
4875	1
4891	1
4904	1
4923	1
4927	1
4935	1
4962	1
4963	1
4977	1
5007	2
5018	1
5039	1
5045	1
5057	1
5062	1
5067	2
5071	1
5107	1
5109	1
5171	1
5176	1
5192	1
5195	1
5201	1
5205	1
5212	1
5231	1
5256	1
5262	1
5278	1
5282	1
5299	1
5309	1
5315	1
5325	1
5327	1
5342	1
5361	1
5373	1
5374	1
5375	1
5379	1
5387	1
5410	2
5416	1
5417	1
5418	1
5447	1
5458	1
5489	1
5508	1
5521	1
5526	1
5534	1
5536	1
5550	1
5558	3
5574	1
5576	1
5579	1
5582	1
5584	1
5588	1
5601	1
5603	1
5605	1
5608	1
5610	1
5616	1
5618	1
5619	1
5624	1
5631	1
5635	2
5642	1
5643	1
5645	1
5647	1
5650	1
5656	1
5672	1
5675	1
5682	2
5685	1
5692	2
5695	1
5701	1
5704	1
5717	1
5721	1
5724	1
5730	1
5736	1
5737	1
5738	1
5743	1
5747	1
5749	1
5750	1
5754	1
5755	1
5766	1
5768	1
5771	1
5778	1
5782	1
5795	2
5798	1
5801	2
5822	1
5827	1
5832	1
5834	1
5854	1
5864	1
5868	1
5872	1
5873	1
5876	1
5880	1
5883	1
5890	1
5900	1
5903	1
5907	1
5909	1
5919	1
5923	1
5927	1
5934	1
5935	1
5945	1
5963	2
5968	1
5974	1
5977	1
5983	1
5986	1
5999	1
6002	1
6003	1
6004	1
6005	1
6007	1
6009	1
6020	1
6021	1
6026	1
6038	2
6039	1
6050	1
6051	1
6062	1
6070	1
6076	1
6077	1
6080	1
6083	2
6086	1
6102	1
6107	1
6114	1
6119	2
6131	1
6138	1
6148	1
6153	1
6155	1
6164	1
6166	1
6173	1
6177	1
6179	1
6182	1
6185	1
6187	1
6190	1
6194	1
6197	1
6209	1
6214	1
6215	2
6222	1
6223	1
6224	1
6225	1
6227	1
6230	1
6233	1
6236	1
6241	1
6247	1
6259	1
6265	1
6268	1
6271	1
6273	1
6320	1
6322	1
6324	1
6339	1
6340	1
6343	1
6346	1
6350	1
6351	1
6358	2
6361	1
6370	1
6375	1
6378	1
6381	1
6382	1
6383	1
6391	1
6392	1
6400	1
6408	1
6410	1
6421	2
6429	1
6431	1
6440	1
6443	2
6444	2
6445	1
6447	1
6450	1
6451	1
6457	1
6458	1
6463	1
6467	1
6470	1
6471	1
6478	2
6479	1
6481	1
6486	1
6489	1
6490	1
6491	1
6495	1
6498	1
6508	1
6509	1
6512	1
6516	1
6517	1
6520	1
6522	1
6529	1
6532	1
6535	1
6536	1
6537	1
6541	1
6548	1
6550	2
6555	1
6556	1
6561	1
6571	1
6573	1
6577	2
6580	1
6581	1
6583	2
6589	1
6590	3
6595	1
6601	1
6608	1
6616	1
6626	1
6630	1
6634	1
6635	1
6636	1
6637	1
6640	1
6641	1
6646	1
6649	3
6651	1
6659	1
6664	1
6671	1
6680	1
6682	1
6684	1
6687	1
6691	1
6696	2
6697	1
6705	2
6707	2
6709	1
6710	1
6719	1
6727	1
6736	2
6739	1
6741	2
6744	1
6750	1
6752	1
6758	1
6766	2
6769	1
6773	1
6785	1
6788	1
6792	1
6794	1
6796	1
6806	2
6811	2
6814	2
6817	1
6818	1
6824	1
6830	1
6833	1
6834	1
6836	1
6838	1
6843	1
6846	1
6852	1
6853	1
6870	1
6872	1
6873	1
6875	1
6877	1
6879	1
6885	1
6892	1
6899	1
6904	1
6911	1
6914	1
6916	1
6917	2
6919	1
6921	2
6925	1
6932	1
6934	1
6936	1
6938	1
6954	1
6955	1
6957	1
6958	1
6969	2
6971	1
6975	1
6976	1
6977	1
6986	1
6988	1
6993	2
6995	1
6997	1
6999	1
7001	1
7003	2
7006	1
7008	1
7009	1
7015	1
7016	1
7021	1
7023	1
7025	1
7029	1
7032	1
7036	1
7038	1
7042	2
7048	1
7052	1
7054	1
7062	1
7075	1
7076	1
7080	1
7083	2
7087	1
7088	1
7092	1
7093	1
7096	1
7097	1
7107	2
7111	1
7126	1
7132	1
7134	1
7137	1
7142	2
7146	1
7147	2
7153	1
7157	1
7160	1
7165	1
7169	1
7174	2
7183	1
7189	1
7193	1
7197	1
7198	2
7199	1
7203	2
7208	1
7210	2
7214	1
7215	1
7225	1
7226	1
7229	1
7232	1
7236	1
7241	1
7249	1
7254	1
7257	2
7267	1
7268	1
7281	1
7284	2
7287	1
7297	1
7300	1
7305	1
7306	1
7311	1
7312	1
7319	1
7321	1
7330	1
7333	1
7336	1
7340	1
7341	1
7343	1
7344	2
7346	1
7356	2
7358	1
7365	1
7370	1
7371	1
7374	1
7378	1
7387	1
7389	1
7395	1
7398	1
7399	1
7403	1
7404	1
7406	1
7424	1
7425	1
7429	1
7434	1
7441	1
7447	1
7448	1
7454	1
7460	1
7464	1
7466	2
7470	2
7471	1
7474	1
7476	1
7478	1
7485	1
7486	1
7487	2
7488	1
7493	1
7496	1
7502	1
7505	1
7507	1
7512	1
7513	1
7515	2
7517	1
7529	1
7530	1
7531	1
7533	1
7539	1
7546	1
7549	1
7551	2
7552	1
7555	1
7557	1
7558	1
7563	1
7564	1
7567	1
7574	1
7576	2
7579	3
7582	1
7583	2
7585	1
7588	1
7596	2
7597	1
7599	1
7606	1
7609	1
7610	1
7612	1
7623	2
7637	1
7638	1
7642	2
7645	1
7651	1
7659	1
7665	1
7673	1
7677	1
7678	1
7684	1
7685	1
7696	1
7698	1
7701	1
7703	1
7715	1
7726	1
7728	1
7746	1
7759	1
7761	1
7762	1
7770	1
7774	1
7781	1
7790	1
7794	2
7801	1
7802	2
7804	1
7815	1
7818	1
7821	2
7823	1
7824	1
7825	1
7829	1
7833	1
7839	1
7840	1
7841	1
7842	1
7846	1
7848	3
7854	1
7855	1
7860	1
7872	1
7876	1
7878	1
7880	1
