phred	base_count
1	884
2	189622
3	8215937
4	13854263
5	12463133
6	11916905
7	11824844
8	12121406
9	12571662
10	13188548
11	13953652
12	14881549
13	15904368
14	17051202
15	18264728
16	19544821
17	20934648
18	22500485
19	24261010
20	26308054
21	28366099
22	30567513
23	32980156
24	35517631
25	38086306
26	40553273
27	42857285
28	44661855
29	46948572
30	49974170
31	52972911
32	56244778
33	58939279
34	62382825
35	66423050
36	70940424
37	74753400
38	79282073
39	84144324
40	88583116
41	92407313
42	95234230
43	97466605
44	98294044
45	99785520
46	102284614
47	107917029
48	113556023
49	117950646
50	123794585
51	128691457
52	130826026
53	129850387
54	128359443
55	128296884
56	129630572
57	132228230
58	135184954
59	140042053
60	145577937
61	149397000
62	151879243
63	153672225
64	152204875
65	148569759
66	144093033
67	139552962
68	136358858
69	135871024
70	136118295
71	138229592
72	141411624
73	144964515
74	148817171
75	151473608
76	151583703
77	150909714
78	149224060
79	145499229
80	141498873
81	138172785
82	136270176
83	133953977
84	131968451
85	130883961
86	130515017
87	130492124
88	130997625
89	131844817
90	132127471
91	132384198
92	131606974
93	9491665763
