length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	21	90	1
0	43	25	1
0	43	90	3
1	26	90	1
1	27	90	1
1	28	20	1
1	29	30	1
1	29	70	1
1	29	90	2
1	30	45	1
1	31	40	1
1	31	75	1
1	32	20	2
1	32	25	1
1	32	35	1
1	32	70	1
1	32	90	1
1	33	75	1
1	33	90	1
1	34	25	1
1	34	30	1
1	34	35	1
1	34	45	1
1	34	75	1
1	35	25	1
1	35	90	2
1	36	40	1
1	36	90	2
1	37	20	2
1	37	55	1
1	37	60	1
1	37	90	5
1	38	30	1
1	38	85	1
1	39	20	1
1	39	40	1
1	39	45	1
1	39	60	1
1	39	90	3
1	40	35	1
1	40	90	4
1	41	90	1
1	44	30	1
1	49	90	1
1	51	35	1
1	55	35	1
1	57	35	1
1	62	90	1
1	65	90	1
1	67	25	1
2	25	40	1
2	26	40	1
2	26	90	1
2	28	80	1
2	29	35	1
2	29	55	2
2	29	90	2
2	30	35	1
2	30	45	1
2	30	50	1
2	30	55	1
2	30	90	3
2	31	35	1
2	31	90	6
2	32	30	2
2	32	35	3
2	32	80	1
2	32	90	1
2	33	20	1
2	33	30	2
2	33	35	1
2	33	40	1
2	33	45	1
2	33	90	1
2	34	25	1
2	34	35	1
2	34	50	4
2	34	80	1
2	34	90	1
2	35	20	1
2	35	40	2
2	35	50	1
2	35	90	3
2	36	20	2
2	36	30	1
2	36	40	2
2	36	50	1
2	36	90	3
2	37	35	2
2	37	40	1
2	37	45	1
2	37	50	1
2	37	60	1
2	37	90	11
2	38	20	2
2	38	30	2
2	38	35	2
2	38	40	2
2	38	50	2
2	38	55	2
2	38	80	1
2	38	85	1
2	39	25	1
2	39	30	2
2	39	60	1
2	39	90	2
2	40	25	2
2	40	30	1
2	40	35	1
2	40	40	1
2	40	70	1
2	40	90	3
2	41	35	1
2	41	70	1
2	41	90	2
2	42	20	1
2	42	30	1
2	42	35	1
2	42	60	1
2	42	70	1
2	42	80	1
2	42	90	1
2	43	90	1
2	44	30	1
2	44	40	1
2	44	70	1
2	45	25	1
2	45	35	1
2	45	50	1
2	45	90	2
2	46	25	1
2	46	45	1
2	47	90	1
2	48	60	1
2	49	60	2
2	49	90	1
2	50	65	1
2	50	90	1
2	51	25	1
2	51	35	1
2	52	35	1
2	53	90	1
2	54	90	1
2	55	90	1
2	56	70	1
2	59	90	1
2	63	25	1
2	64	70	1
2	65	65	1
2	67	75	1
3	25	50	1
3	25	65	1
3	26	45	1
3	26	90	1
3	27	20	1
3	27	25	1
3	27	35	2
3	27	90	1
3	28	20	1
3	28	30	1
3	28	35	1
3	28	45	1
3	28	50	1
3	28	55	1
3	28	70	1
3	29	30	1
3	29	50	1
3	29	90	1
3	30	20	1
3	30	25	2
3	30	30	1
3	30	35	1
3	30	70	1
3	30	90	2
3	31	20	1
3	31	30	1
3	31	35	2
3	31	40	2
3	31	50	1
3	31	85	1
3	31	90	2
3	32	25	1
3	32	40	1
3	32	55	1
3	32	65	2
3	32	70	1
3	33	20	1
3	33	30	1
3	33	35	1
3	33	45	1
3	33	50	2
3	33	70	2
3	33	85	1
3	33	90	2
3	34	30	2
3	34	40	1
3	34	45	1
3	34	70	1
3	34	85	1
3	34	90	4
3	35	20	2
3	35	25	1
3	35	30	3
3	35	40	2
3	35	45	2
3	35	50	1
3	35	75	1
3	35	80	1
3	35	90	1
3	36	20	2
3	36	30	2
3	36	35	3
3	36	40	3
3	36	45	2
3	36	50	2
3	36	60	2
3	36	90	5
3	37	20	2
3	37	25	2
3	37	30	2
3	37	35	4
3	37	40	4
3	37	45	2
3	37	50	1
3	37	65	3
3	37	75	1
3	37	80	1
3	37	85	1
3	37	90	9
3	38	20	2
3	38	25	4
3	38	30	2
3	38	35	2
3	38	40	4
3	38	45	2
3	38	50	1
3	38	55	1
3	38	65	1
3	38	70	2
3	38	75	1
3	38	80	1
3	38	85	1
3	38	90	13
3	39	20	1
3	39	25	1
3	39	30	2
3	39	35	2
3	39	45	1
3	39	50	2
3	39	65	1
3	39	80	1
3	39	90	3
3	40	20	1
3	40	30	1
3	40	50	1
3	40	90	1
3	41	25	1
3	41	35	1
3	41	60	1
3	41	65	2
3	41	70	1
3	41	90	4
3	42	25	1
3	42	35	1
3	42	80	1
3	42	90	3
3	43	25	1
3	43	30	2
3	43	35	1
3	43	45	1
3	43	55	1
3	43	85	1
3	43	90	1
3	44	20	1
3	44	35	2
3	44	70	1
3	44	80	1
3	45	30	1
3	45	90	1
3	46	20	2
3	47	85	1
3	47	90	3
3	48	85	1
3	49	35	1
3	49	40	3
3	49	90	1
3	50	35	2
3	50	55	1
3	50	90	1
3	51	20	1
3	51	55	1
3	51	60	1
3	52	65	1
3	52	90	1
3	53	50	1
3	55	50	1
3	55	90	2
3	56	90	1
3	62	90	1
3	63	35	1
3	66	70	1
3	71	50	1
4	23	90	1
4	24	80	1
4	25	30	1
4	25	35	1
4	26	35	1
4	26	55	1
4	27	20	1
4	27	40	1
4	27	45	1
4	27	60	1
4	28	20	1
4	28	25	2
4	28	45	2
4	28	80	1
4	29	20	1
4	29	30	3
4	29	35	1
4	29	40	2
4	29	45	1
4	29	50	2
4	29	80	1
4	29	90	1
4	30	20	1
4	30	25	1
4	30	30	2
4	30	35	1
4	30	40	4
4	30	45	1
4	30	50	3
4	30	60	1
4	30	75	1
4	30	80	1
4	30	85	2
4	30	90	2
4	31	20	1
4	31	25	5
4	31	30	2
4	31	35	5
4	31	40	1
4	31	45	3
4	31	50	1
4	31	55	1
4	31	60	1
4	31	85	1
4	31	90	6
4	32	20	4
4	32	25	2
4	32	30	2
4	32	35	4
4	32	40	3
4	32	45	2
4	32	55	3
4	32	60	2
4	32	65	2
4	32	70	1
4	32	75	2
4	32	80	3
