length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
2	28	80	1
2	37	90	1
2	41	90	1
3	27	25	1
3	37	90	1
4	35	80	1
4	37	50	1
4	46	65	1
4	49	50	1
5	31	35	1
5	38	55	1
5	39	50	1
5	43	30	1
5	44	35	1
7	46	30	1
7	64	45	1
8	29	35	1
8	32	40	1
8	35	35	1
8	38	45	1
8	47	25	1
9	34	20	1
9	38	50	1
10	32	25	1
10	35	30	1
10	36	20	1
10	36	40	1
10	38	90	1
11	28	25	1
11	29	35	1
11	29	40	1
11	30	20	1
11	31	25	1
11	31	30	1
11	31	35	1
11	31	40	2
11	31	45	1
11	32	20	3
11	32	25	1
11	32	30	1
11	32	35	1
11	32	40	1
11	32	45	1
11	33	25	1
11	33	30	1
11	33	35	3
11	33	40	3
11	34	20	2
11	34	30	2
11	34	35	1
11	34	40	5
11	34	55	1
11	35	20	4
11	35	25	2
11	35	35	5
11	35	40	2
11	35	45	1
11	35	50	1
11	35	55	1
11	36	20	1
11	36	25	1
11	36	35	3
11	36	40	1
11	36	45	1
11	36	50	1
11	36	60	1
11	36	70	1
11	37	20	1
11	37	25	2
11	37	30	1
11	37	35	4
11	37	45	1
11	37	50	1
11	37	60	1
11	37	65	1
11	38	20	1
11	38	25	3
11	38	30	1
11	38	35	1
11	38	45	1
11	39	35	2
11	39	50	1
11	40	40	3
11	41	25	1
11	41	35	1
11	42	50	1
11	44	25	1
11	46	40	1
11	52	30	1
11	52	35	2
11	52	45	1
11	58	25	1
12	27	20	2
12	28	25	1
12	28	35	1
12	28	40	2
12	29	30	2
12	29	35	1
12	29	45	2
12	30	20	2
12	30	25	1
12	30	30	1
12	30	35	2
12	30	40	3
12	30	45	1
12	31	20	4
12	31	25	1
12	31	30	2
12	31	35	3
12	31	40	7
12	31	45	1
12	32	20	1
12	32	25	6
12	32	30	6
12	32	35	7
12	32	40	4
12	32	45	2
12	32	55	1
12	33	20	6
12	33	25	8
12	33	30	6
12	33	35	8
12	33	40	6
12	33	45	3
12	33	55	1
12	33	60	1
12	33	65	1
