length_bp	read_count
2140	1
2421	1
2578	1
3200	1
3842	1
4680	1
4805	1
4822	1
4990	1
5054	1
5082	1
5162	1
5684	1
5900	1
7289	1
7785	1
8166	1
8824	1
8833	1
8851	1
8923	1
9079	1
9858	1
10373	1
10540	1
10668	1
10719	1
10907	1
11110	1
11121	1
11180	1
11214	1
11237	1
11284	1
11325	1
11333	1
11335	1
11339	1
11369	1
11372	1
11375	1
11380	1
11412	2
11449	1
11469	1
11480	1
11485	1
11506	1
11528	1
11559	1
11570	1
11572	1
11583	1
11596	1
11601	1
11602	2
11607	1
11613	1
11633	1
11634	1
11636	1
11658	1
11667	1
11668	1
11669	1
11676	1
11684	1
11695	1
11699	1
11712	1
11717	1
11723	1
11728	1
11730	1
11736	1
11739	1
11743	1
11746	1
11752	1
11757	1
11763	1
11764	1
11767	2
11771	1
11787	1
11807	1
11810	1
11812	1
11814	1
11829	1
11831	1
11833	1
11838	1
11840	1
11860	1
11879	1
11893	1
11894	1
11896	1
11911	1
11914	1
11916	1
11917	1
11922	1
11935	3
11941	1
11945	3
11948	1
11950	1
11952	1
11957	1
11960	1
11963	1
11969	1
11973	1
11976	1
11977	1
11978	1
11981	1
12004	1
12007	1
12009	1
12013	1
12016	1
12018	1
12020	1
12023	1
12024	2
12025	2
12028	1
12031	1
12034	1
12036	1
12038	1
12041	2
12043	1
12046	1
12048	1
12050	1
12053	1
12057	1
12066	1
12067	2
12072	1
12073	1
12076	1
12080	1
12087	2
12096	1
12099	2
12100	1
12108	1
12109	1
12123	1
12133	1
12134	1
12142	1
12143	2
12150	1
12157	1
12161	1
12162	1
12164	1
12167	1
12173	1
12186	1
12187	1
12188	1
12194	1
12208	1
12213	1
12214	1
12215	1
12217	2
12219	2
12220	1
12222	1
12226	2
12227	1
12231	1
12236	1
12240	1
12241	1
12247	1
12253	1
12256	2
12259	1
12261	1
12263	1
12264	1
12265	1
12268	1
12269	2
12271	1
12274	1
12275	2
12280	1
12286	1
12291	1
12297	1
12301	1
12303	1
12304	1
12306	1
12309	1
12310	2
12312	2
12313	2
12316	1
12318	2
12330	3
12331	1
12333	1
12335	1
12342	1
12343	1
12345	1
12346	1
12348	1
12350	1
12351	2
12352	1
12353	2
12355	1
12357	1
12358	1
12359	1
12363	1
12367	1
12368	1
12373	1
12375	1
