phred	base_count
1	813
2	253953
3	11985015
4	20389823
5	18504245
6	17649741
7	17450809
8	17772594
9	18411866
10	19311656
11	20493477
12	21896485
13	23479186
14	25238732
15	27133783
16	29219922
17	31316751
18	33582717
19	36081425
20	38939357
21	41887855
22	44857676
23	48166452
24	51732696
25	55544113
26	59200418
27	62834792
28	66247761
29	69794689
30	73848138
31	78804434
32	83789198
33	87084553
34	91723509
35	97105252
36	102699652
37	106539432
38	110341848
39	116006592
40	122873123
41	130769425
42	138596513
43	147518254
44	151825190
45	153052370
46	155713540
47	161646337
48	166282320
49	168658938
50	174733360
51	183758502
52	194120270
53	199553127
54	202679347
55	199209289
56	196477751
57	195566938
58	195674988
59	200764944
60	208842881
61	216947462
62	224256797
63	233368525
64	239305928
65	243209286
66	243819825
67	235250694
68	223743810
69	218307256
70	210787692
71	206126916
72	203680377
73	203666790
74	205953021
75	210269418
76	213181044
77	216102609
78	221906709
79	221113995
80	214667370
81	210593015
82	203162503
83	193583912
84	187956516
85	183582793
86	180076781
87	178103060
88	178301347
89	178770997
90	178798463
91	181533405
92	179279799
93	6471743497
