length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	24	90	1
0	27	45	1
0	28	90	1
0	29	40	1
0	34	20	1
0	38	25	2
0	38	35	1
0	39	90	2
0	40	25	1
0	40	60	1
0	41	90	1
0	42	20	2
0	42	30	1
0	42	85	1
0	43	20	1
0	43	25	1
0	43	30	2
0	43	45	1
0	43	70	1
0	43	90	7
0	44	20	4
0	44	25	4
0	44	30	2
0	44	40	1
0	44	45	3
0	44	55	1
0	44	65	4
0	44	75	1
0	44	90	60
0	45	20	3
0	45	90	4
0	46	20	2
0	46	90	4
0	47	60	1
0	48	50	1
0	48	55	1
0	48	90	2
0	49	20	1
0	49	25	1
0	51	20	1
0	51	40	1
0	51	90	1
0	53	75	1
1	23	90	1
1	25	35	1
1	25	90	1
1	27	55	1
1	28	20	1
1	29	35	2
1	29	70	1
1	30	25	1
1	30	35	1
1	30	85	1
1	30	90	2
1	31	20	1
1	31	25	1
1	31	30	1
1	31	70	1
1	31	90	1
1	32	25	2
1	32	30	1
1	33	35	1
1	33	40	1
1	33	75	1
1	34	35	1
1	34	45	2
1	34	70	1
1	34	90	4
1	35	20	2
1	35	35	2
1	35	80	1
1	35	85	1
1	35	90	5
1	36	20	1
1	36	25	1
1	36	30	2
1	36	35	1
1	36	80	1
1	36	90	3
1	37	20	1
1	37	30	2
1	37	35	3
1	37	90	4
1	38	20	2
1	38	35	1
1	38	40	1
1	38	70	2
1	38	75	1
1	38	90	6
1	39	60	1
1	39	80	1
1	39	90	2
1	40	35	1
1	40	60	1
1	40	75	1
1	40	80	1
1	40	90	3
1	41	30	1
1	41	90	4
1	42	20	1
1	42	70	1
1	42	90	2
1	43	60	1
1	43	90	1
1	44	25	2
1	44	35	2
1	44	40	1
1	44	90	2
1	46	30	1
1	48	25	1
1	48	90	1
1	49	30	1
1	49	40	1
1	49	90	1
1	51	30	1
1	51	90	1
1	56	90	1
1	65	90	1
2	27	30	1
2	28	30	1
2	28	35	1
2	28	40	1
2	29	35	1
2	29	75	2
2	30	25	1
2	30	55	1
2	30	80	1
2	30	90	3
2	31	25	1
2	31	35	2
2	32	65	1
2	32	80	1
2	32	90	1
2	33	30	1
2	33	90	2
2	34	35	1
2	34	85	1
2	34	90	2
2	35	25	1
2	35	30	1
2	35	60	1
2	35	90	3
2	36	20	1
2	36	25	1
2	36	30	2
2	36	35	2
2	36	45	1
2	36	70	1
2	36	90	1
2	37	20	1
2	37	35	1
2	37	50	1
2	37	60	1
2	37	70	1
2	38	30	1
2	38	40	2
2	38	55	1
2	38	90	4
2	39	25	1
2	39	30	1
2	39	35	1
2	39	40	1
2	39	90	1
2	40	65	1
2	41	25	1
2	41	70	1
2	41	90	5
2	42	25	1
2	42	35	1
2	42	40	1
2	43	90	1
2	44	90	2
2	49	90	1
2	50	25	1
2	50	35	1
2	51	40	1
2	52	45	1
2	52	90	2
2	53	45	1
2	57	90	1
3	26	35	1
3	26	90	1
3	27	40	1
3	27	85	1
3	28	25	1
3	29	50	1
3	30	25	1
3	30	50	1
3	32	30	1
3	33	35	2
3	33	65	1
3	33	90	1
3	34	40	1
3	34	55	1
3	34	90	2
3	35	35	1
3	35	45	1
3	35	60	1
3	35	65	1
3	35	70	1
3	35	90	1
3	36	30	1
3	36	35	2
3	36	60	1
3	36	65	1
3	36	90	1
3	37	25	2
3	37	30	1
3	37	35	1
3	37	40	1
3	37	45	1
3	37	55	1
3	37	65	1
3	37	90	2
3	38	25	1
3	38	35	1
3	38	60	1
3	38	90	1
3	39	35	1
3	39	40	1
3	40	40	1
3	40	45	1
3	40	90	3
3	41	40	1
3	42	90	1
3	43	30	1
3	43	80	1
3	49	50	1
3	50	20	1
3	50	50	1
3	51	40	1
3	55	35	1
4	30	40	1
4	31	25	1
4	31	75	1
4	32	20	1
4	32	35	1
4	32	70	1
4	33	25	1
4	33	30	1
4	33	35	1
4	34	25	1
4	34	30	1
4	34	35	1
4	34	40	2
4	34	75	1
4	34	90	1
4	35	35	2
4	35	40	2
4	35	90	1
4	36	35	1
4	36	90	1
4	37	20	1
4	37	30	1
4	37	60	1
4	37	90	2
4	38	25	1
4	38	30	1
4	38	40	1
4	38	75	1
4	38	90	3
4	39	40	1
4	39	45	1
4	39	90	1
4	40	20	1
4	40	90	1
4	41	35	1
4	41	40	1
4	48	50	1
4	48	65	1
4	52	30	1
4	59	90	1
4	60	35	1
5	27	30	1
5	28	25	1
5	28	35	1
5	31	60	1
5	33	55	1
5	33	80	1
5	34	20	1
5	34	35	1
5	34	70	1
5	35	35	1
5	36	30	1
5	36	35	1
5	36	40	1
5	36	45	1
5	36	50	1
5	37	20	2
5	37	25	1
5	37	35	1
5	37	40	2
5	37	75	1
5	37	90	1
5	38	25	2
5	38	30	1
5	38	70	1
5	39	30	1
5	40	35	1
5	40	90	1
5	41	30	1
5	42	35	1
5	50	20	1
5	51	20	1
5	53	65	1
6	29	20	1
6	29	75	1
6	31	35	3
6	32	35	1
6	33	25	1
6	33	40	1
6	34	40	1
6	34	45	1
6	34	50	1
6	35	20	1
6	35	40	1
6	35	50	1
6	35	65	1
6	36	40	3
6	36	45	2
6	37	25	1
6	37	30	1
6	37	55	1
6	38	20	1
6	38	25	1
6	38	30	2
6	39	45	1
6	42	30	2
6	46	35	1
6	52	40	1
6	53	25	1
6	53	50	1
7	29	35	1
7	30	25	1
7	32	30	1
7	32	45	1
7	33	40	1
7	33	45	1
7	33	55	1
7	34	20	2
7	34	25	2
7	34	40	1
7	35	40	1
7	36	25	1
7	36	35	1
7	36	40	1
7	37	20	2
7	37	40	1
7	38	35	1
7	38	40	1
7	38	65	1
7	38	90	2
7	39	60	2
7	39	85	1
7	41	25	1
7	47	25	1
7	52	40	1
7	53	35	1
7	61	25	1
8	31	35	1
8	32	40	1
8	32	50	1
8	33	45	1
8	34	25	1
8	34	30	1
8	34	35	3
8	34	40	3
8	35	30	1
8	36	20	1
8	36	25	1
8	36	35	2
8	36	45	1
8	36	55	1
8	36	60	1
8	37	30	2
8	37	45	1
8	38	25	1
8	38	30	1
8	38	40	1
8	38	45	1
8	38	55	1
8	39	25	1
8	39	50	1
8	40	20	1
8	40	25	2
8	40	30	1
8	52	25	1
8	52	35	1
8	52	40	1
8	53	35	1
9	26	40	1
9	31	20	1
9	31	25	1
9	32	20	2
9	32	25	1
9	32	30	1
9	32	35	1
9	32	45	1
9	32	55	1
9	33	20	1
9	33	25	1
9	33	30	1
9	33	45	1
9	34	40	1
9	34	65	1
9	35	25	1
9	35	30	1
9	35	35	2
9	35	50	2
9	35	60	1
9	36	20	2
9	36	40	1
9	37	25	1
9	37	35	2
9	37	40	2
9	37	45	1
9	37	55	3
9	37	85	1
9	38	30	1
9	38	35	1
9	38	40	2
9	39	30	1
9	39	55	1
9	39	65	1
9	40	35	2
9	42	40	1
9	42	45	1
9	44	30	1
9	44	75	1
9	50	45	1
9	52	20	1
9	52	25	1
9	52	30	1
9	52	35	2
9	52	40	1
10	27	20	1
10	28	30	1
10	29	25	2
10	29	35	1
10	30	20	2
10	30	30	2
10	30	35	1
10	31	20	1
10	31	25	3
10	31	30	3
10	31	40	1
10	31	45	1
10	32	20	3
10	32	25	4
10	32	30	4
10	32	35	1
10	32	40	4
10	32	45	1
10	33	20	3
10	33	25	2
10	33	30	3
10	33	35	1
10	33	40	5
10	33	45	1
10	34	20	4
10	34	25	3
10	34	30	3
