length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	24	90	1
0	27	45	1
0	28	90	1
0	38	25	1
0	38	35	1
0	39	90	1
0	41	90	1
0	42	20	2
0	42	85	1
0	43	25	1
0	43	30	1
0	43	70	1
0	43	90	2
0	44	20	3
0	44	25	1
0	44	30	1
0	44	45	3
0	44	55	1
0	44	65	2
0	44	90	40
0	45	20	1
0	45	90	2
0	46	90	3
0	47	60	1
0	48	55	1
0	49	20	1
0	49	25	1
0	51	20	1
0	51	90	1
1	29	35	1
1	30	25	1
1	30	85	1
1	30	90	1
1	31	25	1
1	32	30	1
1	33	75	1
1	34	45	1
1	35	20	1
1	35	35	2
1	35	90	2
1	36	20	1
1	36	25	1
1	36	30	1
1	36	35	1
1	36	80	1
1	36	90	1
1	37	30	1
1	37	35	1
1	37	90	3
1	38	20	2
1	38	90	3
1	39	60	1
1	39	90	2
1	40	35	1
1	40	60	1
1	40	80	1
1	40	90	1
1	41	90	3
1	42	20	1
1	42	90	1
1	43	60	1
1	43	90	1
1	44	25	1
1	44	40	1
1	48	25	1
1	48	90	1
1	49	40	1
1	51	90	1
1	56	90	1
1	65	90	1
2	28	35	1
2	28	40	1
2	30	80	1
2	30	90	3
2	31	35	1
2	32	65	1
2	32	90	1
2	33	90	2
2	34	85	1
2	34	90	1
2	35	25	1
2	35	60	1
2	35	90	2
2	36	20	1
2	36	25	1
2	36	30	2
2	36	35	1
2	36	45	1
2	36	70	1
2	37	20	1
2	38	30	1
2	38	55	1
2	38	90	4
2	39	40	1
2	39	90	1
2	41	25	1
2	41	90	5
2	42	25	1
2	42	35	1
2	43	90	1
2	52	45	1
2	52	90	2
2	53	45	1
2	57	90	1
3	27	40	1
3	30	50	1
3	33	35	1
3	33	65	1
3	34	40	1
3	34	55	1
3	34	90	2
3	35	35	1
3	35	45	1
3	35	65	1
3	35	70	1
3	36	30	1
3	36	35	1
3	37	25	2
3	37	30	1
3	37	35	1
3	37	40	1
3	37	45	1
3	37	55	1
3	37	65	1
3	37	90	1
3	38	25	1
3	38	60	1
3	39	35	1
3	40	40	1
3	40	45	1
3	40	90	1
3	41	40	1
3	49	50	1
3	50	20	1
3	50	50	1
3	51	40	1
3	55	35	1
4	31	25	1
4	31	75	1
4	32	20	1
4	32	35	1
4	33	25	1
4	33	30	1
4	33	35	1
4	34	25	1
4	34	40	1
4	34	75	1
4	35	35	1
4	35	40	1
4	35	90	1
4	36	90	1
4	37	30	1
4	37	90	2
4	38	25	1
4	38	40	1
4	38	75	1
4	38	90	1
4	39	45	1
4	39	90	1
4	40	20	1
4	40	90	1
4	41	35	1
4	48	50	1
4	48	65	1
4	52	30	1
4	59	90	1
4	60	35	1
5	28	25	1
5	31	60	1
5	33	55	1
5	34	20	1
5	34	35	1
5	34	70	1
5	35	35	1
5	36	30	1
5	36	35	1
5	36	40	1
5	36	45	1
5	37	20	2
5	37	25	1
5	37	40	1
5	37	90	1
5	38	25	2
5	38	30	1
5	38	70	1
5	39	30	1
5	40	90	1
5	41	30	1
5	50	20	1
6	31	35	3
6	32	35	1
6	33	25	1
6	34	45	1
6	35	20	1
6	35	50	1
6	36	40	1
6	36	45	2
6	37	25	1
6	37	55	1
6	38	30	1
6	39	45	1
6	53	50	1
7	32	45	1
7	33	45	1
7	34	25	2
7	34	40	1
7	36	25	1
7	38	35	1
7	38	65	1
7	38	90	1
7	39	60	2
7	41	25	1
7	47	25	1
7	53	35	1
8	31	35	1
8	32	50	1
8	33	45	1
8	34	35	3
8	34	40	2
8	35	30	1
8	36	25	1
8	37	30	1
8	38	30	1
8	38	40	1
8	38	55	1
8	39	25	1
8	39	50	1
8	40	25	1
8	40	30	1
8	52	25	1
8	53	35	1
9	26	40	1
9	31	20	1
9	32	20	2
9	32	30	1
9	32	45	1
9	33	20	1
9	33	30	1
9	34	65	1
9	35	35	1
9	35	50	1
9	35	60	1
9	36	20	2
9	37	25	1
9	37	35	1
9	37	40	1
9	37	55	3
9	37	85	1
9	38	30	1
9	38	35	1
9	38	40	2
9	39	65	1
9	44	75	1
9	50	45	1
9	52	25	1
9	52	35	1
9	52	40	1
10	27	20	1
10	28	30	1
10	29	25	1
10	30	20	1
10	30	30	2
10	30	35	1
10	31	20	1
10	31	25	1
10	31	30	1
10	31	40	1
10	32	20	3
10	32	25	2
10	32	30	1
10	32	40	3
10	33	20	2
10	33	25	2
10	33	30	1
10	33	40	4
10	34	20	4
10	34	25	2
10	34	30	3
10	34	35	1
10	34	40	4
10	34	45	1
10	35	20	2
10	35	25	2
10	35	30	3
10	35	35	2
10	35	40	1
10	35	45	2
10	35	60	1
10	36	20	1
10	36	35	2
10	36	40	2
10	36	45	1
10	37	20	2
10	37	30	3
10	37	35	5
10	37	40	3
10	37	50	1
10	38	20	1
10	38	35	2
10	38	40	1
10	38	90	1
10	39	25	2
10	39	30	1
10	39	35	1
10	39	40	1
10	40	30	1
10	42	30	1
10	43	50	1
10	44	30	1
10	51	20	2
10	51	30	1
10	52	20	1
10	52	25	3
10	52	30	3
10	52	40	1
11	29	20	1
11	29	30	1
11	29	35	2
11	30	20	1
11	30	25	6
11	30	30	3
11	30	35	1
11	30	40	1
11	31	20	2
11	31	25	3
11	31	30	2
11	31	35	2
11	31	40	2
11	32	20	3
11	32	25	1
11	32	30	4
11	32	35	8
11	32	40	4
11	32	50	1
11	33	20	2
11	33	25	2
11	33	30	5
11	33	35	4
11	33	40	1
11	33	45	2
11	34	20	5
11	34	25	7
11	34	30	7
11	34	35	5
11	34	40	10
11	34	45	1
11	34	50	1
11	35	20	5
11	35	25	7
11	35	30	7
11	35	35	8
11	35	40	5
11	35	45	2
11	35	55	1
11	36	20	7
11	36	25	3
11	36	30	5
11	36	35	1
11	36	40	9
11	36	45	5
11	37	20	3
11	37	25	2
11	37	30	5
11	37	35	3
11	37	40	7
11	37	45	3
11	37	55	1
11	38	20	6
11	38	25	3
11	38	30	8
11	38	35	4
11	38	40	3
11	38	45	4
11	38	65	1
11	39	20	2
11	39	25	2
11	39	30	3
11	39	35	3
11	39	40	2
11	39	50	1
11	39	55	1
11	40	20	1
11	40	30	1
11	40	40	1
11	41	20	1
11	41	30	1
11	41	35	1
11	41	40	1
11	42	25	1
11	42	35	2
11	42	45	1
11	43	30	2
11	43	35	2
11	43	40	1
11	44	20	2
11	44	30	1
11	45	30	1
11	46	25	1
11	46	30	1
11	46	50	1
11	47	25	1
11	47	30	1
11	47	35	1
11	51	20	1
11	51	35	1
11	52	20	3
11	52	25	3
11	52	35	3
11	52	40	2
11	53	20	1
12	28	35	4
12	28	40	2
12	29	20	2
12	29	25	3
12	29	30	2
12	29	35	4
12	29	40	1
12	29	45	2
12	30	20	5
12	30	25	4
12	30	30	9
12	30	35	8
12	30	40	3
12	30	45	1
12	31	20	6
12	31	25	5
12	31	30	4
12	31	35	2
12	31	40	4
12	31	45	4
12	31	50	1
12	32	20	6
12	32	25	9
12	32	30	7
12	32	35	7
12	32	40	6
12	32	45	3
12	32	50	2
12	33	20	12
12	33	25	11
12	33	30	14
12	33	35	17
12	33	40	10
12	33	45	2
12	34	20	17
12	34	25	15
12	34	30	23
12	34	35	25
12	34	40	17
12	34	45	1
12	34	50	1
12	35	20	19
12	35	25	19
12	35	30	15
12	35	35	20
12	35	40	16
12	35	45	2
12	35	50	1
12	36	20	14
12	36	25	17
12	36	30	17
12	36	35	15
