length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	22	15	1
0	23	15	2
0	23	30	1
0	23	35	1
0	24	15	1
0	26	20	1
0	28	20	1
0	28	25	1
0	28	30	1
0	29	25	2
0	29	30	2
0	29	35	1
0	30	15	1
0	30	20	1
0	30	25	2
0	30	35	2
0	31	15	1
0	31	25	1
0	31	30	1
0	32	20	1
0	32	25	2
0	32	35	2
0	33	15	1
0	33	20	1
0	34	15	2
0	34	20	1
0	34	25	1
0	35	20	1
0	35	30	1
0	36	15	1
0	36	20	2
0	36	25	3
0	36	30	1
0	37	25	4
0	37	30	2
0	38	25	2
0	38	30	1
0	38	35	1
0	39	15	1
0	39	30	2
0	40	20	1
0	40	30	1
0	40	35	1
0	40	40	1
0	41	15	1
0	41	20	1
0	41	35	2
0	42	35	1
0	43	30	1
0	43	35	2
0	43	40	1
0	44	15	1
0	44	20	3
0	44	30	1
0	44	35	2
0	45	15	1
0	45	20	1
0	45	30	2
0	46	15	1
0	46	20	1
0	46	35	2
0	47	15	2
0	47	20	3
0	47	25	3
0	47	30	1
0	47	40	1
0	48	15	3
0	48	20	1
0	48	25	1
0	48	30	2
0	48	40	1
0	49	25	1
0	49	30	2
0	50	35	1
0	52	30	1
0	52	35	1
0	53	15	1
0	53	25	1
0	56	30	1
0	56	40	1
0	58	30	1
0	59	20	1
0	60	30	1
0	60	40	1
0	62	15	1
0	64	40	1
1	31	40	1
1	32	15	1
1	32	25	2
1	33	20	2
1	33	25	1
1	33	35	1
1	34	15	1
1	34	20	1
1	34	30	1
1	34	35	1
1	34	40	1
1	36	20	2
1	36	35	1
1	37	35	1
1	38	15	1
1	38	35	2
1	38	40	1
1	39	20	1
1	39	30	1
1	39	35	2
1	39	40	1
1	40	15	1
1	40	20	1
1	40	35	2
1	40	40	4
1	41	25	1
1	41	30	1
1	41	35	2
1	41	40	5
1	42	15	1
1	42	25	1
1	42	35	1
1	42	40	2
1	43	15	1
1	43	20	1
1	43	25	4
1	43	40	2
1	44	15	2
1	44	20	5
1	44	25	4
1	44	30	4
1	44	35	1
1	44	40	1
1	45	15	8
1	45	20	6
1	45	25	1
1	45	35	1
1	45	40	2
1	46	15	2
1	46	20	2
1	46	25	3
1	46	30	7
1	46	35	2
1	46	40	1
1	47	15	4
1	47	20	1
1	47	25	3
1	47	30	3
1	47	35	1
1	48	20	1
1	48	25	1
1	48	30	4
1	48	35	3
1	48	40	1
1	49	15	1
1	49	20	1
1	49	25	4
1	49	35	1
1	49	40	2
1	50	20	1
1	50	35	3
1	50	40	1
1	51	30	1
1	51	35	1
1	51	40	1
1	52	35	1
1	54	20	3
1	54	30	1
1	54	40	1
1	56	40	1
1	58	20	1
1	60	15	1
1	61	20	1
1	62	35	1
1	63	40	1
1	64	40	1
2	30	35	1
2	32	15	1
2	33	35	1
2	34	35	1
2	35	30	1
2	35	40	3
2	36	20	1
2	36	25	2
2	36	35	1
2	36	40	4
2	37	25	1
2	37	35	2
2	38	25	2
2	38	30	1
2	38	35	3
2	38	40	5
2	39	15	1
2	39	30	1
2	39	35	4
2	39	40	7
2	40	20	1
2	40	30	2
2	40	35	6
2	40	40	4
2	41	15	1
2	41	25	5
2	41	30	4
2	41	35	8
2	41	40	7
2	42	15	1
2	42	20	1
2	42	25	2
2	42	30	1
2	42	35	11
2	42	40	2
2	43	15	1
2	43	25	4
2	43	30	4
2	43	35	7
2	43	40	10
2	44	15	1
2	44	20	3
2	44	25	3
2	44	30	3
2	44	35	5
2	44	40	10
2	45	15	3
2	45	20	2
2	45	25	1
2	45	30	1
2	45	35	6
2	45	40	4
2	46	20	1
2	46	25	1
2	46	30	3
2	46	35	5
2	46	40	6
2	47	20	1
2	47	25	1
2	47	30	2
2	47	35	5
2	47	40	4
2	48	20	2
2	48	25	1
2	48	30	1
2	48	35	6
2	48	40	5
2	49	30	1
2	49	35	3
2	49	40	7
2	50	35	3
2	50	40	5
2	51	15	1
2	51	20	2
2	51	25	2
2	51	30	1
2	51	35	6
2	51	40	3
2	52	35	3
2	52	40	1
2	53	15	1
2	53	25	2
2	53	35	3
2	53	40	1
2	54	15	1
2	54	35	1
2	55	30	1
2	55	35	2
2	55	40	2
2	56	30	1
2	56	35	1
2	56	40	2
2	58	25	1
2	59	30	1
2	60	25	1
2	60	30	1
2	60	35	1
2	60	40	1
2	61	40	2
2	62	25	1
2	62	35	1
2	62	40	2
2	63	25	1
2	63	40	1
3	29	20	1
3	31	35	1
3	32	30	1
3	32	40	1
3	33	40	1
3	34	25	2
3	35	30	3
3	35	35	2
3	35	40	3
3	36	20	1
3	36	30	2
3	36	40	2
3	37	20	1
3	37	35	1
3	37	40	2
3	38	25	1
3	38	35	4
3	38	40	3
3	39	25	6
3	39	30	3
3	39	35	2
3	39	40	6
3	40	15	2
3	40	20	2
3	40	25	3
3	40	30	1
3	40	35	9
3	40	40	6
3	41	20	1
3	41	25	3
3	41	30	1
3	41	35	10
3	41	40	3
3	42	25	2
3	42	30	8
3	42	35	14
3	42	40	8
3	43	20	4
3	43	25	5
3	43	30	5
3	43	35	18
3	43	40	7
3	44	20	5
3	44	25	2
3	44	35	12
3	44	40	12
3	45	20	4
3	45	25	3
3	45	35	7
3	45	40	6
3	46	15	5
3	46	20	1
