length_bp	read_count
87	1
98	1
123	1
126	1
145	2
148	1
153	1
160	1
164	1
170	1
171	1
192	2
210	1
213	1
215	1
221	1
246	2
254	1
258	1
260	1
281	1
285	1
286	1
295	1
316	1
318	1
319	1
322	1
329	1
383	1
420	1
442	1
443	2
447	1
448	1
449	1
452	1
473	1
474	1
475	1
480	1
491	2
511	2
518	1
520	1
524	1
539	1
560	1
568	1
570	1
577	1
604	1
625	1
630	1
639	1
648	1
651	1
652	1
665	1
669	2
681	1
683	1
692	1
701	1
715	1
719	1
727	1
733	1
770	1
772	1
785	1
809	1
812	1
814	1
818	1
820	1
824	2
828	1
839	1
845	1
850	1
859	1
865	1
868	1
869	1
871	1
874	1
875	2
880	1
882	1
888	1
891	1
893	1
903	1
906	2
910	1
919	1
932	1
943	1
956	2
957	1
964	1
966	1
967	1
973	1
978	1
981	1
988	1
1006	1
1018	1
1019	2
1021	1
1028	1
1063	1
1080	1
1086	1
1088	1
1091	1
1101	1
1105	1
1110	1
1111	1
1116	1
1117	1
1121	1
1122	1
1123	1
1132	1
1137	1
1138	1
1144	1
1151	1
1152	1
1167	1
1168	1
1173	1
1175	1
1187	1
1197	1
1202	1
1203	1
1207	1
1208	1
1216	1
1233	1
1242	1
1244	1
1251	1
1254	2
1259	1
1263	1
1269	1
1276	1
1278	1
1286	1
1287	2
1301	1
1321	1
1329	1
1333	1
1338	1
1349	1
1350	1
1352	1
1358	1
1361	1
1363	1
1368	1
1376	1
1383	1
1391	1
1400	1
1406	2
1417	1
1418	1
1426	1
1431	1
1432	1
1433	1
1435	1
1445	1
1453	1
1461	1
1463	1
1470	1
1474	1
1488	1
1493	1
1495	1
1507	1
1528	1
1529	1
1530	1
1538	1
1539	1
1544	1
1566	1
1569	1
1580	1
1581	1
1583	1
1584	1
1597	1
1600	1
1601	1
1604	1
1605	1
1608	1
1627	1
1631	1
1633	1
1638	1
1639	2
1647	1
1653	1
1654	1
1674	1
1685	1
1712	1
1716	1
1717	1
1727	1
1728	1
1733	1
1739	1
1740	1
1749	1
1763	1
1771	1
1805	1
1806	1
1813	1
1819	1
1829	1
1853	1
1854	1
1867	1
1872	2
1877	1
1879	1
1880	2
1888	1
1889	1
1896	1
1897	1
1907	1
1910	1
1916	1
1917	1
1920	1
1921	1
1935	1
1939	1
1943	1
1953	1
1956	1
1957	1
1960	1
1963	1
1976	1
1998	1
2004	2
2007	1
2010	1
2014	1
2016	1
2017	1
2023	1
2024	1
2025	1
2027	1
2032	2
2033	1
2034	1
2041	2
2044	1
2053	1
2061	1
2062	1
2064	1
2065	1
2083	1
2098	2
2099	1
2100	1
2101	1
2104	2
2108	1
2121	1
2128	1
2130	1
2139	1
2142	1
2144	1
2150	1
2151	1
2152	1
2154	1
2161	1
2162	1
2174	1
2175	1
2177	1
2186	1
2196	1
2198	2
2217	1
2220	1
2223	1
2240	1
2245	1
2250	1
2252	1
2256	1
2261	1
2269	1
2277	1
2279	1
2280	1
2284	1
2286	1
2287	1
2292	1
2294	3
2297	2
2298	1
2303	1
2314	1
2325	1
2331	2
2332	1
2340	1
2345	1
2347	2
2349	1
2354	1
2358	1
2377	1
2379	2
2380	1
2381	1
2384	1
2387	1
2390	1
2394	1
2397	1
2398	1
2400	1
2405	2
2407	1
2412	1
2417	1
2421	1
2422	1
2427	1
2430	1
2431	1
2444	1
2474	1
2478	1
2483	1
2489	1
2490	1
2493	3
2496	1
2497	1
2498	1
2503	1
2505	1
2506	1
2518	1
2522	2
2525	1
2530	1
2531	1
2538	1
2539	1
2544	1
2548	1
2561	1
2568	1
2573	1
2576	1
2577	2
2591	1
2592	1
2597	2
2598	1
2605	1
2607	1
2608	1
2609	1
2614	2
2615	1
2621	1
2622	1
2624	1
2628	1
2632	1
2633	1
2641	1
2645	1
2648	1
2649	1
2652	1
2664	1
2666	1
2667	1
2672	1
2682	1
2687	1
2688	1
2692	1
2693	1
2698	2
2699	1
2700	2
2703	1
2705	1
2706	1
2707	1
2715	1
2720	1
2724	1
2727	1
2728	1
2730	1
2731	1
2732	2
2733	1
2736	2
2739	1
2741	1
2742	1
2744	1
2745	1
2746	1
2747	1
2748	1
2753	1
2755	2
2758	1
2760	1
2795	1
2796	1
2797	1
2811	1
2817	1
2821	1
2826	1
2827	1
2829	1
2832	1
2835	3
2837	2
2838	1
2843	1
2844	1
2847	1
2849	2
2851	1
2859	1
2864	1
2865	2
2868	1
2869	1
2872	1
2876	1
2880	1
2882	1
2885	1
2889	1
2903	1
2904	1
2911	2
2912	1
2914	1
2916	1
2918	1
2919	1
2923	1
2926	1
2928	2
2932	1
2933	1
2934	3
2949	1
2950	2
2952	2
2953	2
2955	1
2957	1
2965	1
2971	1
2973	1
2974	1
2979	1
2980	1
2981	1
2982	1
2984	2
2986	1
2989	2
2997	1
3001	1
3003	1
3006	1
3008	1
3012	1
3013	1
3017	1
3023	2
3025	1
3026	2
3030	1
3033	1
3037	1
3038	2
3041	1
3042	1
3047	1
3049	1
3053	1
3054	1
3055	1
3056	1
3058	1
3060	1
3061	1
3062	1
3074	1
3076	1
3078	1
3085	1
3088	1
3089	1
3093	1
3104	1
3105	1
3106	2
3118	1
3123	2
3128	1
3137	3
3142	1
3144	1
3147	1
3152	1
3157	1
3160	2
3163	2
3173	2
3176	1
3177	1
3178	1
3184	1
3189	1
3196	2
3197	1
3199	4
3201	1
3204	1
3210	1
3212	2
3214	1
3215	1
3216	1
3220	1
3223	1
3224	1
3228	1
3230	2
3232	1
3235	1
3244	2
3245	1
3246	1
3249	1
3251	1
3252	2
3256	1
3257	1
3259	1
3263	2
3269	1
3271	1
3273	1
3274	1
3277	1
3284	1
3285	1
3287	1
3289	1
3290	1
3292	1
3296	1
3297	2
3313	1
3316	1
3318	1
3328	1
3329	1
3332	1
3337	1
3341	1
3342	1
3343	1
3351	2
3353	1
3366	1
3367	1
3369	1
3373	1
3377	1
3379	1
3380	1
3388	1
3390	4
3391	1
3392	2
3394	1
3397	1
3398	1
3400	1
3401	1
3402	3
3403	1
3404	1
3406	1
3408	1
3409	1
3413	1
3414	1
3416	2
3418	2
3430	1
3436	1
3439	2
3440	1
3446	1
3451	1
3452	1
3455	1
3456	2
3459	1
3461	1
3464	1
3465	2
3466	2
3468	1
3473	1
3477	1
3482	1
3484	1
3485	1
3487	1
3488	2
3491	1
3493	2
3494	1
3495	1
3497	1
3502	1
3507	1
3511	1
3512	1
3513	1
3514	1
3525	2
3528	1
3531	1
3538	1
3540	1
3541	1
3543	1
3544	1
3548	2
3551	1
3560	2
3562	1
3563	2
3565	1
3567	1
3569	1
3571	1
3574	1
3576	2
3582	1
3584	3
3585	1
3587	1
3588	1
3591	1
3593	3
3597	1
3600	1
3602	1
3606	2
3610	1
3612	1
3614	1
3617	1
3630	1
3631	1
3632	1
3638	1
3641	1
3642	1
3643	1
3646	1
3650	1
3651	1
3657	1
3658	1
3665	3
3668	1
3669	1
3670	2
3676	1
3677	1
3678	1
3679	2
3682	1
3685	2
3692	2
3697	1
3702	1
3705	1
3706	1
3707	1
3709	1
3713	1
3715	1
3716	1
3719	1
3722	1
3727	2
3728	1
3729	2
3731	1
3732	1
3737	1
3741	1
3744	1
3745	1
3747	1
3750	1
3751	3
3753	1
3759	1
3764	1
3774	2
3775	1
3780	1
3784	1
3785	1
3790	2
3800	1
3804	1
3805	1
3807	2
3808	1
3811	1
3816	1
3817	1
3820	1
3829	1
3830	1
3831	1
3832	1
3834	2
3838	1
3840	1
3845	1
3847	1
3848	1
3850	2
3856	1
3857	1
3859	1
3860	1
3866	2
3867	2
3874	1
3875	1
3876	1
3879	1
3880	2
3882	1
3883	1
3885	1
3886	1
3888	1
3895	1
3897	1
3901	1
3906	1
3909	1
3913	1
3917	1
3918	1
3924	1
3941	1
3943	1
3944	2
3946	1
3947	1
3950	2
3954	1
3955	2
3956	1
3960	1
3961	1
3970	1
3973	2
3976	1
3982	1
3986	1
3994	1
3995	1
3998	1
4004	1
4007	1
4009	2
4010	1
4011	1
4012	1
4013	1
4018	1
4032	2
4036	1
4038	1
4041	1
4042	1
4044	2
4047	3
4051	2
4054	1
4056	1
4062	1
4063	2
4066	1
4070	1
4073	1
4074	1
4076	1
4077	1
4078	1
4080	1
4081	1
4085	1
4098	2
4100	2
4104	1
4105	1
4108	1
4110	2
4115	1
4116	1
4119	2
4121	2
4122	1
4125	1
4127	2
4128	1
4129	1
4130	2
4131	2
4134	1
4136	1
4138	1
4139	1
4140	1
4141	1
4142	1
4143	1
4144	2
4151	1
4154	2
4156	1
4163	1
4167	1
4169	1
4170	1
4175	2
4177	1
4178	2
4182	1
4183	1
4185	2
4188	2
4190	1
4198	2
4200	2
4201	1
4203	1
4206	2
4208	1
4214	1
4215	2
4217	2
4218	2
4225	1
4228	1
4229	1
4230	2
4231	1
4232	1
4238	1
4243	1
4248	1
4249	1
4250	1
4254	1
4259	1
4263	1
4267	2
4268	1
4271	1
4273	1
4274	1
4278	1
4284	1
4285	1
4290	1
4299	2
4303	1
4309	1
4311	1
4312	1
