length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	44	20	1
1	39	35	1
1	49	25	1
2	44	40	1
2	47	35	1
2	53	25	1
3	29	20	1
3	31	35	1
3	41	35	1
3	43	35	1
3	44	20	1
3	45	20	1
3	47	40	1
4	41	40	1
4	43	35	1
4	46	20	1
4	46	40	1
5	37	15	1
5	42	35	1
5	44	40	1
5	50	40	1
6	42	15	1
6	42	25	1
6	42	35	1
6	44	30	1
6	46	25	1
6	46	40	1
6	48	35	1
6	54	20	1
7	31	35	1
7	32	20	1
7	38	25	1
7	39	30	1
7	40	25	1
7	40	30	1
7	41	35	1
7	42	20	1
7	42	25	2
7	42	30	1
7	42	35	1
7	43	15	1
7	43	20	1
7	43	25	2
7	43	40	1
7	44	20	1
7	44	25	1
7	44	35	1
7	45	15	1
7	45	20	1
7	45	25	1
7	45	30	1
7	46	15	1
7	46	20	1
7	46	25	1
7	46	30	1
7	47	25	2
7	48	25	1
7	48	35	1
7	49	20	1
7	49	25	1
7	49	35	1
7	54	20	1
7	55	25	1
8	31	30	1
8	32	20	1
8	32	30	1
8	33	15	1
8	33	25	2
8	33	30	1
8	34	30	1
8	39	20	1
8	40	25	1
8	40	30	2
8	41	15	1
8	41	20	3
8	41	25	1
8	41	30	2
8	41	35	2
8	42	15	2
8	42	20	1
8	42	25	1
8	42	30	3
8	42	35	3
8	43	15	2
8	43	20	2
8	43	25	1
8	43	30	1
8	43	35	1
8	44	15	1
8	44	25	1
8	44	30	1
8	44	35	1
8	45	30	2
8	45	35	2
8	46	15	1
8	46	20	2
8	46	30	1
8	46	35	2
8	47	20	1
8	47	25	2
8	47	30	3
8	49	20	1
8	49	25	3
8	49	30	1
8	50	20	1
8	50	25	1
8	55	25	1
8	55	30	1
8	58	20	1
8	58	25	1
8	60	30	1
9	32	35	1
9	33	15	1
9	34	20	1
9	34	25	1
9	39	25	1
9	39	30	1
9	40	20	1
9	41	20	1
9	41	25	1
9	42	15	1
9	42	20	1
9	42	25	1
9	42	30	3
9	42	35	1
9	43	20	1
9	43	25	1
9	43	30	3
9	43	35	1
9	44	25	2
9	44	35	1
9	45	20	1
9	45	30	1
9	46	30	1
9	47	20	1
9	47	25	1
9	48	20	1
9	48	30	1
9	49	15	2
9	49	20	1
9	49	30	1
9	50	20	1
9	50	25	1
9	50	30	1
9	52	25	1
9	52	35	1
9	53	25	1
9	57	25	1
9	57	30	1
10	35	25	1
10	40	35	1
10	41	35	1
10	42	20	1
10	42	25	1
10	42	30	2
10	42	35	1
10	43	20	1
10	44	10	1
10	44	15	1
10	44	25	1
10	45	15	1
10	45	25	1
10	46	20	2
10	46	25	1
10	46	30	1
10	46	35	1
10	47	25	1
10	47	30	1
10	48	20	1
10	48	25	1
10	48	30	1
10	49	20	1
10	49	35	2
10	50	25	1
10	54	20	1
10	56	20	1
10	57	35	1
11	38	30	1
11	39	20	1
11	40	20	1
11	40	35	1
11	41	30	1
11	41	35	1
11	42	20	1
11	42	25	1
11	43	25	2
11	43	35	1
11	44	10	1
11	44	20	2
11	44	25	2
11	44	30	2
11	44	35	1
11	45	20	1
11	45	35	2
11	46	15	1
11	46	30	2
11	46	35	2
11	47	15	1
11	47	20	1
11	47	30	1
11	47	35	1
11	48	25	1
11	48	30	1
11	48	35	1
11	56	20	1
11	56	35	1
11	59	15	1
12	36	15	1
12	36	25	1
12	37	15	1
12	38	25	1
12	38	30	1
12	38	35	1
12	39	25	1
12	39	35	1
12	40	20	1
12	40	25	3
12	40	30	2
12	40	35	2
12	41	30	3
12	41	35	5
12	42	15	1
12	42	25	4
12	42	30	5
12	42	35	10
12	43	15	2
12	43	20	3
12	43	25	8
12	43	30	10
12	43	35	13
12	44	15	3
12	44	20	8
12	44	25	3
12	44	30	6
12	44	35	5
12	45	15	1
12	45	20	2
12	45	25	2
12	45	30	2
12	45	35	11
12	46	15	1
12	46	20	5
12	46	25	3
12	46	30	8
12	46	35	8
12	47	15	2
12	47	20	4
12	47	30	3
12	47	35	11
12	48	20	2
12	48	25	3
12	48	30	3
12	48	35	7
12	49	20	1
12	49	25	2
12	49	30	2
12	49	35	3
12	50	20	1
12	50	25	2
12	50	30	1
12	50	35	2
12	51	30	1
12	51	35	3
12	52	35	2
12	53	25	1
12	53	35	1
12	54	15	1
12	54	35	2
12	55	15	1
12	55	25	1
12	55	35	2
12	56	30	1
12	56	35	1
12	58	35	1
12	60	25	1
13	30	35	1
13	32	35	1
13	35	20	2
13	35	25	1
13	35	35	3
13	36	20	1
13	36	25	3
13	36	30	2
13	36	35	6
13	37	15	1
13	37	20	1
13	37	25	1
13	37	30	2
13	37	35	5
13	38	20	1
13	38	25	3
13	38	30	2
13	38	35	5
13	39	15	1
13	39	20	1
13	39	25	2
13	39	30	2
13	39	35	6
13	40	10	1
13	40	15	2
13	40	20	6
13	40	25	5
13	40	30	10
13	40	35	15
13	41	15	5
13	41	20	7
13	41	25	6
13	41	30	10
13	41	35	21
13	42	15	7
13	42	20	14
13	42	25	8
13	42	30	21
13	42	35	45
13	43	15	11
13	43	20	26
13	43	25	24
13	43	30	31
13	43	35	72
13	44	10	1
13	44	15	19
13	44	20	24
13	44	25	24
13	44	30	45
13	44	35	77
13	45	15	17
13	45	20	21
13	45	25	23
13	45	30	27
13	45	35	65
13	46	15	14
13	46	20	17
13	46	25	25
13	46	30	21
13	46	35	49
13	47	15	8
13	47	20	12
13	47	25	25
13	47	30	31
13	47	35	36
13	48	15	10
13	48	20	21
13	48	25	16
13	48	30	18
13	48	35	36
13	49	15	4
13	49	20	6
13	49	25	8
13	49	30	15
13	49	35	22
13	50	15	3
13	50	20	6
13	50	25	6
13	50	30	9
13	50	35	13
13	51	15	1
13	51	20	3
13	51	25	5
13	51	30	1
13	51	35	7
13	52	15	3
13	52	20	4
13	52	25	3
13	52	30	8
13	52	35	8
13	53	15	1
13	53	20	8
13	53	25	3
13	53	30	1
13	53	35	4
13	54	15	2
13	54	20	3
13	54	25	3
13	54	30	8
13	54	35	4
13	55	15	3
13	55	20	1
13	55	25	3
13	55	30	4
13	55	35	1
13	56	20	1
13	56	25	5
13	56	30	1
13	56	35	6
13	57	15	1
13	57	20	1
13	57	25	1
13	57	30	1
13	57	35	1
13	58	25	1
13	58	35	1
14	28	35	1
14	32	25	2
14	32	30	5
14	32	35	5
14	33	35	4
14	34	20	1
14	34	30	1
14	34	35	1
14	35	15	4
14	35	20	2
14	35	25	7
14	35	30	11
14	35	35	15
14	36	15	8
14	36	20	7
14	36	25	12
14	36	30	9
14	36	35	17
14	37	15	5
14	37	20	4
14	37	25	7
14	37	30	12
14	37	35	19
14	38	15	1
14	38	20	3
14	38	25	2
14	38	30	9
14	38	35	11
14	39	15	4
14	39	20	14
14	39	25	16
14	39	30	5
14	39	35	26
14	40	15	8
14	40	20	20
14	40	25	19
14	40	30	29
14	40	35	59
14	41	10	1
14	41	15	18
14	41	20	40
14	41	25	48
14	41	30	41
14	41	35	103
14	42	10	1
14	42	15	40
14	42	20	59
14	42	25	75
14	42	30	98
14	42	35	146
14	43	10	1
14	43	15	48
14	43	20	98
14	43	25	111
14	43	30	148
14	43	35	220
14	44	15	48
14	44	20	104
14	44	25	94
14	44	30	162
14	44	35	267
14	45	10	1
14	45	15	34
14	45	20	96
14	45	25	103
14	45	30	141
14	45	35	239
14	46	10	4
14	46	15	38
14	46	20	73
14	46	25	95
14	46	30	130
14	46	35	231
14	47	10	1
14	47	15	39
14	47	20	81
14	47	25	70
14	47	30	115
14	47	35	163
14	48	15	21
14	48	20	61
14	48	25	71
14	48	30	84
14	48	35	135
14	49	15	9
14	49	20	33
14	49	25	33
14	49	30	55
14	49	35	69
14	50	15	12
14	50	20	29
14	50	25	26
14	50	30	32
14	50	35	49
14	51	15	12
14	51	20	19
14	51	25	23
14	51	30	26
14	51	35	32
14	52	15	7
14	52	20	13
14	52	25	13
14	52	30	20
14	52	35	17
14	53	15	5
14	53	20	17
14	53	25	16
14	53	30	15
14	53	35	19
14	54	15	10
14	54	20	11
14	54	25	11
14	54	30	10
14	54	35	19
14	55	10	1
14	55	15	3
14	55	20	9
14	55	25	8
14	55	30	15
14	55	35	24
14	56	15	5
14	56	20	8
14	56	25	7
14	56	30	12
14	56	35	11
14	57	15	3
14	57	20	3
14	57	25	5
14	57	30	7
14	57	35	3
14	58	15	1
14	58	20	2
14	58	25	4
14	58	30	3
14	58	35	1
14	59	20	1
14	59	30	1
14	59	35	1
14	60	25	2
14	60	35	1
15	28	30	1
15	32	20	2
15	32	25	2
15	32	30	3
15	32	35	4
15	33	15	1
15	33	20	1
15	33	25	2
15	33	30	5
15	33	35	3
15	34	20	2
