length_bp	read_count
87	1
123	1
126	1
145	2
153	1
160	1
164	1
192	1
221	1
258	1
260	1
285	1
286	1
295	1
329	1
443	1
449	1
473	1
474	1
480	1
491	1
511	2
518	1
539	1
560	1
568	1
570	1
577	1
604	1
652	1
669	1
681	1
701	1
715	1
719	1
770	1
785	1
809	1
812	1
814	1
820	1
824	2
845	1
865	1
868	1
869	1
871	1
875	1
880	1
888	1
903	1
906	2
956	2
957	1
964	1
967	1
973	1
981	1
1006	1
1018	1
1063	1
1080	1
1086	1
1088	1
1111	1
1122	1
1123	1
1137	1
1144	1
1152	1
1168	1
1197	1
1202	1
1207	1
1208	1
1216	1
1233	1
1242	1
1251	1
1254	1
1259	1
1263	1
1276	1
1286	1
1287	1
1321	1
1329	1
1349	1
1358	1
1363	1
1376	1
1383	1
1391	1
1406	1
1417	1
1426	1
1432	1
1435	1
1474	1
1488	1
1493	1
1495	1
1507	1
1528	1
1529	1
1530	1
1544	1
1566	1
1581	1
1597	1
1600	1
1604	1
1605	1
1627	1
1633	1
1638	1
1639	2
1674	1
1712	1
1716	1
1717	1
1733	1
1739	1
1740	1
1805	1
1813	1
1829	1
1872	1
1877	1
1879	1
1880	1
1889	1
1896	1
1897	1
1907	1
1910	1
1916	1
1917	1
1920	1
1939	1
1957	1
1963	1
1998	1
2004	1
2007	1
2010	1
2014	1
2023	1
2025	1
2027	1
2032	1
2033	1
2041	1
2044	1
2053	1
2062	1
2083	1
2098	1
2108	1
2121	1
2139	1
2142	1
2150	1
2162	1
2174	1
2175	1
2177	1
2198	2
2217	1
2220	1
2223	1
2245	1
2250	1
2269	1
2277	1
2279	1
2280	1
2286	1
2292	1
2294	1
2297	1
2298	1
2303	1
2314	1
2331	2
2332	1
2340	1
2345	1
2347	1
2349	1
2358	1
2377	1
2379	1
2380	1
2381	1
2387	1
2390	1
2397	1
2400	1
2405	2
2407	1
2417	1
2427	1
2430	1
2483	1
2489	1
2493	1
2496	1
2497	1
2505	1
2506	1
2518	1
2522	1
2525	1
2531	1
2538	1
2539	1
2544	1
2548	1
2561	1
2568	1
2573	1
2577	1
2591	1
2597	2
2598	1
2605	1
2607	1
2609	1
2614	1
2632	1
2648	1
2652	1
2667	1
2672	1
2692	1
2693	1
2698	1
2699	1
2700	2
2705	1
2706	1
2715	1
2724	1
2727	1
2728	1
2730	1
2732	1
2733	1
2736	1
2739	1
2741	1
2745	1
2747	1
2753	1
2755	1
2758	1
2760	1
2796	1
2797	1
2811	1
2817	1
2821	1
2829	1
2832	1
2835	3
2837	1
2843	1
2847	1
2849	1
2851	1
2864	1
2865	1
2869	1
2882	1
2889	1
2911	1
2912	1
2914	1
2919	1
2923	1
2928	1
2949	1
2950	1
2952	2
2957	1
2965	1
2971	1
2973	1
2979	1
2980	1
2981	1
2982	1
2997	1
3001	1
3003	1
3006	1
3012	1
3013	1
3023	2
3025	1
3026	2
3041	1
3042	1
3047	1
3055	1
3056	1
3058	1
3078	1
3085	1
3088	1
3089	1
3093	1
3104	1
3105	1
3106	1
3118	1
3123	1
3128	1
3137	1
3142	1
3144	1
3163	2
3173	1
3176	1
3178	1
3184	1
3197	1
3199	3
3210	1
3212	1
3215	1
3220	1
3223	1
3224	1
3228	1
3230	2
