panel	dataset	metric	x	value	read_count
A	Full library (n=407,670)	length_bp	0.11	2.4529644074864474e-06	1
A	Full library (n=407,670)	length_bp	0.12	4.905928814972895e-06	1
A	Full library (n=407,670)	length_bp	0.126	7.358893222459342e-06	1
A	Full library (n=407,670)	length_bp	0.164	9.81185762994579e-06	1
A	Full library (n=407,670)	length_bp	0.179	1.2264822037432238e-05	1
A	Full library (n=407,670)	length_bp	0.298	1.4717786444918684e-05	1
A	Full library (n=407,670)	length_bp	0.316	1.717075085240513e-05	1
A	Full library (n=407,670)	length_bp	0.334	1.962371525989158e-05	1
A	Full library (n=407,670)	length_bp	0.457	2.2076679667378026e-05	1
A	Full library (n=407,670)	length_bp	0.462	2.4529644074864475e-05	1
A	Full library (n=407,670)	length_bp	0.514	2.698260848235092e-05	1
A	Full library (n=407,670)	length_bp	0.528	2.9435572889837368e-05	1
A	Full library (n=407,670)	length_bp	0.54	3.188853729732382e-05	1
A	Full library (n=407,670)	length_bp	0.541	3.434150170481026e-05	1
A	Full library (n=407,670)	length_bp	0.544	3.679446611229671e-05	1
A	Full library (n=407,670)	length_bp	0.5730000000000001	3.924743051978316e-05	1
A	Full library (n=407,670)	length_bp	0.585	4.170039492726961e-05	1
A	Full library (n=407,670)	length_bp	0.586	4.415335933475605e-05	1
A	Full library (n=407,670)	length_bp	0.589	4.66063237422425e-05	1
A	Full library (n=407,670)	length_bp	0.596	4.905928814972895e-05	1
A	Full library (n=407,670)	length_bp	0.618	5.151225255721539e-05	1
A	Full library (n=407,670)	length_bp	0.621	5.396521696470184e-05	1
A	Full library (n=407,670)	length_bp	0.642	5.641818137218829e-05	1
A	Full library (n=407,670)	length_bp	0.678	5.8871145779674735e-05	1
A	Full library (n=407,670)	length_bp	0.708	6.132411018716118e-05	1
A	Full library (n=407,670)	length_bp	0.805	6.377707459464763e-05	1
A	Full library (n=407,670)	length_bp	0.854	6.623003900213408e-05	1
A	Full library (n=407,670)	length_bp	0.864	6.868300340962052e-05	1
A	Full library (n=407,670)	length_bp	0.867	7.113596781710698e-05	1
A	Full library (n=407,670)	length_bp	0.869	7.358893222459342e-05	1
A	Full library (n=407,670)	length_bp	0.878	7.604189663207988e-05	1
A	Full library (n=407,670)	length_bp	0.899	7.849486103956632e-05	1
