phred	base_count
1	635
2	122909
3	4311780
4	7318345
5	6673167
6	6390992
7	6324105
8	6396588
9	6561411
10	6788479
11	7086791
12	7438990
13	7849185
14	8314479
15	8827324
16	9392450
17	9988576
18	10664355
19	11394660
20	12217985
21	13053501
22	13922974
23	14867625
24	15782606
25	16750101
26	17703681
27	18768317
28	19771859
29	20820572
30	21976862
31	23133064
32	24453253
33	25715648
34	27112250
35	28487920
36	29917284
37	31312612
38	32917357
39	34386334
40	35640795
41	36742809
42	37841764
43	39012517
44	40484599
45	41869949
46	43022723
47	45196679
48	46996187
49	47902067
50	49307344
51	50450211
52	51377157
53	51876253
54	52525114
55	53696703
56	54992720
57	56357905
58	57299321
59	58480492
60	59387461
61	59112708
62	58968077
63	58666812
64	57829503
65	56832468
66	56173838
67	56032739
68	56154340
69	56740692
70	57241479
71	58010837
72	58859523
73	59130955
74	59249973
75	58708991
76	57502620
77	56481920
78	55420470
79	54604512
80	53852532
81	53179524
82	52724821
83	51930970
84	51227892
85	50399270
86	49961411
87	49578885
88	49341818
89	49256566
90	48893900
91	48647370
92	48320243
93	2290229503
