length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	37	90	1
0	39	35	1
0	40	25	1
0	41	90	1
0	44	25	3
0	44	30	2
0	44	35	1
0	44	90	3
0	45	20	2
0	45	25	1
0	45	40	1
0	45	45	1
0	45	90	1
0	46	20	1
0	46	35	1
0	46	45	1
0	47	20	1
0	47	90	1
0	48	60	1
0	48	90	1
0	55	90	1
0	59	90	2
0	60	25	1
0	60	30	1
0	60	60	1
0	61	30	1
0	63	30	1
1	26	20	1
1	30	20	1
1	31	35	2
1	31	90	1
1	32	35	1
1	33	90	3
1	34	50	1
1	35	25	1
1	35	30	1
1	35	40	1
1	35	90	1
1	36	35	1
1	36	40	1
1	36	45	1
1	36	80	1
1	37	90	3
1	38	30	3
1	38	45	2
1	38	85	1
1	38	90	2
1	39	20	2
1	39	30	1
1	39	40	1
1	39	45	2
1	39	65	1
1	39	90	1
1	40	25	1
1	40	35	1
1	40	90	5
1	41	20	1
1	41	25	1
1	41	55	1
1	41	65	2
1	42	20	2
1	42	30	3
1	42	40	4
1	42	45	1
1	42	75	1
1	42	90	2
1	43	20	1
1	43	25	2
1	43	35	3
1	43	55	2
1	43	80	1
1	43	90	6
1	44	20	1
1	44	25	2
1	44	30	3
1	44	35	2
1	44	45	2
1	44	55	1
1	44	70	2
1	44	85	1
1	45	20	2
1	45	25	3
1	45	30	6
1	45	35	2
1	45	40	1
1	45	55	1
1	45	70	1
1	45	75	1
1	45	90	1
1	46	20	3
1	46	25	2
1	46	30	3
1	46	35	4
1	46	40	2
1	46	55	1
1	46	70	1
1	46	90	1
1	47	30	2
1	47	35	6
1	47	40	1
1	47	45	1
1	47	50	3
1	47	65	1
1	47	90	4
1	48	25	1
1	48	30	3
1	48	40	1
1	48	90	1
1	49	30	1
1	49	40	1
1	49	75	1
1	49	90	3
1	50	20	1
1	50	30	2
1	50	40	1
1	51	25	1
1	51	30	2
1	51	35	2
1	51	40	1
1	51	45	1
1	51	85	1
1	51	90	1
1	52	40	1
1	53	20	1
1	53	25	1
1	53	35	2
1	53	45	1
1	54	20	1
1	54	30	1
1	55	20	1
1	55	30	2
1	55	35	1
1	56	25	1
1	56	30	1
1	56	35	1
1	57	20	2
1	57	35	1
1	58	20	1
1	58	25	1
1	58	75	1
1	59	25	1
1	59	35	1
1	59	45	1
1	59	80	1
1	60	30	1
1	60	35	1
1	60	40	1
1	60	55	1
1	61	20	1
1	61	40	1
1	61	45	1
1	62	45	1
1	63	20	2
1	63	35	1
1	64	25	2
1	64	35	1
1	64	80	1
1	66	30	1
1	66	40	1
1	69	30	1
1	70	25	1
1	77	30	1
2	30	25	1
2	30	35	1
2	31	20	1
2	32	25	1
2	32	30	2
2	34	30	1
2	35	20	2
2	35	35	3
2	35	90	1
2	36	30	1
2	37	20	2
2	37	25	2
2	37	35	2
2	37	90	1
2	38	20	1
2	38	30	1
2	38	35	1
2	38	40	2
2	38	90	1
2	39	20	1
2	39	25	2
2	39	30	1
2	39	35	2
2	39	90	3
2	40	20	3
2	40	30	2
2	40	40	1
2	40	45	1
2	40	75	2
2	40	90	1
2	41	25	1
2	41	30	2
2	41	35	4
2	41	40	1
2	41	45	2
2	41	50	1
2	41	90	1
2	42	25	2
2	42	30	6
2	42	35	3
2	42	40	1
2	42	50	1
2	42	60	1
2	42	90	1
2	43	20	2
2	43	35	1
2	43	40	2
2	43	50	3
2	43	55	1
2	43	80	1
2	43	85	1
2	43	90	2
2	44	25	3
2	44	30	5
2	44	35	5
2	44	40	1
2	44	45	1
2	44	55	1
2	44	65	1
2	44	85	1
2	45	25	1
2	45	35	1
2	45	40	5
2	45	45	2
2	45	55	1
2	45	65	1
2	45	70	1
2	45	85	1
2	45	90	1
2	46	20	4
2	46	30	1
2	46	90	2
2	47	20	1
2	47	30	1
2	47	35	2
2	47	45	1
2	47	65	1
2	47	90	1
2	48	25	4
2	48	30	2
2	48	35	1
2	48	40	3
2	48	55	1
2	49	30	2
2	49	35	3
2	49	40	1
2	50	25	1
2	50	30	2
2	50	35	2
2	50	70	2
2	51	20	2
2	51	35	2
2	52	30	1
2	52	40	1
2	52	50	1
2	53	30	2
2	53	90	2
2	54	20	1
2	54	35	2
2	55	35	3
2	55	90	1
2	56	35	1
2	56	90	1
2	57	30	1
2	57	35	1
2	57	40	1
2	58	20	1
2	58	25	1
2	59	20	1
2	59	35	1
2	59	65	1
2	59	90	1
2	60	25	1
2	60	30	2
2	60	35	1
2	60	40	1
2	61	25	1
2	62	25	1
2	63	20	1
2	63	25	1
2	64	45	1
2	65	25	3
3	32	55	1
3	32	70	1
3	33	25	1
3	34	35	1
3	34	50	1
3	36	25	1
3	36	30	1
3	37	35	2
3	37	90	1
3	38	35	1
3	38	40	1
3	40	20	1
3	40	25	1
3	40	30	1
3	40	55	1
3	40	70	1
3	40	90	1
3	41	20	1
3	41	25	2
3	41	35	2
3	41	40	1
3	41	50	1
3	41	65	1
3	42	20	3
3	42	25	1
3	42	30	6
3	42	35	2
3	42	45	1
3	42	50	1
3	42	55	1
3	43	25	1
3	43	30	5
3	43	35	1
3	43	45	2
3	43	55	2
3	43	80	1
3	43	90	3
3	44	20	3
3	44	25	1
3	44	30	2
3	44	40	2
3	44	65	1
3	44	80	1
3	44	90	1
3	45	20	1
3	45	25	2
3	45	30	4
3	45	35	2
3	45	45	1
3	46	20	1
3	46	25	1
3	46	30	1
3	46	35	1
3	46	45	1
3	46	60	1
3	47	20	1
3	47	30	1
3	47	40	1
3	48	20	1
3	48	25	1
3	48	30	2
3	48	35	2
3	48	50	1
3	48	80	1
3	49	20	1
3	49	25	2
3	50	25	1
3	51	35	1
3	51	40	1
3	52	30	1
3	53	30	1
3	53	50	1
3	54	20	1
3	54	40	2
3	55	30	1
3	56	35	1
3	57	40	1
3	58	45	1
3	59	30	1
3	60	30	1
3	60	35	1
3	60	40	1
3	61	30	1
3	61	50	1
3	61	60	1
3	63	30	1
3	65	25	1
4	32	35	2
4	36	20	1
4	36	30	1
4	37	55	1
4	38	20	1
4	38	30	1
4	38	75	1
4	39	35	1
4	40	35	2
4	40	40	3
4	40	45	1
4	41	20	1
4	41	25	1
4	41	80	1
4	41	90	1
4	42	25	2
4	42	30	3
4	42	35	2
4	42	40	1
4	42	45	1
4	42	50	1
4	42	60	2
4	43	35	1
4	43	45	1
4	44	20	1
4	44	30	2
4	44	35	1
4	44	50	1
4	45	30	2
4	45	55	1
4	45	80	1
4	46	25	1
4	46	30	1
4	46	35	1
4	46	40	1
4	46	50	1
4	47	45	1
4	47	55	1
4	47	75	1
4	48	25	1
4	48	35	3
4	48	40	1
4	48	45	1
4	49	25	1
4	49	30	1
4	50	25	1
4	52	20	1
4	54	35	1
4	55	20	1
4	57	35	1
4	59	35	1
4	62	40	1
4	65	25	1
5	33	30	1
5	34	20	1
5	35	70	1
5	37	20	1
5	37	25	1
5	37	30	1
5	38	20	2
5	39	20	2
5	39	35	1
5	40	20	1
5	41	20	1
5	41	25	1
5	41	70	3
5	42	20	3
5	42	30	1
5	42	35	1
5	43	20	2
5	43	25	2
5	43	30	3
5	43	35	1
5	43	45	1
5	44	20	3
5	44	25	2
5	44	30	3
5	44	35	2
5	44	40	2
5	44	45	1
5	44	50	1
5	45	20	2
5	45	25	2
5	45	35	1
5	45	40	1
5	46	25	2
5	46	40	1
5	47	20	2
5	47	30	1
5	47	35	1
5	48	30	1
5	48	40	1
5	49	20	1
5	49	25	1
5	50	30	1
5	51	25	2
5	52	20	2
5	52	30	1
5	54	25	1
5	55	35	1
5	56	20	1
5	56	30	1
5	57	20	1
5	58	20	1
5	58	25	1
5	58	30	1
5	60	20	1
5	61	20	1
5	62	30	2
5	63	30	1
6	37	30	1
6	38	50	1
6	39	20	1
6	40	20	1
6	40	35	1
6	40	40	1
6	41	35	2
6	42	20	7
6	42	25	1
6	42	30	1
6	42	35	1
6	42	40	1
6	43	20	3
6	43	40	1
6	44	20	3
6	44	25	2
6	44	30	1
6	44	35	2
6	44	40	1
6	45	20	4
6	45	25	1
6	45	30	1
6	45	35	3
6	45	80	1
6	46	20	2
6	46	25	1
6	46	40	1
6	47	25	1
6	47	40	1
6	48	20	1
6	48	30	1
6	49	45	1
6	50	30	1
6	50	35	1
6	50	40	1
6	51	20	1
6	51	40	1
6	52	25	1
6	52	35	1
6	53	20	1
6	55	30	1
6	57	25	1
6	57	30	1
6	60	25	2
6	61	20	1
7	32	20	1
7	32	25	1
7	33	25	2
7	33	30	3
7	33	35	1
7	34	20	2
7	34	25	1
7	34	35	1
7	34	40	1
7	35	30	1
7	36	25	2
7	36	35	1
7	36	40	2
7	36	80	1
7	37	20	2
7	37	25	2
7	37	35	4
7	37	40	2
7	37	45	2
7	38	20	2
7	38	25	1
7	38	30	2
7	38	35	1
7	38	40	2
7	38	55	1
7	39	20	2
7	39	25	2
7	39	30	2
7	39	35	1
7	39	40	2
7	40	20	3
7	40	25	3
7	40	30	3
7	40	35	5
7	40	40	2
7	40	45	1
7	40	50	2
7	40	55	1
7	41	20	6
7	41	25	4
7	41	30	15
7	41	35	8
7	41	40	3
7	41	45	2
7	41	50	2
7	41	70	1
7	42	20	13
7	42	25	11
7	42	30	6
7	42	35	9
7	42	40	7
7	42	45	1
7	42	50	3
7	43	20	10
7	43	25	11
7	43	30	14
7	43	35	14
7	43	40	4
7	43	50	2
7	43	55	1
7	43	60	1
7	44	20	5
7	44	25	12
7	44	30	7
7	44	35	9
7	44	40	4
7	44	45	1
7	44	50	2
7	45	20	11
7	45	25	7
7	45	30	7
7	45	35	8
7	45	40	6
7	45	45	1
7	45	60	1
7	46	20	6
7	46	25	3
7	46	30	1
7	46	35	8
7	46	40	6
7	46	45	1
7	47	20	8
7	47	25	4
7	47	30	6
7	47	35	5
7	47	40	1
7	47	45	1
7	48	20	4
7	48	25	5
7	48	30	5
7	48	35	3
7	48	40	2
7	48	45	1
7	49	20	2
7	49	25	2
7	49	30	3
7	49	35	5
7	49	40	1
7	50	20	5
7	50	25	6
7	50	30	2
7	50	35	3
7	50	40	2
7	50	45	1
7	51	20	4
7	51	25	1
7	51	30	4
7	51	35	1
7	52	20	3
7	52	25	4
7	52	30	2
7	53	20	3
7	53	25	5
7	53	30	3
7	53	35	2
7	53	40	1
7	54	25	1
7	54	30	3
7	54	35	1
7	55	20	1
7	55	30	5
7	55	35	2
7	56	20	4
7	56	30	3
7	56	35	1
7	56	40	1
7	57	20	1
7	57	25	7
7	57	30	3
7	57	35	2
7	58	20	3
7	58	25	2
7	58	30	1
7	59	20	3
7	59	25	3
7	59	35	2
7	59	40	1
7	59	50	1
7	60	20	5
7	60	25	3
7	60	30	1
7	60	40	1
7	61	20	2
7	61	25	4
7	61	30	2
7	61	35	1
7	62	25	1
7	63	25	1
7	64	20	1
8	31	30	1
8	32	20	5
8	32	25	2
8	32	30	3
8	32	35	1
8	32	40	2
8	33	25	4
8	33	30	1
8	33	35	2
8	33	40	3
8	33	45	1
8	33	55	1
8	34	20	3
8	34	25	2
8	34	30	4
8	34	35	5
8	34	40	1
8	34	50	1
8	35	20	2
8	35	25	4
8	35	30	7
8	35	35	5
8	35	40	6
8	35	55	1
8	36	20	4
8	36	25	6
8	36	30	6
8	36	35	4
8	36	40	4
8	36	45	3
8	36	55	1
8	36	75	1
8	37	20	9
8	37	25	4
8	37	30	6
8	37	35	2
8	37	40	4
8	37	45	3
8	38	20	8
8	38	25	7
8	38	30	7
8	38	35	12
8	38	50	1
8	38	55	1
8	38	65	1
8	39	20	9
8	39	25	8
8	39	30	11
8	39	35	15
8	39	40	12
8	39	45	3
8	39	55	1
8	40	20	22
8	40	25	20
8	40	30	16
8	40	35	16
8	40	40	13
8	40	45	3
8	40	50	3
8	40	60	3
8	41	20	32
8	41	25	27
8	41	30	28
8	41	35	29
8	41	40	16
8	41	45	5
8	41	50	1
8	41	55	1
8	41	60	1
8	42	20	46
8	42	25	53
8	42	30	44
8	42	35	72
8	42	40	17
8	42	45	11
8	42	50	3
8	42	55	4
8	42	65	3
8	43	20	59
8	43	25	61
8	43	30	61
8	43	35	61
8	43	40	24
8	43	45	4
8	43	50	2
8	43	55	2
8	43	60	3
8	44	20	58
8	44	25	59
8	44	30	56
8	44	35	55
8	44	40	22
8	44	45	10
8	44	50	3
8	44	55	1
8	44	60	1
8	44	70	2
8	45	20	40
8	45	25	36
8	45	30	48
8	45	35	45
8	45	40	19
8	45	45	7
8	45	50	3
8	45	55	2
8	46	20	44
8	46	25	31
8	46	30	39
8	46	35	35
8	46	40	10
8	46	45	4
8	46	50	2
8	46	65	1
8	47	20	37
8	47	25	25
8	47	30	20
8	47	35	17
8	47	40	5
8	47	50	2
8	48	20	29
8	48	25	19
8	48	30	23
8	48	35	14
8	48	40	5
8	48	70	1
8	49	20	20
8	49	25	28
8	49	30	13
8	49	35	9
8	49	40	3
8	49	50	1
8	50	20	14
8	50	25	21
8	50	30	19
8	50	35	14
8	50	40	3
8	50	50	1
8	51	20	18
8	51	25	15
8	51	30	18
8	51	35	13
8	51	40	2
8	52	20	16
8	52	25	12
8	52	30	9
8	52	35	3
8	52	40	3
8	53	20	6
8	53	25	17
8	53	30	14
8	53	35	4
8	53	40	1
8	54	20	6
8	54	25	9
8	54	30	7
8	54	35	2
8	54	40	1
8	55	20	11
8	55	25	10
8	55	30	6
8	55	35	9
8	56	20	3
8	56	25	14
8	56	30	8
8	56	35	3
8	57	20	4
8	57	25	6
8	57	30	2
8	57	35	4
8	58	20	13
8	58	25	8
8	58	30	5
8	58	35	5
8	58	40	1
8	59	20	7
8	59	25	16
8	59	30	9
8	59	35	4
8	60	20	10
8	60	25	7
8	60	30	3
8	60	35	1
8	61	20	9
8	61	25	6
8	61	30	3
8	61	35	3
8	61	40	1
8	62	20	6
8	62	25	7
8	62	30	1
8	63	20	2
8	63	25	1
8	63	30	2
8	64	20	1
8	64	30	1
8	65	20	1
9	32	20	4
9	32	25	1
9	32	30	2
9	32	40	1
9	33	20	4
9	33	25	5
9	33	30	1
9	33	35	3
9	34	20	2
9	34	25	4
9	34	30	2
9	34	35	3
9	34	40	1
9	34	45	1
9	35	20	11
9	35	25	11
9	35	30	3
9	35	35	3
9	35	40	4
9	35	45	1
9	36	20	23
9	36	25	3
9	36	30	7
9	36	35	7
9	36	40	2
9	37	20	8
9	37	25	1
9	37	30	11
9	37	35	12
9	37	40	5
9	37	50	1
9	37	60	1
9	38	20	15
9	38	25	13
9	38	30	7
9	38	35	12
9	38	40	9
9	38	45	3
9	38	60	1
9	39	20	21
9	39	25	10
9	39	30	13
9	39	35	11
9	39	40	7
9	39	45	1
9	39	50	3
9	39	55	2
9	40	20	24
9	40	25	27
9	40	30	25
9	40	35	21
9	40	40	5
9	40	45	1
9	40	50	2
9	40	55	1
9	40	60	2
9	40	75	1
9	41	20	63
9	41	25	48
9	41	30	38
9	41	35	36
9	41	40	18
9	41	45	2
9	41	50	1
9	41	55	1
9	42	20	103
9	42	25	68
9	42	30	66
9	42	35	53
9	42	40	28
9	42	45	10
9	42	50	4
9	42	55	1
9	43	20	90
9	43	25	82
9	43	30	76
9	43	35	81
9	43	40	24
9	43	45	10
9	43	50	3
9	43	55	1
9	44	20	108
9	44	25	83
9	44	30	83
9	44	35	75
9	44	40	32
9	44	45	11
9	44	50	3
9	45	20	105
9	45	25	86
9	45	30	86
9	45	35	61
9	45	40	14
9	45	45	1
9	45	50	1
9	45	55	1
9	46	20	83
9	46	25	54
9	46	30	53
9	46	35	32
9	46	40	15
9	46	45	4
9	46	50	2
9	47	20	38
9	47	25	44
9	47	30	58
9	47	35	25
9	47	40	9
9	47	60	1
9	48	20	48
9	48	25	35
9	48	30	38
9	48	35	20
9	48	40	6
9	48	45	3
9	49	20	43
9	49	25	34
9	49	30	34
9	49	35	9
9	49	40	8
9	49	55	1
9	50	20	39
9	50	25	23
9	50	30	31
9	50	35	11
9	50	40	6
9	51	20	33
9	51	25	23
9	51	30	26
9	51	35	12
9	51	40	3
9	52	20	25
9	52	25	21
9	52	30	17
9	52	35	11
9	52	40	1
9	52	55	1
9	53	20	21
9	53	25	12
9	53	30	9
9	53	35	8
9	53	40	1
9	54	20	25
9	54	25	16
9	54	30	13
9	54	35	4
9	54	40	1
9	55	20	16
9	55	25	14
9	55	30	15
9	55	35	5
9	55	45	1
9	56	20	17
