length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
1	42	20	1
8	40	45	1
8	42	35	1
8	47	25	1
8	53	20	1
9	40	25	1
9	40	30	1
9	40	35	1
9	41	25	2
9	42	25	1
9	44	20	2
9	44	25	1
9	45	30	1
9	48	30	1
9	54	20	1
9	57	25	1
9	58	20	1
10	34	25	1
10	35	35	1
10	38	40	2
10	39	20	3
10	40	30	2
10	40	40	1
10	41	20	1
10	41	25	1
10	41	30	1
10	42	20	1
10	42	25	2
10	42	30	2
10	42	35	1
10	42	40	1
10	42	45	1
10	43	20	2
10	43	30	3
10	43	35	1
10	44	25	1
10	44	30	2
10	44	35	1
10	45	20	2
10	45	25	3
10	45	30	3
10	45	35	1
10	45	40	1
10	46	20	2
10	46	25	2
10	46	35	1
10	47	20	2
10	47	25	1
10	47	35	2
10	48	20	1
10	48	25	2
10	49	25	3
10	49	40	1
10	50	25	1
10	50	30	1
10	51	20	2
10	52	20	2
10	52	30	1
10	53	30	1
10	54	25	1
10	55	20	2
10	59	30	1
10	61	20	2
10	62	25	1
11	35	20	1
11	35	35	1
11	36	20	2
11	37	20	1
11	37	40	1
11	38	30	1
11	38	40	1
11	39	20	2
11	39	25	1
11	39	35	1
11	40	20	1
11	40	25	1
11	40	30	1
11	40	35	1
11	41	20	4
11	41	30	2
11	41	35	1
11	42	20	1
11	42	25	3
11	42	30	5
11	42	35	1
11	42	40	2
11	43	20	5
11	43	25	4
11	43	30	2
11	43	35	3
11	44	20	6
11	44	25	1
11	44	30	8
11	44	35	4
11	45	20	2
11	45	25	2
11	45	30	1
11	46	20	3
11	46	25	3
11	46	30	3
11	46	40	1
11	47	20	4
11	47	25	1
11	47	30	1
11	48	20	2
11	49	20	1
11	49	25	3
11	49	30	2
11	49	35	2
11	50	20	1
11	50	25	3
11	51	25	2
11	51	30	1
11	51	35	1
11	52	20	1
11	52	30	1
11	53	25	1
11	53	30	1
11	53	35	2
11	54	25	1
11	55	20	1
11	55	25	1
11	56	20	1
11	56	25	1
11	57	20	1
11	57	30	1
11	59	30	1
11	61	20	1
11	61	25	1
12	34	35	1
12	35	25	1
12	35	35	1
12	35	40	1
12	37	30	1
12	38	20	2
12	38	30	1
12	39	20	1
12	39	35	1
12	40	35	1
12	40	40	1
12	41	20	1
12	41	25	1
12	41	30	4
12	41	35	1
12	42	20	4
12	42	25	1
12	42	35	2
12	43	20	7
12	43	25	6
12	43	30	1
12	43	35	4
12	43	40	1
12	44	20	5
12	44	25	9
12	44	30	6
12	44	35	4
12	45	20	4
12	45	25	2
12	45	30	2
12	45	35	3
12	46	20	8
12	46	25	3
12	46	30	3
12	46	35	1
12	47	20	3
12	47	25	3
12	47	30	1
12	47	35	1
12	48	20	3
12	48	25	5
12	48	35	2
12	49	20	4
12	49	25	3
12	49	30	2
12	49	35	1
12	50	25	2
12	50	30	1
12	51	20	1
12	51	25	4
12	51	30	2
12	53	25	1
12	54	25	1
12	54	30	1
12	55	20	1
12	56	20	1
12	58	20	1
12	58	25	1
12	59	20	2
12	59	30	1
12	60	25	1
12	61	25	1
13	35	20	1
13	36	20	1
13	38	25	1
13	39	25	1
13	40	20	1
13	40	25	1
13	41	20	4
13	41	25	3
13	41	30	1
13	41	35	3
13	42	20	5
13	42	25	7
13	42	30	5
13	42	35	2
13	42	40	1
13	43	20	5
13	43	25	3
13	43	30	5
13	43	40	1
13	44	20	4
13	44	25	3
13	44	30	8
13	44	35	3
13	45	25	3
13	45	30	2
13	46	20	1
13	46	25	4
13	46	30	4
13	46	35	1
13	47	20	4
13	47	25	1
13	47	30	2
13	47	35	1
13	48	20	1
13	48	25	3
13	48	30	1
13	49	20	1
13	50	20	2
13	50	25	1
13	51	20	1
13	51	25	1
13	52	20	1
13	52	25	1
13	52	30	1
13	53	20	2
13	54	25	1
13	55	25	1
13	55	30	1
13	56	25	1
13	58	20	1
14	33	20	1
14	35	25	1
14	36	25	2
14	38	25	1
14	39	20	1
14	40	25	3
14	40	30	1
14	41	20	1
14	41	25	1
14	41	30	2
14	42	20	5
14	42	25	2
14	42	30	2
14	42	35	1
14	43	20	4
14	43	25	3
14	43	30	4
14	44	20	3
14	44	25	3
14	44	30	4
14	44	35	1
14	45	20	6
14	45	25	5
14	45	30	4
14	45	35	3
14	46	25	3
14	46	30	1
14	47	20	2
14	47	25	2
14	47	35	1
14	48	25	2
14	48	30	1
14	49	25	3
14	50	20	2
14	51	20	1
14	51	25	3
14	52	20	1
14	52	25	1
14	53	25	3
14	54	20	2
14	56	20	1
14	58	25	1
14	59	20	1
14	60	25	1
14	60	30	1
15	34	25	1
15	35	20	1
15	36	35	1
15	37	25	1
15	39	20	1
15	40	25	1
15	40	30	1
15	41	20	2
15	41	30	1
15	42	20	4
15	42	25	2
15	42	30	3
15	43	20	4
15	43	25	5
15	43	30	4
15	44	20	3
15	44	25	3
15	44	35	1
15	45	20	3
15	45	25	4
15	45	30	2
15	45	35	1
15	46	20	2
15	46	25	3
15	46	30	2
15	47	20	2
15	47	30	2
15	48	25	2
15	49	20	1
15	49	25	3
15	49	30	2
15	50	20	2
15	50	25	3
15	51	20	2
15	51	25	1
15	52	20	1
15	52	25	1
15	53	25	1
15	53	30	1
15	54	20	2
15	54	25	1
15	55	20	3
15	56	25	1
15	57	20	1
15	58	20	1
