length_bp	read_count
678	1
1576	1
1581	1
2048	1
2679	1
2789	1
2851	1
3498	1
7619	1
7644	1
7706	1
7818	1
7862	1
7874	1
7888	1
8024	1
8055	1
8136	1
8178	1
8213	1
8220	1
8224	1
8233	1
8256	1
8262	1
8274	1
8300	1
8305	1
8318	1
8339	1
8344	1
8391	1
8432	1
8435	1
8439	1
8449	1
8479	1
8513	1
8594	1
8605	1
8625	1
8640	1
8641	1
8656	1
8671	1
8687	1
8695	1
8704	1
8772	1
8780	1
8808	1
8811	1
8815	1
8841	1
8876	1
8892	1
8893	1
8909	1
8917	1
8918	1
8923	1
8969	1
8996	1
9029	1
9058	1
9067	2
9117	1
9123	1
9144	1
9148	1
9149	1
9157	1
9170	1
9182	1
9184	1
9191	1
9194	1
9216	1
9220	1
9253	1
9310	1
9363	1
9373	1
9374	1
9401	1
9450	1
9476	1
9488	1
9534	1
9556	1
9559	1
9560	1
9561	1
9595	1
9610	1
9611	1
9691	1
9692	1
9700	1
9704	1
9713	1
9727	1
9729	1
9734	1
9744	1
9758	1
9774	1
9778	1
9787	1
9788	1
9800	1
9814	1
9822	1
9830	1
9851	1
9856	1
9868	1
9871	1
9875	1
9886	1
9892	1
9897	1
9906	1
9919	1
9923	1
9925	1
9935	1
9947	1
9951	1
9956	1
9960	2
9961	1
9962	2
9968	1
9969	1
9979	1
9980	1
9981	1
9990	1
9996	1
9999	1
10002	1
10005	2
10012	1
10014	1
10019	1
10020	1
10029	2
10032	1
10033	1
10036	1
10050	1
10055	1
10062	1
10066	1
10067	1
10070	1
10071	1
10087	1
10088	1
10091	1
10094	1
10097	1
10098	1
10106	1
10107	1
10112	1
10121	1
10132	1
10136	1
10141	1
10147	1
10148	1
10149	1
10156	1
10158	1
10164	1
10165	1
10168	1
10172	1
10174	1
10176	1
10177	1
10179	1
10181	1
10182	1
10187	1
10191	1
10193	1
10196	3
10197	1
10198	1
10199	1
10201	1
10202	1
10203	3
10204	1
10207	1
10210	2
10212	1
10213	1
10215	1
10216	1
10218	2
10219	2
10221	1
10224	1
10228	1
10231	1
10236	1
10237	1
10238	1
10252	1
10253	1
10256	1
10257	1
10260	2
10261	1
10263	2
10266	1
10269	1
10275	1
10280	1
10283	3
10285	1
10290	1
10293	1
10295	1
10299	1
10303	1
10320	1
10324	1
10326	1
10327	1
10330	1
10334	1
10335	2
10336	1
10337	1
10341	1
10342	1
10345	1
10346	1
10352	1
10353	2
10354	1
10356	1
10357	2
10358	2
10360	1
10361	1
10365	1
10369	1
10373	1
10375	1
10376	1
10378	1
10380	2
10381	1
10386	1
10387	1
10388	2
10389	3
10391	1
10392	2
10394	2
10395	1
10400	1
10403	1
10405	1
10406	1
10408	1
10416	1
10418	1
10419	1
10422	1
10425	1
10428	1
10429	1
10431	2
10432	1
10433	1
10435	1
10437	1
10439	2
10440	1
10442	1
10443	3
10444	2
10445	1
10447	3
10449	1
10451	1
10454	3
10456	1
10457	2
10459	1
10464	1
10465	2
10467	1
10473	2
10474	1
10475	4
10476	1
10477	2
10478	2
10479	1
10485	1
10486	1
10487	1
10490	1
10492	3
10496	1
10497	2
10498	1
10499	1
10501	1
10502	1
10503	1
10504	1
10506	2
10507	1
10508	2
10509	1
10513	1
10515	1
10517	3
10518	1
10519	1
10520	1
10523	1
10524	2
10526	3
10527	2
10528	2
10529	1
10531	2
10535	1
10536	1
10537	1
10538	2
10540	2
10541	1
10542	1
10544	1
10545	2
10548	1
10549	1
10551	1
10553	2
10555	2
10559	1
10566	2
10568	1
10570	2
10571	1
10572	2
10575	2
10576	2
10578	1
10580	1
10581	1
10582	1
10584	1
10585	1
10586	1
10587	1
10591	1
10592	2
10593	1
10594	1
10597	1
10600	2
10602	2
10605	2
10607	1
10609	1
10610	3
10611	2
10612	1
10613	1
10619	2
10620	1
10622	2
10623	2
10624	1
10625	1
10627	1
10629	2
10632	1
10634	1
10635	2
10636	1
10639	1
10640	1
10642	1
10645	2
10648	1
10649	1
10650	1
10653	1
10656	2
10657	2
10658	2
10660	1
10661	1
10662	2
10664	2
10665	2
10666	1
10669	2
10670	1
10671	1
10674	1
10675	1
10676	1
10678	1
10680	1
10682	2
10683	1
10684	3
10686	2
10687	3
10688	1
10691	1
10692	1
10693	3
10694	1
10696	1
10697	1
10698	2
10700	1
10701	1
10702	4
10703	1
10705	1
10709	1
10711	1
10712	2
10716	1
10717	1
10720	2
10722	3
10723	1
10724	2
10726	2
10727	1
10728	4
10729	1
10731	1
10732	1
10735	2
10736	1
10737	2
10738	2
10741	1
10746	3
10747	3
10748	2
10749	1
10750	2
10751	2
10752	2
10755	2
10756	2
10757	1
10758	1
10760	2
10761	1
10763	2
10765	1
10766	1
10767	1
10768	1
10769	3
10770	2
10772	1
10775	1
10776	1
10778	1
10779	1
10780	2
10781	3
10785	2
10786	1
10788	1
10789	1
10790	2
10791	1
10792	1
10793	1
10795	3
10798	3
10799	1
10800	3
10801	2
10802	1
10803	1
10804	1
10805	1
10806	1
10808	1
10809	1
10810	2
10811	1
10812	1
10813	3
10814	1
10815	1
10818	4
10819	2
10821	1
10823	1
10826	2
10828	2
10830	2
10831	1
10832	1
10833	2
10834	1
10835	1
10839	1
10840	2
10841	3
10842	1
10844	2
10846	1
10847	3
10849	2
10851	1
10855	1
10856	4
10857	3
10859	1
10860	2
10861	2
10866	1
10867	3
10868	3
10869	2
10870	2
10871	1
10873	2
10876	2
10877	3
10880	2
10881	1
10882	3
10884	2
10885	2
10886	2
10887	1
10888	1
10889	1
10891	1
10892	1
10893	2
10894	2
10895	1
10897	1
10898	1
10899	2
10900	1
10901	2
10902	3
10904	4
10905	1
10906	2
10908	2
10910	1
10911	2
10912	1
10914	1
10915	3
10916	2
10917	1
10918	3
10919	1
10920	1
10921	3
10923	2
10924	1
10925	2
10926	2
10927	3
10929	2
10930	2
10932	1
10933	1
10934	1
10935	2
10936	1
10937	1
10938	1
10941	1
10942	3
10943	3
10944	2
10945	2
10946	2
10947	2
10948	1
10950	2
10952	3
10953	1
10954	1
10955	1
10957	1
10959	2
10960	4
10962	1
10964	1
10966	2
10967	2
10968	3
10969	1
10974	2
10975	2
10981	2
10985	1
10986	2
10988	2
10990	2
10991	2
10992	2
10993	1
10994	1
10995	1
10997	2
10998	3
10999	4
11000	2
11002	1
11003	1
11004	2
11007	4
11008	1
11009	1
11010	3
11011	2
11012	3
11013	2
11014	3
11015	1
11017	1
11018	1
11019	1
11020	6
11021	2
11024	2
11026	2
11028	1
11029	2
11032	2
11034	2
11036	2
11037	1
11038	1
11039	2
11040	3
11041	2
11042	2
11043	1
11044	1
11047	2
11048	1
11050	1
11051	2
11052	2
11053	1
11055	1
11056	1
11061	2
11062	2
11066	1
11067	2
11069	1
11070	2
11073	1
11074	2
11075	1
11077	6
11078	2
11079	3
11080	3
11081	3
11082	1
11083	1
11085	1
11086	1
11087	1
11091	4
