Sun Sep  6 15:35:01 2026    /Volumes/T7/Codex/TandemX/results/Mo17_111Mb_native_index_profile_v1_20260906/discovery.prof

         48109829 function calls (48107643 primitive calls) in 151.134 seconds

   Ordered by: cumulative time
   List reduced from 1305 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    312/1    0.013    0.000  151.203  151.203 {built-in method builtins.exec}
        1    0.000    0.000  151.203  151.203 <frozen runpy>:201(run_module)
        1    0.000    0.000  151.194  151.194 <frozen runpy>:65(_run_code)
        1    0.000    0.000  151.194  151.194 cli.py:1(<module>)
        1    0.002    0.002  151.035  151.035 cli.py:759(main)
        1    0.001    0.001  151.028  151.028 cli.py:154(run_discover)
        1    0.021    0.021  151.000  151.000 mvp.py:252(discover_toy_repeats)
       14    0.001    0.000  141.600   10.114 mvp.py:394(flush_chunk)
       14    0.000    0.000  141.463   10.105 mvp.py:792(scan_discover_chunk)
       14    0.005    0.000  141.463   10.105 mvp.py:798(<listcomp>)
     8084    0.051    0.000  141.458    0.017 mvp.py:727(scan_discover_read)
     8084    0.175    0.000  141.407    0.017 mvp.py:801(scan_elastic_read)
     8084    0.150    0.000  140.620    0.017 elastic.py:57(discover_elastic_arrays)
    39438    0.234    0.000  124.361    0.003 alignment.py:35(banded_self_align)
    39438  123.803    0.003  123.803    0.003 {built-in method tandemx._rust_core.banded_self_align}
     8084    0.030    0.000    7.835    0.001 rust_backend.py:75(seed_spacing_histogram)
     9398    0.104    0.000    7.593    0.001 consensus.py:73(aligned_unit_consensus)
     8084    7.454    0.001    7.454    0.001 {built-in method tandemx._rust_core.seed_spacing_histogram}
        1    0.097    0.097    7.101    7.101 clustering.py:87(cluster_monomers)
    10794    2.714    0.000    6.082    0.001 consensus.py:43(_vote)
     5744    0.608    0.000    5.410    0.001 distance.py:54(cyclic_merge_evidence)
   382054    0.690    0.000    4.007    0.000 distance.py:13(bounded_edit_distance)
   382054    2.960    0.000    2.960    0.000 {built-in method tandemx._rust_core.bounded_edit_distance}
  2200965    0.806    0.000    2.426    0.000 __init__.py:587(__init__)
  2200965    0.158    0.000    1.621    0.000 __init__.py:660(update)
  3723411    0.772    0.000    1.588    0.000 {built-in method builtins.min}
        1    0.021    0.021    1.563    1.563 family_audit.py:42(write_family_audit)
    10472    0.349    0.000    1.500    0.000 family_audit.py:15(related_pair_candidates)
    56019    0.693    0.000    1.416    0.000 {built-in method _collections._count_elements}
    16802    0.020    0.000    0.940    0.000 mvp.py:1384(orient_monomer)
    33604    0.881    0.000    0.886    0.000 mvp.py:1393(minimal_rotation)
     6302    0.438    0.000    0.841    0.000 clustering.py:41(_index_words)
    40257    0.130    0.000    0.671    0.000 alignment.py:159(global_align_ops)
    10794    0.184    0.000    0.622    0.000 consensus.py:44(<listcomp>)
    10794    0.177    0.000    0.616    0.000 consensus.py:45(<listcomp>)
