phred	base_count
1	997
2	274731
3	12522290
4	21296713
5	19360122
6	18516863
7	18374425
8	18754181
9	19435338
10	20383008
11	21625816
12	23095149
13	24762786
14	26609881
15	28583111
16	30772118
17	32968896
18	35390731
19	38069629
20	41100695
21	44270740
22	47574174
23	51190694
24	55124043
25	59254754
26	63248204
27	67347498
28	71074985
29	74950571
30	79455958
31	84605551
32	89983592
33	94091255
34	99074266
35	104578499
36	110962337
37	115957737
38	121260579
39	127575184
40	134528599
41	142125612
42	149253205
43	156928874
44	161944026
45	165315680
46	169133648
47	176566665
48	183218259
49	187295441
50	194201889
51	202917002
52	212750311
53	217454225
54	219969969
55	218557891
56	217961652
57	219164963
58	221208902
59	226511403
60	234852038
61	242284891
62	249578730
63	258429061
64	264306918
65	267459036
66	267847323
67	259999494
68	249434561
69	244863516
70	238678425
71	235130924
72	234439158
73	235263854
74	237816785
75	241168830
76	242793770
77	244241050
78	248442843
79	246711369
80	240473344
81	235158574
82	227616691
83	217595628
84	211607567
85	206078390
86	201661642
87	198906694
88	198515425
89	198324152
90	197643280
91	199203021
92	196603171
93	6061691193
