length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	28	90	1
0	31	90	2
0	38	40	1
0	38	90	1
0	40	45	1
0	40	90	1
0	41	20	3
0	41	25	1
0	41	35	1
0	41	55	1
0	42	25	3
0	42	35	1
0	42	40	2
0	42	50	2
0	42	90	1
0	43	20	6
0	43	25	1
0	43	30	1
0	43	55	1
0	43	80	1
0	43	90	9
0	44	20	2
0	44	25	5
0	44	30	3
0	44	40	1
0	44	50	1
0	44	60	2
0	44	65	1
0	44	70	2
0	44	85	2
0	44	90	53
0	45	25	2
0	45	35	1
0	45	40	2
0	45	50	1
0	45	65	2
0	45	70	1
0	45	85	1
0	45	90	7
0	46	20	1
0	46	25	1
0	46	30	1
0	46	55	1
0	46	90	3
0	47	20	1
0	47	25	1
0	47	35	1
0	47	90	2
0	48	70	1
0	50	20	1
0	50	55	1
0	53	30	1
0	60	90	1
0	71	90	1
1	30	35	1
1	32	30	1
1	32	50	1
1	32	60	1
1	32	80	1
1	32	85	1
1	32	90	1
1	33	30	2
1	33	90	4
1	34	20	2
1	34	45	1
1	34	65	1
1	34	80	2
1	34	90	9
1	35	25	1
1	35	30	1
1	35	50	1
1	35	55	1
1	35	90	5
1	36	25	2
1	36	30	1
1	36	35	2
1	36	40	1
1	36	50	1
1	36	85	2
1	36	90	7
1	37	20	2
1	37	25	2
1	37	30	1
1	37	35	4
1	37	40	2
1	37	60	1
1	37	70	2
1	37	90	16
1	38	25	2
1	38	30	3
1	38	35	1
1	38	45	2
1	38	50	2
1	38	60	1
1	38	90	7
1	39	25	2
1	39	30	5
1	39	40	2
1	39	45	1
1	39	50	1
1	39	55	2
1	39	90	11
1	40	20	3
1	40	25	3
1	40	30	6
1	40	35	3
1	40	55	2
1	40	70	1
1	40	90	19
1	41	20	1
1	41	25	5
1	41	30	3
1	41	35	1
1	41	50	2
1	41	60	1
1	41	65	1
1	41	75	2
1	41	90	13
1	42	25	2
1	42	30	3
1	42	35	6
1	42	40	4
1	42	45	2
1	42	50	2
1	42	55	2
1	42	60	1
1	42	75	1
1	42	85	1
1	42	90	24
1	43	20	1
1	43	25	5
1	43	30	4
1	43	35	2
1	43	40	2
1	43	45	1
1	43	85	5
1	43	90	22
1	44	20	11
1	44	25	8
1	44	30	4
1	44	35	1
1	44	40	2
1	44	45	2
1	44	50	2
1	44	55	1
1	44	60	1
1	44	70	1
1	44	80	3
1	44	90	17
1	45	20	2
1	45	25	1
1	45	30	4
1	45	35	2
1	45	40	1
1	45	45	1
1	45	50	1
1	45	55	1
1	45	85	1
1	45	90	12
1	46	20	3
1	46	25	1
1	46	35	2
1	46	40	1
1	46	45	1
1	46	55	1
1	46	65	1
1	46	70	1
1	46	75	2
1	46	80	1
1	46	90	10
1	47	20	1
1	47	25	3
1	47	30	2
1	47	35	5
1	47	40	1
1	47	45	1
1	47	50	3
1	47	55	4
1	47	90	27
1	48	20	6
1	48	25	3
1	48	30	5
1	48	35	4
1	48	40	2
1	48	45	1
1	48	50	1
1	48	55	2
1	48	60	2
1	48	75	3
1	48	80	1
1	48	85	1
1	48	90	23
1	49	20	2
1	49	35	1
1	49	45	1
1	49	50	2
1	49	55	2
1	49	70	1
1	49	80	1
1	49	90	12
1	50	20	3
1	50	25	1
1	50	30	5
1	50	35	1
1	50	40	1
1	50	45	1
1	50	65	1
1	50	90	9
1	51	20	2
1	51	25	2
1	51	30	3
1	51	35	4
1	51	40	2
1	51	50	2
1	51	70	2
1	51	80	1
1	51	90	10
1	52	25	2
1	52	35	2
1	52	75	1
1	52	85	1
1	52	90	7
1	53	25	2
1	53	30	1
1	53	35	3
1	53	40	1
1	53	45	1
1	53	70	1
1	53	90	8
1	54	25	1
1	54	35	4
1	54	40	1
1	54	45	1
1	54	50	2
1	54	70	1
1	54	90	12
1	55	20	1
1	55	25	2
1	55	30	3
1	55	40	2
1	55	45	1
1	55	50	1
1	55	55	1
1	55	65	1
1	55	70	1
1	55	85	1
1	55	90	10
1	56	20	1
1	56	25	1
1	56	30	2
1	56	35	6
1	56	40	3
1	56	45	2
1	56	50	3
1	56	65	3
1	56	70	2
1	56	80	2
1	56	90	27
1	57	20	4
1	57	25	7
1	57	30	9
1	57	35	10
1	57	40	5
1	57	45	2
1	57	50	3
1	57	55	2
1	57	65	2
1	57	75	3
1	57	80	2
1	57	85	2
1	57	90	31
1	58	20	3
1	58	25	4
1	58	30	1
1	58	35	3
1	58	40	3
1	58	45	1
1	58	50	2
1	58	55	2
1	58	60	1
1	58	65	2
1	58	75	2
1	58	85	2
1	58	90	30
1	59	20	3
1	59	25	1
1	59	30	2
1	59	35	3
1	59	40	1
1	59	50	2
1	59	60	1
1	59	70	1
1	59	80	4
1	59	90	15
1	60	20	1
1	60	40	2
1	60	45	1
1	60	65	1
1	60	70	1
1	60	90	1
1	61	90	1
1	62	30	1
1	65	85	1
2	26	40	1
2	28	45	1
2	28	75	1
2	30	40	1
2	31	45	1
2	31	50	1
2	31	90	2
2	32	60	1
2	32	70	1
2	33	25	2
2	33	30	1
2	33	35	1
2	33	45	1
2	33	65	1
2	33	70	1
2	33	90	4
2	34	20	2
2	34	30	1
2	34	35	1
2	34	40	1
2	34	45	1
2	34	90	5
2	35	20	3
2	35	25	2
2	35	30	1
2	35	35	4
2	35	40	2
2	35	50	1
2	35	55	1
2	35	60	2
2	35	65	1
2	35	70	1
2	35	85	2
2	35	90	15
2	36	20	2
2	36	25	4
2	36	30	3
2	36	35	3
2	36	40	4
2	36	45	2
2	36	50	3
2	36	55	1
2	36	60	2
2	36	65	1
2	36	70	1
2	36	75	1
2	36	85	2
2	36	90	17
2	37	20	2
2	37	25	5
2	37	30	2
2	37	35	3
2	37	40	5
2	37	45	3
2	37	65	1
2	37	70	1
2	37	75	2
2	37	80	1
2	37	85	3
2	37	90	16
2	38	20	3
2	38	25	2
2	38	30	1
2	38	35	1
2	38	40	1
2	38	50	2
2	38	55	3
2	38	70	2
2	38	75	1
2	38	85	1
2	38	90	13
2	39	20	1
2	39	25	2
2	39	30	4
2	39	35	2
2	39	40	3
2	39	45	2
2	39	50	3
2	39	55	1
2	39	70	1
2	39	85	1
2	39	90	21
2	40	20	3
2	40	25	4
2	40	30	4
2	40	35	1
2	40	40	2
2	40	45	1
2	40	50	1
2	40	55	1
2	40	65	1
2	40	80	3
2	40	85	1
2	40	90	28
2	41	20	2
2	41	25	5
2	41	30	3
2	41	35	6
2	41	40	7
2	41	45	3
2	41	50	2
2	41	55	1
2	41	65	1
2	41	70	1
2	41	75	1
2	41	85	2
2	41	90	23
2	42	20	4
2	42	25	6
2	42	30	10
2	42	35	13
2	42	40	6
2	42	45	7
2	42	50	5
2	42	55	3
2	42	60	1
2	42	65	4
2	42	70	1
2	42	75	3
2	42	80	1
2	42	90	52
2	43	20	3
2	43	25	6
2	43	30	7
2	43	35	4
2	43	40	6
2	43	45	6
2	43	50	3
2	43	55	2
2	43	60	2
2	43	65	3
2	43	70	3
2	43	75	1
2	43	80	2
2	43	85	2
2	43	90	34
2	44	20	3
2	44	25	2
2	44	30	8
2	44	35	7
2	44	40	3
2	44	45	3
2	44	50	4
2	44	55	2
2	44	60	4
2	44	65	1
2	44	70	4
2	44	75	4
2	44	90	41
2	45	20	5
2	45	25	11
2	45	30	8
2	45	35	6
2	45	40	4
2	45	45	1
2	45	50	4
2	45	55	1
2	45	60	1
2	45	65	3
2	45	75	1
2	45	80	2
2	45	85	4
2	45	90	30
2	46	20	5
2	46	25	1
2	46	30	5
2	46	35	9
2	46	40	3
2	46	50	3
2	46	60	2
2	46	65	2
2	46	75	3
2	46	80	1
2	46	85	2
2	46	90	16
2	47	20	6
2	47	25	2
2	47	30	3
2	47	35	8
2	47	40	7
2	47	45	4
2	47	50	2
2	47	55	6
2	47	65	1
2	47	70	3
2	47	75	2
2	47	80	3
2	47	85	1
2	47	90	33
2	48	20	9
2	48	25	9
2	48	30	6
2	48	35	10
2	48	40	7
2	48	45	1
2	48	50	6
2	48	55	3
2	48	60	3
2	48	65	2
2	48	70	4
2	48	75	1
2	48	80	1
2	48	85	3
2	48	90	40
2	49	20	2
2	49	25	10
2	49	30	3
2	49	35	7
2	49	40	8
2	49	45	4
2	49	55	3
2	49	60	3
2	49	65	4
2	49	75	1
2	49	80	1
2	49	90	40
2	50	20	3
2	50	25	1
2	50	30	6
2	50	35	5
2	50	40	4
2	50	50	1
2	50	60	1
2	50	65	2
2	50	75	1
2	50	80	2
2	50	85	1
2	50	90	24
2	51	25	1
2	51	30	2
2	51	35	1
2	51	50	1
2	51	55	1
2	51	65	1
2	51	85	1
2	51	90	5
2	52	25	1
2	52	30	1
2	52	35	1
2	52	40	1
2	52	45	1
2	52	55	1
2	52	65	2
2	52	70	1
2	52	85	1
2	52	90	8
2	53	20	2
2	53	25	2
2	53	30	1
2	53	35	1
2	53	40	1
2	53	45	2
2	53	50	3
2	53	55	1
2	53	90	10
2	54	20	4
2	54	25	2
2	54	30	1
2	54	35	2
2	54	40	3
2	54	55	2
2	54	60	1
2	54	70	1
2	54	85	2
2	54	90	6
2	55	20	3
2	55	25	1
2	55	30	3
2	55	35	4
2	55	40	4
2	55	45	3
2	55	50	1
2	55	65	1
2	55	70	1
2	55	75	2
2	55	80	1
2	55	85	1
2	55	90	16
2	56	20	11
2	56	25	9
2	56	30	9
2	56	35	14
2	56	40	4
2	56	45	2
2	56	50	4
2	56	60	1
2	56	65	3
2	56	70	1
2	56	75	1
2	56	80	2
2	56	85	1
2	56	90	42
2	57	20	5
2	57	25	9
2	57	30	11
2	57	35	14
2	57	40	8
2	57	45	4
2	57	50	5
2	57	55	1
2	57	60	6
2	57	65	8
2	57	70	1
2	57	75	6
2	57	80	2
2	57	85	7
2	57	90	71
2	58	20	9
2	58	25	9
2	58	30	12
2	58	35	8
2	58	40	6
2	58	45	4
2	58	50	5
2	58	55	2
2	58	60	5
2	58	65	3
2	58	70	1
2	58	75	4
2	58	80	3
2	58	85	2
2	58	90	43
2	59	25	2
2	59	30	1
2	59	35	4
2	59	40	1
2	59	45	2
2	59	50	3
2	59	60	1
2	59	70	1
2	59	80	1
2	59	85	1
2	59	90	6
2	60	20	1
2	60	30	1
2	60	40	1
2	61	30	2
2	61	35	1
2	64	90	1
2	68	45	1
3	29	70	1
3	30	25	1
3	30	40	1
3	30	65	1
3	31	35	1
3	31	40	1
3	31	90	1
3	32	25	1
3	32	35	2
3	32	40	1
3	32	45	2
3	32	75	1
3	32	90	3
3	33	20	2
3	33	30	3
