length_bp	read_count
46	3
48	3
49	5
50	4
51	4
52	3
53	4
54	2
55	4
56	2
57	1
58	1
59	1
67	3
70	1
71	1
72	1
73	1
81	1
84	3
85	1
87	3
88	7
89	6
90	38
91	9
92	9
93	2
283	1
585	1
607	1
630	2
633	1
683	1
688	1
716	1
734	1
760	1
763	1
769	1
771	1
846	2
867	1
874	1
887	1
901	1
905	1
911	1
957	1
964	1
981	1
1040	1
1048	1
1060	2
1093	1
1098	1
1101	1
1115	1
1117	1
1122	2
1130	1
1137	1
1142	1
1143	1
1144	1
1160	1
1170	2
1172	1
1197	1
1200	1
1201	1
1207	2
1216	1
1224	1
1226	1
1227	2
1236	1
1238	1
1240	1
1241	1
1246	1
1247	2
1249	2
1254	1
1255	1
1264	1
1269	1
1271	1
1281	1
1283	1
1288	1
1289	1
1291	1
1294	1
1299	2
1300	1
1306	1
1307	1
1324	1
1326	1
1327	1
1334	2
1336	2
1343	1
1344	1
1346	1
1347	1
1348	1
1353	2
1355	1
1357	1
1361	1
1364	1
1366	1
1367	2
1370	1
1373	1
1374	1
1375	2
1376	2
1378	1
1380	1
1383	1
1384	1
1387	1
1391	3
1393	1
1399	1
1400	1
1403	1
1406	2
1407	2
1408	1
1414	1
1416	2
1421	1
1425	1
1426	1
1430	2
1432	1
1435	1
1436	2
1437	1
1439	2
1440	1
1441	2
1443	1
1444	1
1445	1
1447	2
1450	2
1452	1
1453	1
1455	2
1457	1
1458	3
1460	1
1461	1
1465	1
1467	1
1472	2
1473	2
1477	1
1478	1
1482	1
1483	2
1484	1
1487	1
1488	2
1491	1
1492	3
1495	1
1496	1
1497	1
1498	1
1499	1
1500	1
1501	2
1507	1
1510	1
1511	1
1512	2
1517	2
1518	2
1520	1
1522	2
1523	2
1527	1
1529	1
1531	2
1532	1
1533	2
1534	1
1535	1
1536	1
1537	3
1538	1
1539	1
1540	1
1541	2
1542	1
1547	1
1548	4
1549	2
1550	1
1551	1
1553	1
1554	1
1555	1
1556	3
1559	2
1560	2
1561	2
1562	1
1564	2
1565	2
1567	1
1571	1
1572	2
1573	1
1575	1
1576	2
1578	1
1579	1
1580	3
1581	1
1582	1
1583	1
1584	1
1586	1
1587	2
1588	1
1589	2
1590	3
1591	1
1592	1
1594	2
1595	1
1596	1
1597	6
1599	2
1600	3
1601	1
1602	1
1604	1
1608	1
1610	1
1611	1
1612	2
1613	1
1614	2
1616	3
1617	2
1618	2
1619	2
1620	1
1621	3
1622	1
1623	3
1624	1
1625	1
1627	1
1628	1
1630	2
1631	1
1632	1
1633	1
1635	1
1636	1
1638	1
1641	3
1642	2
1643	2
1644	4
1645	3
1647	1
1648	1
1649	1
1651	6
1652	1
1653	1
1654	2
1655	3
1656	1
1657	2
1658	2
1659	2
1660	1
1661	1
1664	1
1665	1
1666	1
1668	2
1670	3
1672	1
1674	2
1675	1
1676	2
1677	2
1678	3
1679	1
1683	3
1684	1
1685	1
1686	1
1688	1
1689	1
1691	1
1692	1
1693	1
1694	1
1695	1
1696	3
1697	1
1698	1
1699	1
1700	2
1701	2
1702	2
1703	4
1704	2
1705	2
1706	2
1707	2
1708	2
1710	1
1711	2
1712	2
1713	1
1714	2
1715	2
1717	1
1718	2
1719	2
1721	3
1722	1
1723	2
1724	2
1725	4
1726	1
1727	2
1728	2
1729	1
1730	2
1731	2
1732	1
1733	1
1735	2
1736	1
1737	1
1739	2
1740	4
1741	5
1742	1
1744	3
1745	1
1746	1
1747	3
1748	1
1749	1
1750	1
1751	3
1752	2
1753	1
1755	1
1756	2
1757	2
1758	3
1760	6
1761	2
1763	1
1764	1
1765	1
1766	1
1767	4
1768	1
1770	1
1771	1
1772	1
1774	2
1775	1
1776	2
1777	3
1779	1
1780	2
1781	3
1783	1
1784	1
1785	2
1786	1
1787	2
1788	3
1789	2
1790	2
1791	3
1792	1
1793	1
1794	3
1795	1
1796	4
1797	2
1800	1
1803	4
1804	1
1806	1
1808	2
1809	1
1810	1
1811	2
1812	1
1813	2
1814	3
1815	2
1816	1
1818	3
1819	2
1820	2
1821	2
1823	3
1824	2
1825	4
1826	1
1827	4
1828	1
1829	2
1830	1
1831	3
1833	1
1834	3
1835	3
1836	3
1837	2
1838	1
1839	3
1840	2
1841	3
1842	2
1843	2
1844	2
1846	1
1847	2
1848	3
1849	1
1850	1
1851	3
1852	1
1853	2
1854	1
1855	1
1856	1
1857	1
1859	1
1860	1
1861	2
1862	3
1865	1
1867	3
1868	3
1869	1
1870	4
1871	1
1873	1
1874	1
1876	3
1877	2
1878	1
1880	3
1881	4
1883	3
1884	1
1885	2
1886	1
1888	3
1889	4
1891	3
1892	1
1893	3
1894	1
1895	2
1896	1
1897	1
1898	1
1899	2
1900	1
1901	3
1902	1
1903	1
1906	4
1907	3
1908	2
1909	1
1910	1
1911	1
1912	1
1913	3
1914	2
1915	1
1916	2
1917	1
1918	2
1920	2
1921	1
1922	2
1923	4
1924	3
1926	2
1927	2
1929	2
1930	2
1931	3
1932	3
1933	1
1935	2
1936	3
1937	1
1938	2
1939	1
1940	1
1942	2
1943	4
1944	1
1946	4
1947	3
1948	1
1949	1
1950	3
1951	1
1952	3
1953	1
1954	1
1955	1
1956	2
1957	3
1959	1
1960	4
1961	1
1962	1
1963	1
1965	3
1966	2
1967	2
1968	1
1969	1
1970	2
1971	1
1972	1
1973	2
1975	1
1976	3
1978	1
1980	2
1981	1
1982	1
1983	1
1984	1
1985	1
1986	2
1988	6
1989	3
1991	1
1992	5
1993	1
1994	1
1995	3
1997	1
1998	1
1999	3
2000	5
2001	2
2002	1
2003	1
2004	4
2005	3
2006	1
2007	1
2008	1
2009	7
2010	4
2011	5
2012	6
2013	2
2014	3
2015	2
2016	1
2017	2
2018	3
2020	1
2021	2
2022	3
2023	2
2024	1
2025	1
2026	4
2027	1
2028	3
2029	2
2030	2
2031	2
2033	1
2034	2
2036	1
2037	1
2038	2
2039	4
2040	1
2041	1
2042	1
2043	1
2044	1
2047	1
2048	2
2049	2
2050	3
2051	3
2054	2
2056	3
2057	2
2058	2
2059	2
2061	2
2062	2
2063	2
2064	3
2066	4
2067	2
2069	1
2070	4
2071	1
2072	2
2073	1
2074	2
2075	2
2076	1
2077	1
2078	6
2079	3
2081	3
2082	1
2083	4
2085	3
2087	1
2088	3
2089	2
2090	1
2091	2
2092	3
2093	1
2094	3
2095	2
2096	1
2097	2
2099	2
2100	1
2101	1
2103	3
2104	1
2105	2
2106	4
2107	1
2110	3
2112	4
2113	4
2115	1
2116	2
2117	2
2119	3
2121	1
2122	2
2124	4
2125	2
2126	1
2127	1
2129	3
2130	2
2131	3
2132	2
2133	2
2134	1
2135	2
2136	3
2137	1
2138	3
2139	1
2140	3
2141	4
2142	2
2143	1
2144	4
2145	2
2146	2
2147	4
2149	4
2150	1
2151	2
2152	1
2153	1
2154	3
2155	2
2156	2
2157	1
2158	3
2159	2
2160	3
2161	1
2162	1
2163	2
2164	2
2165	4
2166	2
2167	2
2168	1
2169	1
2170	2
2173	4
2175	2
2176	3
2177	5
2178	4
2179	1
2180	3
2181	3
2182	5
2183	4
2184	2
2185	1
2186	3
2187	1
2189	3
2190	3
2191	1
2192	1
2193	2
2194	1
2195	2
2196	3
2197	1
2198	1
2199	1
2200	2
2201	2
2202	2
2203	3
2205	1
2206	3
2207	2
2208	1
2211	1
2212	1
2213	2
2215	1
2216	1
2217	1
2219	1
2220	2
2221	2
2222	1
2223	2
2226	2
2227	2
2228	4
2229	7
2230	2
2231	1
2232	4
2233	1
2234	3
2235	3
2236	2
2237	1
2238	2
2239	1
2240	1
2241	2
2242	1
2243	1
2244	2
2245	3
2246	1
2247	2
2248	3
2249	3
2251	2
2252	1
2253	2
2254	1
2255	1
2256	2
2257	4
2258	2
2259	2
2261	2
2262	2
2264	4
2265	3
2266	1
2267	2
2269	2
2270	5
2271	1
2272	3
2273	2
2274	3
2276	6
2277	2
2278	1
2279	1
2280	2
2281	2
2282	1
2283	4
2286	2
2287	6
2288	1
2289	1
2290	2
2291	2
2292	1
2293	3
2294	1
2295	5
2296	1
2298	2
2299	3
2300	1
2301	2
2302	2
2304	3
2305	1
2306	1
2307	4
2308	2
2309	2
2310	1
2311	2
2313	2
2315	1
2316	2
2317	2
2318	1
2320	2
2321	3
2322	3
2323	4
2324	2
2325	1
2326	4
2327	1
2328	6
2329	2
2330	3
2331	1
2332	4
2333	1
2334	3
2335	2
2337	2
2338	1
2339	2
2340	1
2342	2
2343	2
2345	1
2346	2
2347	1
2348	4
2350	2
2351	2
2352	1
2353	2
2354	2
2355	2
2356	1
2357	5
2358	4
2359	1
2360	1
2361	3
2363	2
2364	2
2365	1
2366	2
2368	3
2369	1
2370	2
2371	3
2372	1
2373	1
2376	3
2377	2
2378	3
2379	3
2380	1
2381	4
2382	1
2383	4
2384	5
2385	2
2387	3
2388	1
2389	2
2390	1
2391	4
2392	2
2393	1
2395	3
2396	4
2397	1
2398	1
2399	2
2400	3
2401	2
2402	1
2403	1
2404	1
2405	3
2406	4
2407	2
2408	1
2411	1
2413	3
2414	2
2415	1
2417	1
2418	1
2419	3
2420	3
2422	2
2423	4
2424	2
2425	3
2426	2
2427	1
2428	1
2429	1
2430	2
2431	2
2432	1
2433	3
2434	1
2436	2
2437	2
2438	2
2440	1
2441	2
2444	2
2445	1
2447	3
2449	4
2450	1
2451	1
2452	2
2455	1
2456	3
2457	4
2459	1
2460	2
2462	3
2463	2
2464	3
2467	3
2469	2
2470	1
2471	1
2472	1
2475	1
2477	2
2478	1
2479	1
2480	1
2483	3
2484	2
2485	1
2486	2
2487	2
2488	4
2491	2
2492	2
2493	4
2494	1
2496	3
2497	1
2499	1
2500	2
2501	1
2503	2
2505	2
2506	2
2507	3
2508	2
2509	3
2510	1
2512	3
2514	3
2515	2
2516	1
2517	2
2518	1
2519	3
2520	1
2521	1
2523	1
2524	4
2525	1
2526	3
2527	3
2528	2
2529	2
2531	2
2532	1
2533	1
2534	3
2535	2
2536	1
2538	1
2539	1
2540	3
2541	2
2542	2
2543	1
2544	1
2545	1
2547	2
2548	1
2549	3
2551	2
2552	2
2553	3
2554	1
2555	3
2556	2
2557	2
2558	2
2560	3
2561	4
2564	4
2565	1
2568	5
2569	4
2570	2
2571	2
2573	1
2574	2
2575	2
2576	3
2578	2
2579	4
2580	1
2581	1
2582	1
2584	1
2585	1
2586	1
2587	2
2588	1
2589	2
2590	1
2591	2
2592	1
2593	2
2595	2
2596	1
2598	1
2599	4
2600	2
2601	3
2604	1
2605	1
2606	1
2607	1
2608	3
2609	1
2610	4
2611	2
2613	4
2614	3
2618	4
2619	1
2620	2
2621	1
2622	1
2623	1
2624	2
2626	1
2628	3
2629	1
2630	2
2631	3
2632	2
2633	3
2634	1
2635	1
2636	2
2637	1
2638	4
2639	2
2640	1
2641	1
2642	1
2643	5
2644	1
2645	4
2647	1
2648	2
2649	3
2650	2
2651	5
2652	1
2653	4
2654	1
2655	1
2656	3
2657	1
2658	1
2659	1
2660	1
2661	2
2662	1
2663	3
2664	4
2665	1
2666	1
2668	2
2669	3
2671	1
2672	1
2673	2
2674	2
2675	2
2676	1
2677	2
2678	1
2680	1
2681	3
2682	5
2683	1
2684	2
2685	1
2686	1
2687	2
2688	2
2689	1
2690	2
2692	2
2693	2
2694	1
2695	3
2696	2
2697	3
2699	3
2701	1
2702	1
2703	1
2706	1
2707	3
2708	3
2709	4
2710	4
2711	4
2713	2
2714	2
2715	1
2716	1
2717	3
2720	2
2723	1
2724	2
2725	2
2726	1
2727	2
2728	4
2729	1
2730	1
2732	2
2733	2
2734	4
2735	2
2736	1
2737	4
2738	3
2739	3
2743	4
2746	4
2747	1
2748	1
2749	4
2751	2
2752	3
2754	1
2755	2
2756	2
2757	1
2758	1
2759	2
2761	1
2763	1
2764	2
2765	3
2767	1
2769	2
2771	1
2772	2
2773	1
2775	2
2776	1
2778	1
2779	2
2780	2
2781	1
2783	2
2784	2
2785	1
2786	1
2787	2
2788	2
2789	1
2790	2
2791	1
2792	3
2793	1
2795	2
2800	3
2801	1
2803	3
2804	3
2806	2
2807	1
2808	1
2809	1
2811	1
2812	2
2813	1
2814	1
2815	1
2816	2
2817	2
2819	2
2820	3
2821	1
2823	2
2824	2
2828	2
2829	4
2830	2
2831	1
2833	1
2834	1
2835	3
2836	3
2838	1
2839	2
2840	2
2841	1
2843	2
2844	1
2845	2
2846	1
2847	3
2848	2
2850	2
2852	1
2854	1
2856	1
2857	1
2858	1
2859	1
2860	2
2861	1
2862	3
2863	1
2865	2
2867	1
2869	2
2872	1
2873	1
2874	3
2875	1
2876	2
2877	2
2879	2
2880	1
2881	4
2882	1
2884	1
2885	1
2886	1
2887	1
2888	1
2889	5
2890	1
2891	1
2892	2
2893	2
2894	1
2896	2
2897	1
2898	1
2899	2
2901	2
2902	1
2903	1
2905	3
2906	1
2907	1
2908	1
2909	1
2910	2
2912	1
2913	2
2914	2
2917	2
2918	1
2919	1
2920	2
2921	3
2922	4
2924	2
2926	3
2928	1
2929	1
2930	1
2933	1
2934	1
2935	2
2936	2
2937	2
2938	5
2940	2
2941	1
2942	1
2943	3
2949	2
2952	1
2953	1
2954	1
2955	1
2956	2
2957	1
2958	1
2960	3
2961	1
2964	1
2965	2
2967	1
2968	3
2969	2
2970	2
2971	1
2973	1
2974	1
2976	2
2977	2
2978	3
2979	1
2980	1
2982	1
2984	2
2985	2
2987	1
2988	2
2990	1
2992	2
2993	2
2995	1
2996	2
2997	1
2998	1
2999	3
3000	2
3001	2
3002	2
3004	2
3006	2
3007	2
3008	2
3010	1
3011	2
3012	3
3017	1
3018	1
3019	2
3020	1
3022	5
3023	1
3024	5
3025	3
3026	1
