length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
5	41	25	1
6	40	40	1
6	46	65	1
6	55	50	1
7	43	35	1
8	49	35	1
9	40	55	1
10	40	35	1
16	44	20	1
16	55	20	1
17	40	40	1
17	42	20	1
17	43	35	1
17	44	20	1
17	45	20	2
18	40	35	1
18	41	20	1
18	41	25	1
18	41	30	1
18	41	35	2
18	42	20	2
18	42	25	1
18	42	35	1
18	43	20	2
18	43	25	1
18	43	30	4
18	43	40	1
18	44	20	2
18	44	25	2
18	44	30	1
18	45	25	1
18	45	30	1
18	45	35	1
18	46	30	2
18	47	30	1
18	48	20	1
18	48	25	2
18	48	35	1
18	49	25	1
19	39	30	2
19	40	25	3
19	40	30	2
19	41	20	2
19	41	25	1
19	41	30	4
19	42	20	2
19	42	25	3
19	42	30	6
19	43	20	3
19	43	25	3
19	43	30	2
19	43	35	2
19	44	20	2
19	44	25	6
19	44	30	5
19	44	35	1
19	45	20	3
19	45	25	2
19	45	30	3
19	45	35	1
19	46	20	3
19	46	25	3
19	46	30	2
19	46	35	1
19	47	25	2
19	47	30	2
19	48	20	1
19	48	25	1
19	48	35	1
19	49	20	1
19	49	30	2
19	49	35	1
19	53	35	1
20	36	25	2
20	38	20	1
20	38	25	1
20	39	25	1
20	40	25	1
20	40	30	1
20	41	25	1
20	41	30	6
20	41	35	1
20	42	20	2
20	42	25	4
20	42	30	5
20	42	35	2
20	43	20	4
20	43	25	5
20	43	30	11
20	43	35	1
20	44	20	4
20	44	25	5
20	44	30	5
20	44	35	3
20	45	20	6
20	45	25	5
20	45	30	3
20	45	35	1
20	46	20	1
20	46	25	4
20	46	30	2
20	46	35	1
20	47	25	4
20	48	25	3
20	48	30	2
20	50	25	1
20	50	30	1
20	51	25	1
20	53	20	1
20	54	20	1
20	55	20	2
20	57	20	1
21	36	20	1
21	39	20	1
21	40	25	1
21	40	30	2
21	41	25	4
21	41	30	5
21	41	40	1
21	42	20	4
21	42	25	6
21	42	30	5
21	42	35	4
21	43	25	3
21	43	30	3
21	44	20	6
21	44	25	8
21	44	30	2
21	44	35	1
21	45	20	3
21	45	25	3
21	45	30	5
21	45	35	1
21	46	20	2
21	46	25	3
21	46	30	2
21	46	35	1
21	47	20	1
21	47	25	3
21	48	20	1
21	48	25	1
21	49	20	1
21	49	25	3
21	53	25	1
21	53	30	1
22	37	25	1
22	37	30	1
22	40	25	2
22	41	20	1
22	41	25	3
22	41	30	1
22	42	20	4
22	42	25	4
22	42	30	1
22	43	20	4
22	43	25	9
22	43	30	5
22	44	20	5
22	44	25	11
22	44	30	4
22	45	20	3
22	45	25	2
22	45	30	2
22	46	20	2
22	46	25	4
22	47	20	1
22	47	25	1
22	48	20	2
22	48	25	3
22	49	20	3
22	50	20	1
22	50	25	1
22	51	20	1
22	51	30	1
22	53	25	1
23	35	30	1
23	40	25	1
23	40	30	1
23	41	25	1
23	41	30	1
23	42	20	1
23	42	25	3
23	42	30	2
23	42	35	1
23	43	20	2
23	43	25	1
23	43	30	1
23	44	25	6
23	44	30	2
23	45	25	3
23	45	30	1
23	46	20	5
23	46	25	2
23	47	20	1
23	48	20	1
23	48	25	1
23	49	20	1
23	50	25	1
23	51	20	1
23	55	25	1
24	40	25	1
24	40	30	1
24	41	20	1
24	41	25	2
24	42	20	3
24	42	25	3
24	43	20	3
24	43	25	5
24	43	30	1
24	44	20	4
24	44	30	2
24	45	20	2
24	45	25	2
24	45	30	1
24	45	35	1
24	46	20	2
24	46	25	2
24	46	30	1
24	47	25	1
24	47	30	1
24	48	20	3
24	48	30	1
24	49	20	1
24	49	25	1
25	40	20	1
25	40	25	1
25	41	25	1
25	42	20	1
25	42	25	1
25	42	30	2
25	43	25	3
25	43	30	1
25	44	20	1
25	44	25	2
25	44	30	2
25	45	20	1
25	45	30	1
25	46	25	1
25	46	30	1
25	47	25	1
25	48	20	1
25	49	20	1
26	39	30	1
26	40	20	1
26	41	20	3
26	42	20	1
26	42	30	1
26	43	30	1
26	44	20	1
26	45	20	2
26	45	30	1
26	46	20	1
26	47	20	1
26	48	20	1
26	48	25	1
26	50	30	1
26	55	20	1
27	41	20	2
27	42	20	1
27	43	25	1
27	44	20	2
27	44	25	1
27	45	25	1
27	46	25	1
27	47	20	2
27	47	25	1
27	48	25	1
28	42	25	1
28	43	20	3
28	43	25	1
28	44	20	1
29	36	20	1
29	41	20	1
29	42	25	2
29	43	20	2
29	43	25	1
29	48	20	2
29	51	25	1
30	43	20	1
30	44	25	2
30	46	20	2
30	47	20	1
30	48	20	1
