length_bp	read_count
5305	1
6153	1
6653	1
6700	1
7186	1
8530	1
9926	1
10580	1
16270	1
16861	1
17028	1
17281	1
17298	1
17438	1
17606	1
17948	1
18075	1
18097	1
18274	1
18302	1
18331	1
18389	1
18430	1
18449	1
18453	1
18459	1
18461	1
18514	1
18522	1
18532	1
18534	1
18558	1
18584	1
18619	1
18624	2
18629	1
18641	1
18671	1
18685	1
18706	1
18733	1
18768	1
18823	1
18855	1
18871	1
18910	1
18922	1
18947	1
18979	1
19046	1
19055	1
19056	1
19085	1
19108	1
19151	1
19155	1
19159	1
19163	1
19174	1
19188	1
19199	1
19233	1
19242	1
19282	1
19287	1
19319	1
19321	1
19332	1
19353	1
19355	1
19375	1
19383	1
19397	1
19399	1
19403	1
19418	1
19453	1
19465	1
19469	1
19474	1
19489	1
19498	1
19512	1
19513	2
19529	1
19536	1
19541	1
19552	1
19575	2
19599	1
19623	1
19624	1
19626	1
19632	1
19648	1
19653	2
19664	1
19684	1
19727	1
19753	1
19755	1
19765	1
19800	1
19818	1
19825	1
19827	1
19831	1
19832	1
19834	1
19839	1
19848	1
19855	1
19863	2
19869	1
19877	1
19885	1
19894	1
19899	1
19910	1
19911	1
19917	1
19941	1
19982	1
19997	1
20013	1
20031	1
20033	1
20043	1
20046	1
20051	1
20083	2
20121	1
20130	1
20138	1
20142	1
20146	1
20160	1
20176	2
20180	1
20187	1
20189	1
20191	1
20198	1
20209	1
20231	1
20240	1
20244	1
20249	1
20253	1
20280	1
20284	1
20296	2
20305	1
20321	1
20323	1
20334	1
20338	1
20348	1
20351	1
20375	1
20376	1
20403	1
20417	1
20423	1
20424	1
20426	1
20432	1
20437	1
20438	1
20441	1
20446	1
20453	1
20459	1
20463	2
20481	1
20488	2
20489	1
20494	1
20497	1
20505	1
20513	1
20541	1
20575	1
20576	1
20584	1
20595	1
20632	1
20648	1
20657	1
20664	1
20665	2
20696	1
20700	1
20715	1
20758	1
20762	1
20770	1
20776	1
20778	1
20781	1
20788	1
20790	1
20802	1
20810	1
20821	1
20825	1
20834	1
20838	1
20841	1
20844	1
20862	1
20872	1
20876	1
20885	1
20888	1
20903	1
20912	1
20916	1
20927	1
20941	1
20972	1
20987	1
20991	1
20996	1
21006	1
21010	1
21020	1
21022	1
21059	1
21078	1
21087	1
21096	1
21146	2
21147	1
21183	1
21190	1
21203	1
21220	1
21240	1
21244	2
21254	1
21272	1
21276	1
21286	1
21287	1
21298	1
21323	1
21326	1
21380	2
21389	1
21393	2
21394	1
21421	1
21427	1
21441	1
21466	1
21473	1
21498	1
21505	1
21535	1
21540	1
21542	1
21543	2
21556	1
21565	1
21574	1
21600	1
21602	1
21621	1
21633	1
21643	1
21649	1
21667	1
21685	1
21697	1
21703	1
21728	1
21735	1
21737	1
21738	1
21743	1
21748	1
21766	1
21770	1
21772	1
21774	1
21780	1
21817	1
21845	1
21863	1
21865	1
21873	1
21877	1
21915	1
21923	1
21926	1
21928	1
21931	1
21940	1
21945	1
21953	1
21958	2
21960	1
21962	1
21980	1
21986	1
21998	1
22012	1
22021	1
22023	1
22031	1
22065	1
22069	1
22072	1
22102	1
22113	1
22163	1
22171	1
22184	1
22200	1
22218	1
22226	1
22228	1
22233	1
22235	2
22246	1
22261	1
22269	1
22298	2
22301	1
22307	1
22343	1
22350	1
22352	1
22363	1
22366	1
22368	1
22376	1
22390	1
22400	1
22411	1
22414	1
22427	1
22430	1
22445	1
22450	1
22452	1
22463	1
22471	1
22497	2
22509	1
22523	1
22577	1
22581	1
22583	1
22610	1
22634	1
22645	1
22654	1
22663	1
22684	1
22697	1
22738	1
22739	1
22741	1
22761	1
22776	1
22783	1
22793	1
22794	1
22802	1
22803	1
22815	1
22850	2
22861	1
22874	1
22894	1
22901	1
22937	1
22938	1
22940	1
22950	1
22958	1
22963	1
22964	2
22967	1
23021	1
23034	1
23060	1
23124	1
23126	1
23167	1
23181	1
23214	1
23215	1
23244	1
23245	1
23262	1
23305	1
23340	1
23342	1
23355	1
23388	1
23400	1
23408	1
23454	1
23463	1
23478	1
23492	1
23580	1
23660	1
23748	1
23752	1
23763	1
23784	1
23785	1
23787	1
23801	1
23834	1
23840	1
23861	1
23867	1
23884	1
23887	1
23892	1
23911	1
23964	1
23973	1
24003	1
24004	1
24048	1
24057	1
24066	1
24079	1
24092	1
24102	1
24116	1
24123	1
24174	1
24200	1
24214	1
24230	1
24235	1
24245	1
24256	1
24266	2
24284	1
24386	1
24412	1
24473	1
24536	1
24569	1
24572	1
24597	1
24601	1
24603	1
24609	1
24614	1
24633	1
24650	1
24673	1
24698	1
24763	1
24774	1
24787	1
24794	1
24812	1
24821	1
24864	1
24922	1
24969	1
24970	1
25014	1
25016	1
25151	1
25179	1
25196	1
25216	1
25310	1
25328	1
25414	2
25464	1
25539	1
25542	1
25573	1
25590	1
25715	1
25743	1
25790	1
25816	1
25912	1
25923	1
25987	1
25988	1
26032	1
26034	1
26098	1
26187	1
26240	1
26245	1
26247	1
26259	1
26375	1
26393	1
26619	1
26659	1
26700	1
26736	1
26882	1
26943	1
26958	2
27137	1
27147	1
27182	1
27260	1
27480	1
27490	1
27510	1
27655	1
27699	1
27716	1
27729	1
27844	1
27876	1
28033	1
28113	1
28129	1
28432	1
28779	1
28846	1
29107	1
29139	1
29171	1
29173	1
29201	1
29206	1
29219	1
29305	1
29325	1
29344	1
30168	1
30177	1
30320	1
30346	1
30714	1
30875	1
30926	1
