phred	base_count
1	2804
2	487266
3	18325358
4	30878155
5	28035524
6	26870286
7	26718880
8	27283876
9	28221981
10	29505368
11	31122409
12	33051780
13	35243325
14	37656283
15	40240055
16	42995418
17	45918484
18	49197555
19	52872341
20	57105472
21	61634314
22	66374831
23	71514532
24	76901009
25	82295837
26	87410924
27	92283739
28	96407076
29	101171411
30	107498922
31	113816714
32	120250388
33	126038536
34	132805194
35	140734540
36	150234134
37	157875937
38	166816651
39	176507621
40	185853787
41	194225205
42	201088565
43	206284427
44	208875603
45	212386658
46	217163048
47	227882101
48	239487896
49	247698971
50	259600296
51	269998003
52	275257209
53	273634178
54	270409081
55	269702080
56	271636479
57	277046845
58	282854902
59	291417495
60	302321674
61	309933742
62	315037846
63	320014890
64	318354163
65	312909769
66	303780438
67	294198590
68	286992014
69	284761850
70	284481505
71	288093361
72	293586070
73	300023897
74	306414498
75	311880205
76	312456311
77	310488703
78	307017241
79	299143308
80	290510721
81	283044178
82	277891958
83	272157035
84	268218172
85	265200364
86	263605773
87	262855880
88	263121893
89	263822028
90	263769058
91	263923401
92	261648038
93	15751693290
