length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	19	45	1
0	24	40	1
0	24	90	1
0	25	20	1
0	25	60	1
0	25	90	2
0	26	90	1
0	27	65	1
0	27	90	2
0	28	20	1
0	28	30	1
0	28	80	1
0	28	90	2
0	29	20	1
0	29	25	1
0	29	30	2
0	29	65	1
0	29	70	1
0	29	75	1
0	29	80	2
0	29	85	1
0	29	90	4
0	30	20	1
0	30	35	2
0	30	50	1
0	30	55	1
0	30	75	1
0	30	90	9
0	31	20	1
0	31	25	1
0	31	30	2
0	31	70	1
0	31	80	2
0	31	90	8
0	32	20	3
0	32	25	2
0	32	30	2
0	32	35	2
0	32	45	1
0	32	50	3
0	32	55	1
0	32	65	1
0	32	70	1
0	32	75	1
0	32	90	13
0	33	20	1
0	33	35	1
0	33	40	2
0	33	45	5
0	33	50	1
0	33	60	2
0	33	65	1
0	33	75	4
0	33	80	1
0	33	85	1
0	33	90	18
0	34	20	1
0	34	25	1
0	34	30	3
0	34	45	2
0	34	50	2
0	34	55	1
0	34	60	1
0	34	65	1
0	34	70	2
0	34	75	1
0	34	90	21
0	35	20	2
0	35	25	4
0	35	30	2
0	35	35	4
0	35	40	1
0	35	45	1
0	35	50	1
0	35	60	5
0	35	65	2
0	35	70	3
0	35	80	2
0	35	85	2
0	35	90	37
0	36	20	1
0	36	25	1
0	36	30	5
0	36	35	3
0	36	40	3
0	36	50	2
0	36	55	1
0	36	60	2
0	36	65	2
0	36	70	1
0	36	75	2
0	36	80	1
0	36	85	2
0	36	90	30
0	37	25	4
0	37	30	9
0	37	35	2
0	37	40	5
0	37	45	3
0	37	50	2
0	37	55	1
0	37	60	3
0	37	65	1
0	37	70	3
0	37	80	4
0	37	90	29
0	38	20	2
0	38	25	4
0	38	30	5
0	38	35	1
0	38	40	1
0	38	45	1
0	38	50	1
0	38	55	2
0	38	65	2
0	38	80	1
0	38	85	3
0	38	90	35
0	39	20	2
0	39	25	2
0	39	30	3
0	39	35	2
0	39	40	3
0	39	45	4
0	39	50	2
0	39	55	1
0	39	60	1
0	39	65	3
0	39	70	2
0	39	75	1
0	39	80	1
0	39	85	3
0	39	90	34
0	40	20	1
0	40	25	1
0	40	30	4
0	40	40	3
0	40	45	3
0	40	50	3
0	40	55	2
0	40	70	1
0	40	75	1
0	40	80	1
0	40	85	2
0	40	90	35
0	41	20	2
0	41	30	2
0	41	35	1
0	41	40	1
0	41	45	1
0	41	50	1
0	41	55	3
0	41	60	1
0	41	65	3
0	41	70	2
0	41	80	2
0	41	85	3
0	41	90	32
0	42	20	2
0	42	25	5
0	42	30	4
0	42	35	2
0	42	40	2
0	42	45	1
0	42	50	2
0	42	55	2
0	42	60	1
0	42	65	2
0	42	70	1
0	42	75	1
0	42	85	1
0	42	90	32
0	43	20	1
0	43	25	6
0	43	30	7
0	43	35	5
0	43	40	2
0	43	45	1
0	43	75	2
0	43	85	3
0	43	90	23
0	44	20	1
0	44	30	3
0	44	35	5
0	44	40	2
0	44	45	3
0	44	50	1
0	44	55	1
0	44	65	1
0	44	70	1
0	44	85	3
0	44	90	29
0	45	20	2
0	45	25	1
0	45	30	3
0	45	35	1
0	45	45	2
0	45	50	2
0	45	55	1
0	45	65	1
0	45	75	2
0	45	80	1
0	45	85	2
0	45	90	10
0	46	20	2
0	46	25	2
0	46	30	1
0	46	35	4
0	46	55	1
0	46	60	1
0	46	65	2
0	46	70	1
0	46	80	2
0	46	85	2
0	46	90	10
0	47	20	1
0	47	25	1
0	47	40	1
0	47	50	2
0	47	55	3
0	47	60	1
0	47	70	1
0	47	85	2
0	47	90	14
0	48	30	2
0	48	35	1
0	48	40	1
0	48	75	1
0	48	85	1
0	48	90	14
0	49	20	1
0	49	30	2
0	49	35	2
0	49	45	1
0	49	70	1
0	49	80	4
0	49	85	1
0	49	90	16
0	50	25	1
0	50	30	3
0	50	40	1
0	50	45	1
0	50	50	1
0	50	55	1
0	50	65	1
0	50	80	1
0	50	90	9
0	51	30	1
0	51	40	1
0	51	55	1
0	51	60	1
0	51	80	1
0	51	90	15
0	52	30	1
0	52	35	1
0	52	45	1
0	52	50	1
0	52	65	1
0	52	80	2
0	52	85	1
0	52	90	8
0	53	30	1
0	53	45	2
0	53	75	2
0	53	85	1
0	53	90	10
0	54	25	3
0	54	30	2
0	54	50	2
0	54	60	1
0	54	75	1
0	54	85	1
0	54	90	5
0	55	20	1
0	55	30	3
0	55	40	1
0	55	70	1
0	55	90	7
0	56	30	1
0	56	45	1
0	56	50	1
0	56	55	1
0	56	85	1
0	56	90	4
0	57	30	2
0	57	35	1
0	57	45	1
0	57	55	1
0	57	65	1
0	57	75	1
0	57	90	7
0	58	30	1
0	58	35	1
0	58	80	1
0	58	90	7
0	59	25	1
0	59	55	1
0	59	60	1
0	59	65	1
0	59	80	1
0	59	90	1
0	60	20	2
0	60	30	2
0	60	35	1
0	60	40	1
0	60	60	1
0	60	85	1
0	60	90	6
0	61	20	1
0	61	25	1
0	61	40	1
0	61	45	1
0	61	90	1
0	62	35	1
0	62	50	1
0	62	80	1
0	62	90	2
0	63	30	1
0	63	45	1
0	63	90	2
