length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	35	90	1
0	40	70	1
0	44	70	1
0	45	30	1
1	37	80	1
1	39	90	1
1	42	25	1
1	44	90	1
1	45	75	1
1	46	90	1
1	48	90	1
2	37	90	1
2	43	65	1
2	44	35	1
2	47	30	1
2	49	50	1
2	51	70	1
2	52	70	1
2	55	40	1
2	55	75	1
3	34	25	1
3	35	40	1
3	37	25	1
3	39	40	1
3	42	90	1
3	44	40	1
3	45	40	1
3	47	35	1
3	49	40	1
3	50	40	1
3	52	45	1
3	52	90	1
4	35	50	1
4	36	70	1
4	36	90	1
4	37	30	1
4	38	35	1
4	41	85	1
4	42	35	1
4	44	25	1
4	44	40	1
4	44	60	1
4	45	25	1
4	49	55	1
4	53	20	1
5	32	20	1
5	39	25	1
5	39	45	1
5	39	75	1
5	40	90	1
5	43	25	1
5	43	30	1
5	43	35	1
5	43	55	1
5	45	20	1
5	45	50	1
5	47	25	1
5	48	40	1
5	48	80	1
5	49	35	1
6	32	60	1
6	39	40	1
6	39	60	1
6	40	40	1
6	41	40	1
6	41	45	1
6	42	40	1
6	44	35	1
6	45	40	1
6	46	60	1
6	47	35	1
6	52	35	1
6	55	60	1
7	36	40	1
7	37	35	1
7	38	25	1
7	38	35	1
7	39	50	1
7	41	25	1
7	41	30	1
7	42	40	1
7	42	55	1
7	43	45	1
7	44	20	1
7	48	20	1
7	48	30	1
8	35	55	1
8	36	30	1
8	38	25	1
8	38	35	1
8	38	45	1
8	40	25	1
8	40	30	1
8	42	25	1
8	42	40	1
8	42	75	1
8	43	40	1
8	43	60	1
8	45	90	1
8	48	25	1
8	48	40	1
8	49	25	1
9	33	40	1
9	37	50	1
9	38	20	1
9	39	20	1
9	40	25	2
9	40	35	1
9	40	50	1
9	40	60	1
9	40	65	1
9	41	35	1
9	41	40	1
9	42	25	1
9	43	25	1
9	43	30	1
9	43	40	2
9	44	20	1
9	44	30	1
9	45	20	1
9	45	30	1
9	48	30	1
9	49	20	1
9	56	45	1
10	30	35	1
