length_bp	read_count
553	1
765	1
773	1
950	1
1001	1
1115	1
1300	1
1391	1
1791	1
1805	1
1848	1
2075	1
2197	1
2414	1
2449	1
2457	1
2491	1
2533	1
2860	1
2930	1
3111	1
3205	1
3266	1
3289	1
3293	1
3313	1
3360	1
3453	1
3477	1
3493	1
3948	1
3965	1
4133	1
4155	1
4253	1
4523	1
4562	1
4646	1
4717	1
4736	1
4739	1
4755	1
4782	1
4906	1
4929	1
5018	1
5060	1
5081	1
5150	1
5182	1
5202	1
5253	1
5277	1
5293	1
5301	1
5322	1
5324	1
5703	1
5804	1
5834	1
6040	1
6050	1
6196	1
6246	1
6251	1
6259	1
6319	1
6345	1
6354	1
6461	1
6465	1
6514	1
6770	1
7023	1
7249	1
7281	1
7400	1
7549	1
7673	1
7687	1
7692	1
7763	1
7806	2
7850	1
7910	1
8000	1
8021	1
8028	1
8243	1
8284	1
8367	1
8432	1
8478	1
8531	1
8641	1
8705	1
8722	1
8786	1
8804	1
8826	1
8838	1
9000	1
9026	1
9062	1
9205	1
9248	1
9309	1
9442	1
9491	1
9516	1
9519	1
9542	1
9625	1
9658	2
9716	1
9734	1
9747	1
9764	2
9767	1
9807	1
9829	1
9836	1
9843	1
10029	1
10122	1
10190	1
10199	1
10211	1
10259	1
10298	1
10313	1
10339	1
10348	1
10350	1
10366	1
10395	1
10399	1
10409	1
10447	1
10449	1
10491	1
10495	1
10512	1
10553	1
10576	1
10598	1
10601	1
10674	1
10682	1
10689	1
10690	1
10737	1
10738	1
10758	1
10759	1
10776	1
10782	1
10786	1
10813	1
10834	1
10848	1
10865	1
10878	1
10922	1
10927	1
10931	1
10944	1
10945	1
10951	1
10963	1
10966	1
10976	1
10993	1
11037	1
11041	1
11070	1
11093	1
11099	1
11135	1
11137	1
11154	1
11157	1
11165	2
11166	1
11173	1
11196	2
11204	1
11220	1
11239	1
11248	1
11255	1
11272	1
11281	1
11288	1
11292	1
11293	1
11294	2
11298	1
11303	2
11313	1
11317	1
11323	2
11328	2
11343	2
11351	1
11356	1
11358	1
11360	2
11362	1
11377	1
11379	1
11380	2
11395	1
11400	1
11423	1
11440	1
11458	1
11459	1
11480	1
11481	1
11482	1
11483	1
11489	1
11490	2
11497	1
11503	1
11508	1
11512	1
11522	1
11523	1
11529	1
11533	1
11536	1
11538	1
11542	1
11545	1
11561	1
11562	1
11563	1
11564	1
11565	1
11578	1
11579	2
11586	1
11590	1
11594	1
11596	1
11597	1
11599	1
11601	2
11608	1
11611	1
11617	1
11627	1
11631	1
11633	1
11641	1
11643	1
11646	1
11648	1
11650	1
11655	1
11658	1
11660	1
11661	1
11669	1
11672	1
11673	1
11674	1
11686	1
11688	1
11689	1
11694	1
11698	1
11704	1
11705	1
11706	1
11715	2
11718	1
11722	1
11724	1
11728	1
11731	1
11738	1
11743	1
11744	1
11751	1
11752	1
11757	2
11766	1
11770	1
11771	1
11773	1
11779	1
11784	1
11788	2
11796	1
11797	1
11801	1
11803	1
11811	1
11813	1
11815	1
11817	1
11821	1
11825	2
11828	2
11830	1
11833	1
11836	1
11839	1
11843	1
11844	1
11851	1
11852	1
11853	1
11857	1
11860	1
11863	1
11867	1
11875	1
11877	1
11880	1
11884	1
11888	3
11889	1
11891	1
11893	1
11902	1
11908	2
11913	1
11914	2
11915	1
11916	1
11922	1
11924	2
11927	1
11931	1
11936	1
11937	1
11938	2
11943	2
11945	2
11953	1
11957	1
11968	1
11970	1
11972	1
11978	1
11979	1
11982	1
11988	1
12001	1
12002	1
12004	1
12005	2
12006	1
12008	1
12011	1
12013	1
12015	2
12023	1
12029	1
12030	1
12031	1
12034	1
12035	1
12039	1
12040	1
12043	1
12049	1
12055	1
12058	1
12059	1
12064	1
12068	1
12069	1
12072	1
12073	1
12078	1
12079	1
12080	2
12082	1
12084	1
12085	1
12087	2
12088	1
12102	1
12103	1
12107	1
12111	2
12112	1
12114	1
12119	1
12134	1
12137	1
12139	1
12140	1
12141	1
12145	1
12146	1
12147	1
12150	1
12154	2
12155	1
12157	1
12160	1
12172	1
12178	1
12184	1
12185	1
12194	1
12196	1
12199	1
12200	1
12202	2
12205	2
12210	1
12212	2
12213	1
12217	1
12223	2
12227	1
12228	2
12230	1
12231	1
12236	1
12239	2
12240	2
12241	1
12242	1
12244	2
12245	1
12250	2
12253	1
12257	3
12264	1
12265	2
12266	2
12270	1
12273	1
12275	2
12277	1
12283	1
12285	1
12288	1
12291	1
12297	1
12305	2
12309	2
12311	1
12314	1
12315	1
12318	1
12320	1
12322	1
12327	1
12329	1
12330	1
12331	2
12337	1
12339	1
12343	1
12348	1
12350	1
12351	1
12352	3
12353	1
12354	1
12356	2
12357	1
12359	2
12361	1
12370	2
12372	1
12378	1
12379	2
12380	2
12381	3
12383	1
12388	2
12390	1
12391	2
12394	2
12395	1
12396	1
12398	1
12402	1
12403	1
12415	1
12417	1
12418	1
12421	2
12423	1
12426	1
12427	1
12428	1
12432	1
12434	1
12438	1
12441	1
12442	1
12443	1
12444	1
12446	1
12449	1
12450	1
12452	1
12453	1
12454	1
12456	1
12457	1
12459	1
12460	2
12468	2
12469	1
12475	1
12477	2
12480	1
12481	2
12483	1
12486	1
12492	1
12496	1
12497	1
12506	1
12507	1
12508	1
12509	1
12514	1
12518	2
12523	2
12524	2
12529	1
12531	1
12533	1
12539	1
12542	1
12543	1
12544	1
12549	1
12553	1
12556	1
12557	1
12558	1
12559	1
12562	1
12563	1
12564	1
12569	2
12582	1
12589	1
12593	1
12596	1
12597	1
12598	2
12599	1
12603	1
12605	3
12606	1
12609	1
12610	1
12612	1
12615	1
12618	1
12619	1
12621	1
12622	1
12623	1
12629	1
12630	2
12631	1
12632	1
12633	2
12635	1
12638	1
12640	1
12641	1
12642	1
12644	1
12645	1
12648	1
12651	1
12652	2
12653	3
12659	2
12660	2
12661	1
12662	1
12663	1
12664	1
12671	1
12673	4
12674	1
12675	2
12676	1
12683	2
12686	1
12689	1
12690	1
12694	1
12696	1
12697	1
12704	1
12714	1
12722	1
12723	1
12726	1
12727	2
12729	1
12730	1
12738	1
12740	3
12745	1
12750	1
12751	1
12754	1
12756	1
12758	1
12759	1
12760	5
12768	1
12769	1
12770	1
12771	1
12773	2
12774	1
12775	1
12777	3
12779	1
12782	1
12783	1
12786	2
12796	1
12798	1
12801	1
12806	1
12810	1
12812	1
12813	1
12814	1
12816	1
12817	1
12818	2
12820	1
12821	1
12822	1
12828	1
12829	1
12831	1
12832	1
12837	2
12838	2
12839	1
12840	1
12844	2
12847	1
12848	1
12849	2
12850	1
12855	1
12856	2
12858	2
12859	1
12861	1
12865	1
12866	1
12875	1
12876	1
12877	1
12879	1
12885	1
12889	1
12890	1
12891	1
12893	1
12896	1
12897	1
12899	1
12901	2
12905	1
12907	1
12910	1
12911	1
12912	1
12917	2
12918	2
12919	1
12921	1
12925	1
12928	1
12929	1
12933	1
12935	1
12938	2
12942	1
12943	1
12952	1
12954	2
12955	1
12956	1
12957	1
12962	1
12963	1
12965	1
12969	1
12970	2
12975	2
12977	1
12979	1
12981	1
12984	1
12985	1
12991	1
12994	1
12997	1
13001	1
13006	1
13008	2
13010	1
13014	1
13015	2
13016	3
13017	2
13019	1
13021	1
13022	1
13031	1
13033	2
13035	1
13036	1
13040	1
13043	1
13045	2
13047	1
13050	1
13051	1
13056	2
13058	1
13059	1
13062	1
13063	1
13064	1
13065	1
13074	1
13075	1
13076	1
13079	2
