prediction_index	read_id	start	end	period	matched_truth_index	truth_family_id	iou	status
0	chr_sim	138875	142208	61	NA	NA	0.0	unmatched
1	chr_sim	278861	282194	61	NA	NA	0.0	unmatched
2	chr_sim	419958	423291	61	NA	NA	0.0	unmatched
3	chr_sim	559944	563277	61	NA	NA	0.0	unmatched
4	chr_sim	701041	704374	61	NA	NA	0.0	unmatched
5	chr_sim	841027	844360	61	NA	NA	0.0	unmatched
6	chr_sim	982124	988790	61	6	f007	0.7320732073207321	matched
7	chr_sim	1125443	1133220	61	7	f008	0.6274913205606275	matched
8	chr_sim	1269873	1276539	61	8	f009	0.7320732073207321	matched
9	chr_sim	1414303	1420969	61	9	f010	0.7320732073207321	matched
10	chr_sim	1558733	1565399	61	10	f011	0.7263755980861244	matched
11	chr_sim	1702052	1708718	61	11	f012	0.7320732073207321	matched
12	chr_sim	1846482	1860925	61	12	f013	0.8446998546008447	matched
13	chr_sim	1997578	2012021	61	13	f014	0.8446998546008447	matched
14	chr_sim	2149785	2163117	61	14	f015	0.9150915091509151	matched
15	chr_sim	2300881	2315324	61	15	f016	0.8446998546008447	matched
16	chr_sim	2451977	2466420	61	16	f017	0.8446998546008447	matched
17	chr_sim	2604184	2617516	61	17	f018	0.9150915091509151	matched
18	chr_sim	2755280	2760835	171	18	f019	0.6156615661566157	matched
19	chr_sim	2898599	2903043	171	19	f020	0.7084510102107321	matched
20	chr_sim	3040807	3046362	171	20	f021	0.6156615661566157	matched
21	chr_sim	3183015	3188570	171	21	f022	0.6156615661566157	matched
22	chr_sim	3326334	3331889	171	22	f023	0.6156615661566157	matched
23	chr_sim	3468542	3474097	171	23	f024	0.6156615661566157	matched
24	chr_sim	3611861	3627415	171	24	f025	0.8775850995504175	matched
25	chr_sim	3764068	3779622	171	25	f026	0.8795165230808795	matched
26	chr_sim	3917386	3932940	171	26	f027	0.8795165230808795	matched
27	chr_sim	4070704	4086258	171	27	f028	0.8751763951250802	matched
28	chr_sim	4222911	4238465	171	28	f029	0.8795165230808795	matched
29	chr_sim	4376229	4391783	171	29	f030	0.8795165230808795	matched
30	chr_sim	4529547	4565099	171	30	f031	0.9588856436755785	matched
31	chr_sim	4702863	4738415	171	31	f032	0.961971197119712	matched
32	chr_sim	4876179	4911731	171	32	f033	0.961971197119712	matched
33	chr_sim	5049495	5085047	171	33	f034	0.961971197119712	matched
34	chr_sim	5222811	5259474	171	34	f035	0.932820554782751	matched
35	chr_sim	5396127	5432790	171	35	f036	0.932820554782751	matched
36	chr_sim	5570554	5579442	421	36	f037	0.8843767011431682	matched
37	chr_sim	5718317	5727205	421	37	f038	0.8677026006258768	matched
38	chr_sim	5866080	5874968	421	38	f039	0.851320996898064	matched
39	chr_sim	6013843	6022731	421	39	f040	0.8352242604177712	matched
40	chr_sim	6160495	6170494	421	40	f041	0.8420842084208421	matched
41	chr_sim	6308258	6318257	421	41	f042	0.8420842084208421	matched
42	chr_sim	6456021	6491573	421	42	f043	0.9473447344734474	matched
43	chr_sim	6629337	6663778	421	43	f044	0.9746362107948287	matched
44	chr_sim	6802653	6837094	421	44	f045	0.9533463325113265	matched
45	chr_sim	6974858	7010410	421	45	f046	0.9473447344734474	matched
46	chr_sim	7148174	7182615	421	46	f047	0.9736636245110821	matched
47	chr_sim	7321490	7355931	421	47	f048	0.9523946003267318	matched
48	chr_sim	7493695	7579242	421	48	f049	0.9842542695828025	matched
49	chr_sim	7717006	7802553	421	49	f050	0.9842542695828025	matched
50	chr_sim	7940317	8025864	421	50	f051	0.9842542695828025	matched
51	chr_sim	8164739	8249175	421	51	f052	0.9882803749336792	matched
52	chr_sim	8388050	8473597	421	52	f053	0.978933746808585	matched
53	chr_sim	8611361	8696908	421	53	f054	0.98237725977484	matched
54	chr_sim	8834672	9862347	171	54	megabase_171	0.9983701072809984	matched
