prediction_index	read_id	start	end	period	matched_truth_index	truth_family_id	iou	status
0	chr_sim	139259	140483	61	0	f001	0.9967320261437909	matched
1	chr_sim	279746	280964	61	1	f002	0.9950900163666121	matched
2	chr_sim	420220	421446	61	2	f003	0.9951060358890701	matched
3	chr_sim	560703	561903	61	3	f004	0.9819819819819819	matched
4	chr_sim	701184	702406	61	4	f005	0.9983633387888707	matched
5	chr_sim	841667	842888	61	5	f006	0.997545008183306	matched
6	chr_sim	982155	987029	61	6	f007	0.9979516591560835	matched
7	chr_sim	1126292	1131169	61	7	f008	0.9989756197500512	matched
8	chr_sim	1270427	1275311	61	8	f009	0.9991809991809992	matched
9	chr_sim	1414568	1419452	61	9	f010	0.9991809991809992	matched
10	chr_sim	1558716	1563593	61	10	f011	0.9985661614092585	matched
11	chr_sim	1702850	1707735	61	11	f012	0.9989764585465711	matched
12	chr_sim	1846991	1859195	61	12	f013	0.9996722386102918	matched
13	chr_sim	1998452	2010656	61	13	f014	0.9996722386102918	matched
14	chr_sim	2149913	2162110	61	14	f015	0.9994263235535158	matched
15	chr_sim	2301373	2313565	61	15	f016	0.9988527411292305	matched
16	chr_sim	2452835	2465040	61	16	f017	0.9995903318312167	matched
17	chr_sim	2604304	2616502	61	17	f018	0.9991805965257292	matched
18	chr_sim	2755757	2759181	171	18	f019	0.9988317757009346	matched
19	chr_sim	2898438	2901864	171	19	f020	0.9982486865148862	matched
20	chr_sim	3041119	3044543	171	20	f021	0.9988317757009346	matched
21	chr_sim	3183800	3187222	171	21	f022	0.9994155464640561	matched
22	chr_sim	3326481	3329905	171	22	f023	0.9988317757009346	matched
23	chr_sim	3469162	3472586	171	23	f024	0.9988317757009346	matched
24	chr_sim	3611843	3625527	171	24	f025	0.9997076878105817	matched
25	chr_sim	3764784	3778468	171	25	f026	0.9997076878105817	matched
26	chr_sim	3917725	3931409	171	26	f027	0.9997076878105817	matched
27	chr_sim	4070674	4084350	171	27	f028	0.9994152901622569	matched
28	chr_sim	4223606	4237291	171	28	f029	0.999634636463281	matched
29	chr_sim	4376556	4390233	171	29	f030	0.9993422495066872	matched
30	chr_sim	4529489	4563693	171	30	f031	0.9998830546134955	matched
31	chr_sim	4702950	4737154	171	31	f032	0.9998830546134955	matched
32	chr_sim	4876410	4910615	171	32	f033	0.9998538225405642	matched
33	chr_sim	5049871	5084076	171	33	f034	0.9998538225405642	matched
34	chr_sim	5223333	5257534	171	34	f035	0.9999122858312379	matched
35	chr_sim	5396791	5430998	171	35	f036	0.9997953635220861	matched
36	chr_sim	5570255	5578681	421	36	f037	0.9992879183479706	matched
37	chr_sim	5717936	5726360	421	37	f038	0.9995251661918328	matched
38	chr_sim	5865617	5874042	421	38	f039	0.9994065281899109	matched
39	chr_sim	6013314	6021721	421	39	f040	0.9982187388671179	matched
40	chr_sim	6160978	6169402	421	40	f041	0.9995251661918328	matched
41	chr_sim	6308658	6317083	421	41	f042	0.9994065281899109	matched
42	chr_sim	6456338	6490022	421	42	f043	0.9998812492578079	matched
43	chr_sim	6629287	6662963	421	43	f044	0.9997031143306713	matched
44	chr_sim	6802218	6835902	421	44	f045	0.9998812492578079	matched
45	chr_sim	6975158	7008844	421	45	f046	0.999821884462388	matched
46	chr_sim	7148098	7181782	421	46	f047	0.9998812492578079	matched
47	chr_sim	7321038	7354716	421	47	f048	0.9998218633097797	matched
48	chr_sim	7493956	7578182	421	48	f049	0.9996913067223898	matched
49	chr_sim	7717447	7801642	421	49	f050	0.9998931141778105	matched
50	chr_sim	7940898	8025102	421	50	f051	0.9999524963184647	matched
51	chr_sim	8164358	8248553	421	51	f052	0.9998931141778105	matched
52	chr_sim	8387818	8472022	421	52	f053	0.9999524963184647	matched
53	chr_sim	8611278	8695483	421	53	f054	0.9999406211032599	matched
54	chr_sim	8834747	9860742	171	54	megabase_171	0.9999912280872747	matched
