prediction_index	read_id	start	end	period	matched_truth_index	truth_family_id	iou	status
0	chr_sim	981999	986999	70	NA	NA	0.0	unmatched
1	chr_sim	1125999	1131999	62	7	f008	0.8133333333333334	matched
2	chr_sim	1269999	1275999	70	NA	NA	0.0	unmatched
3	chr_sim	1413999	1419999	62	9	f010	0.8133333333333334	matched
4	chr_sim	1557999	1563999	70	NA	NA	0.0	unmatched
5	chr_sim	1701999	1707999	62	11	f012	0.8133333333333334	matched
6	chr_sim	1846999	1859999	70	NA	NA	0.0	unmatched
7	chr_sim	1997999	2010999	61	13	f014	0.9384615384615385	matched
8	chr_sim	2149999	2162999	70	NA	NA	0.0	unmatched
9	chr_sim	2300999	2313999	62	15	f016	0.9384615384615385	matched
10	chr_sim	2451999	2464999	70	NA	NA	0.0	unmatched
11	chr_sim	2603999	2616999	62	17	f018	0.9384615384615385	matched
12	chr_sim	2754999	2758999	180	NA	NA	0.0	unmatched
13	chr_sim	2897999	2901999	171	19	f020	0.855	matched
14	chr_sim	3040999	3044999	180	NA	NA	0.0	unmatched
15	chr_sim	3183999	3187999	172	21	f022	0.7679294734334048	matched
16	chr_sim	3325999	3329999	180	NA	NA	0.0	unmatched
17	chr_sim	3468999	3472999	172	23	f024	0.855	matched
18	chr_sim	3611999	3625999	180	NA	NA	0.0	unmatched
19	chr_sim	3764999	3778999	172	25	f026	0.9475128403574192	matched
20	chr_sim	3916999	3931999	180	NA	NA	0.0	unmatched
21	chr_sim	4069999	4084999	172	27	f028	0.912	matched
22	chr_sim	4222999	4237999	180	NA	NA	0.0	unmatched
23	chr_sim	4375999	4390999	172	29	f030	0.912	matched
24	chr_sim	4528999	4563999	171	30	f031	0.9771428571428571	matched
25	chr_sim	4702999	4736999	172	31	f032	0.9941520467836257	matched
26	chr_sim	4875999	4910999	180	NA	NA	0.0	unmatched
27	chr_sim	5049999	5083999	172	33	f034	0.9941520467836257	matched
28	chr_sim	5222999	5257999	180	NA	NA	0.0	unmatched
29	chr_sim	5396999	5430999	171	35	f036	0.9939771365084934	matched
30	chr_sim	5569999	5578999	450	NA	NA	0.0	unmatched
31	chr_sim	5717999	5725999	450	NA	NA	0.0	unmatched
32	chr_sim	5865999	5873999	450	NA	NA	0.0	unmatched
33	chr_sim	6012999	6021999	450	NA	NA	0.0	unmatched
34	chr_sim	6160999	6168999	421	40	f041	0.9501187648456056	matched
35	chr_sim	6308999	6316999	421	41	f042	0.9501187648456056	matched
36	chr_sim	6455999	6489999	450	NA	NA	0.0	unmatched
37	chr_sim	6628999	6662999	421	43	f044	0.9905882352941177	matched
38	chr_sim	6801999	6835999	421	44	f045	0.9905882352941177	matched
39	chr_sim	6974999	7008999	421	45	f046	0.9905882352941177	matched
40	chr_sim	7147999	7181999	450	NA	NA	0.0	unmatched
41	chr_sim	7320999	7354999	421	47	f048	0.9905882352941177	matched
42	chr_sim	7493999	7577999	450	NA	NA	0.0	unmatched
43	chr_sim	7716999	7801999	421	49	f050	0.9905882352941177	matched
44	chr_sim	7940999	8024999	450	NA	NA	0.0	unmatched
45	chr_sim	8163999	8248999	421	51	f052	0.9905882352941177	matched
46	chr_sim	8387999	8471999	450	NA	NA	0.0	unmatched
47	chr_sim	8610999	8695999	421	53	f054	0.9905882352941177	matched
48	chr_sim	8833999	9860999	171	54	megabase_171	0.9990262901655307	matched
