prediction_index	read_id	start	end	period	matched_truth_index	truth_family_id	iou	status
0	chr_sim	982000	987000	70	NA	NA	0.0	unmatched
1	chr_sim	1126000	1132000	62	7	f008	0.8133333333333334	matched
2	chr_sim	1270000	1276000	70	NA	NA	0.0	unmatched
3	chr_sim	1414000	1420000	62	9	f010	0.8133333333333334	matched
4	chr_sim	1558000	1564000	70	NA	NA	0.0	unmatched
5	chr_sim	1702000	1708000	62	11	f012	0.8133333333333334	matched
6	chr_sim	1847000	1860000	70	NA	NA	0.0	unmatched
7	chr_sim	1998000	2011000	61	13	f014	0.9384615384615385	matched
8	chr_sim	2150000	2163000	70	NA	NA	0.0	unmatched
9	chr_sim	2301000	2314000	62	15	f016	0.9384615384615385	matched
10	chr_sim	2452000	2465000	70	NA	NA	0.0	unmatched
11	chr_sim	2604000	2617000	62	17	f018	0.9384615384615385	matched
12	chr_sim	2755000	2759000	180	NA	NA	0.0	unmatched
13	chr_sim	2898000	2902000	171	19	f020	0.855	matched
14	chr_sim	3041000	3045000	180	NA	NA	0.0	unmatched
15	chr_sim	3184000	3188000	172	21	f022	0.7675083373034779	matched
16	chr_sim	3326000	3330000	180	NA	NA	0.0	unmatched
17	chr_sim	3469000	3473000	172	23	f024	0.855	matched
18	chr_sim	3612000	3626000	180	NA	NA	0.0	unmatched
19	chr_sim	3765000	3779000	172	25	f026	0.9473758266497819	matched
20	chr_sim	3917000	3932000	180	NA	NA	0.0	unmatched
21	chr_sim	4070000	4085000	172	27	f028	0.912	matched
22	chr_sim	4223000	4238000	180	NA	NA	0.0	unmatched
23	chr_sim	4376000	4391000	172	29	f030	0.912	matched
24	chr_sim	4529000	4564000	171	30	f031	0.9771428571428571	matched
25	chr_sim	4703000	4737000	172	31	f032	0.9941520467836257	matched
26	chr_sim	4876000	4911000	180	NA	NA	0.0	unmatched
27	chr_sim	5050000	5084000	172	33	f034	0.9941520467836257	matched
28	chr_sim	5223000	5258000	180	NA	NA	0.0	unmatched
29	chr_sim	5397000	5431000	171	35	f036	0.9939188399017659	matched
30	chr_sim	5570000	5579000	450	NA	NA	0.0	unmatched
31	chr_sim	5718000	5726000	450	NA	NA	0.0	unmatched
32	chr_sim	5866000	5874000	450	NA	NA	0.0	unmatched
33	chr_sim	6013000	6022000	450	NA	NA	0.0	unmatched
34	chr_sim	6161000	6169000	421	40	f041	0.9501187648456056	matched
35	chr_sim	6309000	6317000	421	41	f042	0.9501187648456056	matched
36	chr_sim	6456000	6490000	450	NA	NA	0.0	unmatched
37	chr_sim	6629000	6663000	421	43	f044	0.9905882352941177	matched
38	chr_sim	6802000	6836000	421	44	f045	0.9905882352941177	matched
39	chr_sim	6975000	7009000	421	45	f046	0.9905882352941177	matched
40	chr_sim	7148000	7182000	450	NA	NA	0.0	unmatched
41	chr_sim	7321000	7355000	421	47	f048	0.9905882352941177	matched
42	chr_sim	7494000	7578000	450	NA	NA	0.0	unmatched
43	chr_sim	7717000	7802000	421	49	f050	0.9905882352941177	matched
44	chr_sim	7941000	8025000	450	NA	NA	0.0	unmatched
45	chr_sim	8164000	8249000	421	51	f052	0.9905882352941177	matched
46	chr_sim	8388000	8472000	450	NA	NA	0.0	unmatched
47	chr_sim	8611000	8696000	421	53	f054	0.9905882352941177	matched
48	chr_sim	8834000	9861000	171	54	megabase_171	0.9990262901655307	matched
