Package	Version	Built	LibPath
ade4	1.7-24	4.4.3	/usr/local/lib/R/site-library
ape	5.8-1	4.4.3	/usr/local/lib/R/site-library
askpass	1.2.1	4.4.3	/usr/local/lib/R/site-library
BiocGenerics	0.52.0	4.4.3	/usr/local/lib/R/site-library
BiocManager	1.30.27	4.4.3	/usr/local/lib/R/site-library
BiocVersion	3.20.0	4.4.3	/usr/local/lib/R/site-library
Biostrings	2.74.1	4.4.3	/usr/local/lib/R/site-library
circlize	0.4.18	4.4.3	/usr/local/lib/R/site-library
cli	3.6.6	4.4.3	/usr/local/lib/R/site-library
colorspace	2.1-3	4.4.3	/usr/local/lib/R/site-library
crayon	1.5.3	4.4.3	/usr/local/lib/R/site-library
curl	8.0.0	4.4.3	/usr/local/lib/R/site-library
digest	0.6.39	4.4.3	/usr/local/lib/R/site-library
docopt	0.7.2	4.4.3	/usr/local/lib/R/site-library
doParallel	1.0.17	4.4.3	/usr/local/lib/R/site-library
foreach	1.5.2	4.4.3	/usr/local/lib/R/site-library
GenomeInfoDb	1.42.3	4.4.3	/usr/local/lib/R/site-library
GenomeInfoDbData	1.2.13	4.4.3	/usr/local/lib/R/site-library
getopt	1.21.1	4.4.3	/usr/local/lib/R/site-library
GlobalOptions	0.1.4	4.4.3	/usr/local/lib/R/site-library
glue	1.8.1	4.4.3	/usr/local/lib/R/site-library
httr	1.4.9	4.4.3	/usr/local/lib/R/site-library
IRanges	2.40.1	4.4.3	/usr/local/lib/R/site-library
iterators	1.0.14	4.4.3	/usr/local/lib/R/site-library
jsonlite	2.0.0	4.4.3	/usr/local/lib/R/site-library
lifecycle	1.0.5	4.4.3	/usr/local/lib/R/site-library
littler	0.3.21	4.4.3	/usr/local/lib/R/site-library
magrittr	2.0.5	4.4.3	/usr/local/lib/R/site-library
mime	0.13	4.4.3	/usr/local/lib/R/site-library
msa	1.38.0	4.4.3	/usr/local/lib/R/site-library
openssl	2.4.2	4.4.3	/usr/local/lib/R/site-library
pixmap	0.4-14	4.4.3	/usr/local/lib/R/site-library
pwalign	1.2.0	4.4.3	/usr/local/lib/R/site-library
R6	2.6.1	4.4.3	/usr/local/lib/R/site-library
Rcpp	1.1.2	4.4.3	/usr/local/lib/R/site-library
RcppArmadillo	15.4.2-1	4.4.3	/usr/local/lib/R/site-library
remotes	2.5.0	4.4.3	/usr/local/lib/R/site-library
rlang	1.3.0	4.4.3	/usr/local/lib/R/site-library
S4Vectors	0.44.0	4.4.3	/usr/local/lib/R/site-library
segmented	2.2-1	4.4.3	/usr/local/lib/R/site-library
seqinr	4.2-44	4.4.3	/usr/local/lib/R/site-library
shape	1.4.6.1	4.4.3	/usr/local/lib/R/site-library
sp	2.2-3	4.4.3	/usr/local/lib/R/site-library
stringdist	0.9.17	4.4.3	/usr/local/lib/R/site-library
stringi	1.8.9	4.4.3	/usr/local/lib/R/site-library
stringr	1.6.0	4.4.3	/usr/local/lib/R/site-library
sys	3.4.3	4.4.3	/usr/local/lib/R/site-library
UCSC.utils	1.2.0	4.4.3	/usr/local/lib/R/site-library
vctrs	0.7.3	4.4.3	/usr/local/lib/R/site-library
XVector	0.46.0	4.4.3	/usr/local/lib/R/site-library
zlibbioc	1.52.0	4.4.3	/usr/local/lib/R/site-library
base	4.4.3	4.4.3	/usr/local/lib/R/library
boot	1.3-31	4.4.3	/usr/local/lib/R/library
class	7.3-23	4.4.3	/usr/local/lib/R/library
cluster	2.1.8	4.4.3	/usr/local/lib/R/library
codetools	0.2-20	4.4.3	/usr/local/lib/R/library
compiler	4.4.3	4.4.3	/usr/local/lib/R/library
datasets	4.4.3	4.4.3	/usr/local/lib/R/library
foreign	0.8-88	4.4.3	/usr/local/lib/R/library
graphics	4.4.3	4.4.3	/usr/local/lib/R/library
grDevices	4.4.3	4.4.3	/usr/local/lib/R/library
grid	4.4.3	4.4.3	/usr/local/lib/R/library
KernSmooth	2.23-26	4.4.3	/usr/local/lib/R/library
lattice	0.22-6	4.4.3	/usr/local/lib/R/library
MASS	7.3-64	4.4.3	/usr/local/lib/R/library
Matrix	1.7-2	4.4.3	/usr/local/lib/R/library
methods	4.4.3	4.4.3	/usr/local/lib/R/library
mgcv	1.9-1	4.4.3	/usr/local/lib/R/library
nlme	3.1-167	4.4.3	/usr/local/lib/R/library
nnet	7.3-20	4.4.3	/usr/local/lib/R/library
parallel	4.4.3	4.4.3	/usr/local/lib/R/library
rpart	4.1.24	4.4.3	/usr/local/lib/R/library
spatial	7.3-18	4.4.3	/usr/local/lib/R/library
splines	4.4.3	4.4.3	/usr/local/lib/R/library
stats	4.4.3	4.4.3	/usr/local/lib/R/library
stats4	4.4.3	4.4.3	/usr/local/lib/R/library
survival	3.8-3	4.4.3	/usr/local/lib/R/library
tcltk	4.4.3	4.4.3	/usr/local/lib/R/library
tools	4.4.3	4.4.3	/usr/local/lib/R/library
utils	4.4.3	4.4.3	/usr/local/lib/R/library
