phred	base_count
1	490
2	119684
3	4642986
4	7846069
5	7118350
6	6804612
7	6754069
8	6892860
9	7114607
10	7438606
11	7857674
12	8349977
13	8913173
14	9506151
15	10152068
16	10852149
17	11552055
18	12353524
19	13253383
20	14259899
21	15318435
22	16444509
23	17707051
24	19084376
25	20448195
26	21741027
27	22992586
28	24162696
29	25462499
30	27012935
31	28798707
32	30658519
33	31927970
34	33584981
35	35233284
36	37082656
37	38823286
38	40766789
39	43087798
40	45460926
41	47770137
42	49859714
43	51841074
44	52759360
45	53758517
46	54769867
47	57062932
48	59369101
49	61423172
50	64176073
51	67310030
52	69242104
53	69813909
54	69264312
55	69450062
56	69842117
57	70955875
58	72753204
59	75398226
60	78616851
61	81469090
62	83914573
63	86299310
64	86935958
65	85768427
66	84047689
67	80550364
68	77459384
69	76289449
70	75359316
71	75643719
72	76876177
73	78627710
74	80847152
75	82894367
76	84327833
77	85210858
78	85021438
79	83370337
80	81292207
81	79157279
82	77587328
83	76345286
84	75100958
85	74137748
86	73381715
87	72911884
88	72648053
89	72485184
90	72252547
91	71970483
92	71290812
93	2821666295
