length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	19	90	1
0	35	60	1
0	43	20	2
0	43	90	3
0	44	25	1
0	44	50	1
0	44	55	1
0	44	65	1
0	44	90	13
0	45	25	1
0	45	30	1
0	45	90	2
0	46	90	5
0	47	40	1
0	47	90	1
0	50	90	1
0	60	90	1
0	66	90	1
0	67	90	1
1	32	90	1
1	34	70	1
1	36	45	1
1	37	30	1
1	37	90	2
1	39	70	1
1	39	90	3
1	40	30	1
1	40	90	2
1	41	25	1
1	41	50	3
1	42	20	1
1	42	90	1
1	43	30	2
1	43	90	1
1	45	30	1
1	45	90	2
1	46	25	1
1	46	45	1
1	46	50	1
1	47	20	1
1	47	35	1
1	47	40	1
1	47	90	1
1	48	90	2
1	50	55	2
1	53	35	2
1	56	35	1
1	68	35	1
2	35	35	1
2	35	40	1
2	36	20	1
2	37	35	1
2	40	35	1
2	40	50	1
2	42	60	1
2	43	50	1
2	43	60	1
2	43	90	1
2	47	20	1
2	48	40	1
2	50	25	2
2	53	90	1
2	55	35	1
2	56	40	1
3	36	70	1
3	39	25	1
3	39	45	1
3	39	90	2
3	40	25	1
3	40	40	1
3	43	30	1
3	44	20	1
3	45	20	2
3	46	40	1
3	47	50	1
3	48	70	1
3	50	20	1
3	52	90	1
4	34	70	1
4	35	35	1
4	36	20	1
4	36	30	1
4	36	35	1
4	36	45	1
4	38	20	1
4	40	30	1
4	41	20	1
4	42	30	1
4	42	40	1
4	43	20	1
4	43	45	1
4	43	75	1
4	45	40	1
4	48	70	1
4	49	25	1
4	50	20	1
4	50	40	1
4	52	80	1
4	54	75	1
5	36	35	1
5	38	35	1
5	39	35	1
5	40	60	1
5	42	30	1
5	42	40	1
5	43	35	1
5	44	35	1
5	44	45	1
5	45	35	1
5	48	20	1
5	51	35	1
5	51	50	1
5	55	45	1
6	38	25	3
6	39	35	1
6	40	25	1
6	40	45	1
6	40	60	1
6	41	20	1
6	41	30	1
6	41	40	1
6	42	25	1
6	42	60	1
6	45	35	1
6	45	60	1
6	47	30	1
7	35	20	1
7	37	25	1
7	38	35	1
7	40	30	1
7	40	35	1
7	40	40	1
7	41	30	1
7	41	40	1
7	42	20	1
7	43	25	2
7	43	40	2
7	45	25	2
7	45	30	2
7	45	55	1
7	46	20	2
7	46	30	1
7	46	35	2
7	47	20	1
7	47	35	2
7	48	40	1
7	49	35	1
7	49	60	1
7	50	20	1
7	50	35	2
7	51	30	1
7	52	40	1
7	56	35	1
8	37	30	1
8	38	20	1
8	38	35	1
8	38	45	1
8	39	20	1
8	39	25	2
8	40	20	1
8	40	25	2
8	40	35	1
8	40	60	1
8	41	35	1
8	41	45	1
8	42	35	2
8	43	20	2
8	43	40	1
8	43	45	1
8	44	20	1
8	44	25	2
8	44	30	1
8	44	40	1
8	44	45	1
8	45	25	2
8	45	30	1
8	45	35	2
8	45	40	1
8	46	30	4
8	46	35	1
8	46	40	1
8	46	55	1
8	47	20	1
8	47	25	2
8	47	30	1
8	48	25	1
8	48	30	1
8	48	40	1
8	49	25	2
8	50	30	1
8	50	55	1
8	51	40	1
8	53	25	1
8	57	30	1
8	58	25	1
8	58	60	1
9	35	40	1
9	36	30	1
9	36	40	1
9	37	20	1
9	37	30	2
9	37	40	1
9	37	45	2
9	37	50	1
9	38	30	1
9	38	35	3
9	38	45	1
9	38	55	1
9	39	25	1
9	39	35	3
9	39	45	1
9	39	50	1
9	39	70	1
9	39	85	1
9	40	20	4
9	40	25	2
9	40	30	3
9	41	20	1
9	41	25	1
9	41	30	1
9	41	35	5
9	41	40	2
9	41	50	1
9	41	70	1
9	42	20	1
9	42	25	1
9	42	30	3
9	42	35	1
9	42	40	3
9	43	20	3
9	43	25	3
9	43	30	1
9	43	35	1
9	44	20	1
9	44	25	3
9	44	30	3
9	44	40	4
9	44	45	1
9	45	20	1
9	45	30	2
9	45	40	2
9	46	20	5
9	46	25	1
9	46	30	1
9	46	35	2
9	46	40	2
9	46	45	1
9	47	20	1
9	47	25	1
9	47	30	2
9	47	35	2
9	48	20	1
9	48	25	1
9	48	35	2
9	48	40	2
9	48	45	2
9	49	20	1
9	49	25	1
9	49	35	1
9	49	40	1
9	52	35	1
9	52	40	1
9	54	25	1
9	54	35	1
9	55	35	1
9	56	30	1
9	56	40	1
9	57	25	2
10	34	35	1
10	36	25	2
10	36	40	1
10	37	40	2
10	38	20	3
10	38	25	1
10	38	30	2
10	38	35	4
10	38	40	1
10	38	50	1
10	39	20	3
10	39	25	2
10	39	30	4
10	39	35	5
10	39	45	1
10	39	50	1
10	40	20	2
10	40	25	2
10	40	30	1
10	40	35	3
10	40	40	2
10	41	20	5
10	41	25	2
10	41	30	3
10	41	35	1
10	41	40	2
10	41	45	1
10	41	55	1
10	42	20	2
10	42	25	6
10	42	30	7
10	42	35	4
10	42	40	1
10	42	45	1
10	42	50	1
10	43	20	3
10	43	25	4
10	43	30	3
10	43	35	3
10	43	40	2
10	43	45	1
10	44	20	1
10	44	25	3
10	44	30	3
10	44	35	2
10	44	40	2
10	44	45	1
10	44	50	2
10	44	55	1
10	45	20	5
10	45	25	4
10	45	30	4
10	45	35	3
10	45	40	2
10	45	55	1
10	46	25	1
10	46	30	4
10	46	35	4
10	46	40	2
10	47	20	1
10	47	25	4
10	47	30	3
10	47	35	3
10	47	40	1
10	48	25	3
10	48	30	1
10	48	35	2
10	48	40	1
10	49	20	2
10	49	25	3
10	49	30	3
10	50	20	1
10	50	30	3
10	51	25	2
10	51	30	2
10	51	35	2
10	52	20	2
10	52	30	1
10	52	35	1
10	53	20	2
10	53	25	1
10	53	40	1
10	54	20	1
10	54	25	1
10	55	20	1
10	55	25	1
10	58	25	1
10	58	30	1
10	60	40	1
11	33	40	1
11	35	45	1
11	36	30	1
11	36	35	2
11	37	20	1
11	37	25	2
11	37	30	1
11	37	35	1
11	37	40	1
11	38	20	2
11	38	25	1
11	38	30	2
11	38	35	2
11	38	40	1
11	38	55	1
11	39	20	1
11	39	25	2
11	39	30	2
11	39	35	9
11	39	40	3
11	39	45	1
11	40	20	2
11	40	25	3
11	40	30	5
11	40	35	1
11	40	40	4
11	40	50	2
11	41	20	3
11	41	25	4
11	41	30	10
11	41	35	9
11	41	40	4
11	41	60	1
11	42	20	2
11	42	25	4
11	42	30	4
11	42	35	9
11	42	40	4
11	42	45	2
11	43	20	2
11	43	25	8
11	43	30	7
11	43	35	10
11	43	40	3
11	43	45	1
11	43	55	1
11	44	20	7
11	44	25	3
11	44	30	5
11	44	35	6
11	44	40	5
11	44	45	1
11	45	20	4
11	45	25	2
11	45	30	6
11	45	35	7
11	45	40	6
11	45	45	2
11	45	55	1
11	46	20	6
11	46	25	3
11	46	30	5
11	46	35	2
11	46	40	3
11	46	50	1
11	47	20	1
11	47	25	2
11	47	30	2
11	47	35	3
11	47	40	2
11	48	20	4
11	48	25	4
11	48	30	2
11	48	35	5
11	48	45	1
11	49	20	1
11	49	25	3
11	49	30	2
11	49	45	1
11	50	20	1
11	50	25	3
11	50	30	1
11	50	35	1
11	50	45	1
11	51	20	2
11	51	25	3
11	51	30	5
11	51	35	1
11	51	40	3
11	52	20	1
11	52	25	2
11	52	30	1
11	52	35	2
11	52	40	1
11	53	25	2
11	53	30	1
11	54	25	1
11	54	30	2
11	54	35	2
11	55	25	1
11	55	30	1
11	55	35	1
11	56	25	1
11	56	30	1
11	59	30	1
12	35	30	1
12	35	40	1
12	36	30	1
12	36	40	1
12	37	20	1
12	37	25	1
12	37	30	1
12	37	35	3
12	37	40	1
12	38	20	1
12	38	25	2
12	38	30	2
12	38	35	4
12	38	40	1
12	39	20	6
12	39	25	5
12	39	30	3
12	39	35	6
12	39	40	4
12	40	20	5
12	40	25	3
12	40	30	3
12	40	35	9
12	40	40	7
12	41	20	4
12	41	25	2
12	41	30	10
12	41	35	5
12	41	40	3
12	41	45	2
12	41	55	1
12	41	60	1
12	42	20	3
12	42	25	5
12	42	30	10
12	42	35	7
12	42	40	5
12	42	50	1
12	43	20	3
12	43	25	7
12	43	30	5
12	43	35	5
12	43	40	3
12	43	45	2
12	43	60	1
12	44	20	5
12	44	25	8
12	44	30	6
12	44	35	7
12	44	40	5
12	44	50	2
12	45	20	5
12	45	25	2
12	45	30	2
12	45	35	8
12	46	20	6
12	46	25	3
12	46	30	4
12	46	35	1
12	46	40	4
12	47	20	2
12	47	25	5
12	47	30	3
12	47	35	4
12	47	40	2
12	48	20	3
12	48	25	6
12	48	30	7
12	48	35	2
12	48	40	2
12	49	25	4
12	49	30	2
12	49	35	1
12	50	20	1
12	50	25	1
12	50	30	3
12	50	35	4
12	51	20	3
12	51	25	1
12	51	35	1
12	51	40	1
12	52	25	1
12	52	30	1
12	52	35	1
12	53	20	1
12	53	25	1
12	53	30	2
12	53	40	1
12	54	40	1
12	55	25	1
12	56	20	1
12	56	25	1
12	57	25	1
12	58	25	1
12	58	30	1
12	58	35	1
12	59	20	1
13	35	20	1
13	35	35	1
13	36	25	1
13	36	30	2
13	36	35	2
13	37	25	2
13	37	30	6
13	37	35	3
13	37	40	1
13	38	20	7
13	38	25	6
13	38	30	6
13	38	35	2
13	38	40	1
13	39	20	10
13	39	25	6
13	39	30	2
13	39	35	7
13	39	40	4
13	40	20	12
13	40	25	10
13	40	30	10
13	40	35	7
13	40	40	8
13	40	50	1
13	41	20	12
13	41	25	8
13	41	30	15
13	41	35	6
13	41	40	4
13	41	45	3
13	41	50	1
13	41	55	1
13	42	20	22
13	42	25	10
13	42	30	8
13	42	35	12
13	42	40	2
13	42	45	1
13	43	20	19
13	43	25	12
13	43	30	16
13	43	35	11
13	43	40	6
13	43	50	1
13	44	20	16
13	44	25	13
13	44	30	11
13	44	35	9
13	44	40	2
13	44	45	2
13	45	20	13
13	45	25	11
13	45	30	17
13	45	35	12
13	45	40	2
13	46	20	12
13	46	25	8
13	46	30	3
13	46	35	8
13	46	40	1
13	47	20	10
13	47	25	6
13	47	30	9
13	47	35	6
13	47	40	2
13	48	20	12
13	48	25	4
13	48	30	7
13	48	35	5
13	48	45	1
13	49	20	6
13	49	25	7
13	49	30	2
13	49	35	3
13	50	20	5
13	50	25	4
13	50	30	5
13	50	40	1
13	51	20	2
13	51	30	1
13	52	20	3
13	52	25	2
13	52	30	2
13	52	35	1
13	53	20	3
13	53	25	1
13	53	30	2
13	53	35	1
13	54	20	3
13	54	25	2
13	54	35	1
13	55	20	1
13	56	20	1
13	57	20	2
13	57	30	2
14	32	20	1
14	35	20	1
14	35	25	1
14	35	35	1
14	36	20	1
14	36	25	2
14	36	30	4
14	36	35	2
14	36	40	1
14	37	20	10
14	37	25	4
14	37	30	9
14	37	35	6
14	37	40	3
14	37	45	1
14	38	20	21
14	38	25	3
14	38	30	6
14	38	35	5
14	38	40	1
14	38	45	1
14	38	55	1
14	39	20	44
14	39	25	12
14	39	30	15
14	39	35	18
14	39	40	6
14	39	45	3
14	40	20	54
14	40	25	22
14	40	30	22
14	40	35	22
14	40	40	7
14	40	45	2
14	40	50	1
14	41	20	73
14	41	25	37
14	41	30	37
14	41	35	32
14	41	40	11
14	41	45	2
14	42	20	85
14	42	25	38
14	42	30	43
14	42	35	12
14	42	40	2
14	42	45	3
14	43	20	97
14	43	25	33
14	43	30	37
14	43	35	20
14	43	40	7
14	43	45	2
14	44	20	95
14	44	25	30
14	44	30	36
14	44	35	19
14	44	40	8
14	44	45	2
14	45	20	93
14	45	25	25
14	45	30	31
14	45	35	19
14	45	40	5
14	46	20	51
14	46	25	20
14	46	30	23
14	46	35	10
14	46	40	3
14	46	45	1
14	47	20	49
14	47	25	17
14	47	30	19
14	47	35	17
14	47	40	3
14	48	20	40
14	48	25	11
14	48	30	12
14	48	35	4
14	48	40	2
14	49	20	31
14	49	25	17
14	49	30	14
14	49	35	6
14	50	20	19
14	50	25	18
14	50	30	10
14	50	35	2
14	50	40	1
14	51	20	15
14	51	25	10
14	51	30	3
14	51	35	5
14	51	40	1
14	52	20	10
14	52	25	4
14	52	30	7
14	52	35	1
14	53	20	11
14	53	25	2
14	53	30	3
14	54	20	9
14	54	25	3
14	54	30	5
14	55	20	8
14	55	25	2
14	55	30	4
14	56	20	5
14	56	25	1
14	56	30	2
14	57	20	6
14	57	30	1
14	58	20	1
14	58	30	1
14	58	35	2
14	59	25	1
14	60	20	1
15	30	20	1
15	32	35	2
15	34	20	1
15	34	25	1
15	35	20	6
15	35	25	4
15	35	30	5
15	35	35	2
15	35	40	1
15	36	20	8
15	36	25	9
15	36	30	3
15	36	35	4
15	36	40	4
15	37	20	32
15	37	25	12
15	37	30	23
15	37	35	7
15	37	40	6
15	37	45	1
15	38	20	50
15	38	25	41
15	38	30	44
15	38	35	53
15	38	40	15
15	39	20	99
15	39	25	72
15	39	30	81
15	39	35	59
15	39	40	15
15	39	45	2
15	40	20	214
15	40	25	127
15	40	30	139
15	40	35	106
15	40	40	35
15	40	45	5
15	40	50	2
15	41	20	229
15	41	25	169
15	41	30	197
15	41	35	107
15	41	40	31
15	41	45	2
15	41	55	1
15	42	20	256
15	42	25	199
15	42	30	227
15	42	35	125
15	42	40	33
15	42	45	7
15	42	50	2
15	42	55	1
15	43	20	251
15	43	25	194
15	43	30	241
15	43	35	118
15	43	40	30
15	43	45	1
15	44	20	278
15	44	25	177
15	44	30	226
15	44	35	90
15	44	40	28
15	44	45	3
15	45	20	201
15	45	25	174
15	45	30	171
15	45	35	89
15	45	40	17
15	45	45	2
15	45	50	1
15	46	20	181
15	46	25	164
15	46	30	152
15	46	35	75
15	46	40	8
15	47	20	156
15	47	25	124
15	47	30	105
15	47	35	57
15	47	40	8
15	47	45	1
15	48	20	126
15	48	25	101
15	48	30	93
15	48	35	44
15	48	40	5
15	49	20	91
15	49	25	74
15	49	30	92
15	49	35	35
15	49	40	5
15	50	20	77
15	50	25	65
15	50	30	54
15	50	35	24
15	50	40	1
15	51	20	60
15	51	25	59
15	51	30	31
15	51	35	20
15	51	40	2
15	52	20	50
15	52	25	42
15	52	30	26
15	52	35	4
15	52	40	1
15	53	20	25
15	53	25	23
15	53	30	16
15	53	35	5
15	53	40	1
15	54	20	15
15	54	25	17
15	54	30	8
15	54	35	3
15	54	40	1
15	55	20	22
15	55	25	16
15	55	30	17
15	55	35	2
15	55	40	1
15	56	20	10
15	56	25	16
15	56	30	5
15	56	35	1
15	57	20	3
15	57	25	7
15	57	30	4
15	58	20	1
15	58	25	3
15	58	30	2
15	59	20	2
15	59	25	1
15	59	30	1
15	60	30	1
16	24	30	1
16	28	25	1
16	33	20	1
16	33	25	1
16	33	30	2
16	34	20	2
16	34	25	3
16	34	35	5
16	35	20	25
16	35	25	25
16	35	30	40
16	35	35	18
16	35	40	2
16	36	20	28
16	36	25	54
16	36	30	69
16	36	35	54
16	36	40	14
16	36	45	1
16	37	20	144
16	37	25	149
16	37	30	232
16	37	35	124
16	37	40	27
16	37	45	2
16	38	20	317
16	38	25	408
16	38	30	537
16	38	35	295
16	38	40	86
16	38	45	7
16	38	50	1
16	39	20	680
16	39	25	941
16	39	30	1090
16	39	35	659
16	39	40	142
16	39	45	17
16	39	50	4
16	40	20	1148
16	40	25	1428
16	40	30	1821
16	40	35	1050
16	40	40	252
16	40	45	45
16	40	50	6
16	41	20	1344
16	41	25	1757
16	41	30	2051
16	41	35	1163
16	41	40	219
16	41	45	26
16	41	50	1
16	41	55	3
16	42	20	1602
16	42	25	2093
16	42	30	2326
16	42	35	1287
16	42	40	219
16	42	45	14
16	42	50	2
16	42	55	1
16	43	20	1730
16	43	25	2255
16	43	30	2410
16	43	35	1277
16	43	40	169
16	43	45	9
16	44	20	1598
16	44	25	2194
16	44	30	2320
16	44	35	1067
16	44	40	147
16	44	45	10
