length_bp	read_count
46	1
48	1
49	1
50	1
52	1
55	1
73	1
78	1
81	1
86	2
87	1
88	4
89	4
90	9
91	1
92	1
114	1
509	1
554	1
588	2
602	1
900	1
991	1
1105	1
1220	1
1255	1
1272	1
1288	1
1303	1
1323	1
1360	1
1435	1
1448	1
1451	1
1455	1
1475	1
1540	1
1552	1
1584	1
1586	1
1606	1
1619	1
1622	1
1652	1
1675	1
1691	1
1693	1
1744	1
1790	1
1798	1
1846	1
1850	1
1857	1
1859	1
1866	1
1883	1
1892	1
1920	1
1932	1
1937	1
1941	1
1944	1
1980	1
2007	1
2051	1
2058	1
2158	1
2160	1
2200	1
2323	1
2509	1
2574	1
2645	1
2663	1
2666	1
2802	1
2818	1
2847	1
2852	1
2895	1
3004	1
3060	1
3096	1
3133	1
3293	1
3335	1
3384	1
3448	1
3659	1
3711	1
3751	1
3767	1
3785	1
3801	1
3919	1
3956	1
4014	1
4043	1
4270	1
4282	1
4339	1
4348	1
4357	1
4450	1
4464	1
4584	1
4587	1
4638	1
4645	1
4715	1
4801	1
4827	1
4843	1
4892	1
4900	1
4912	1
4947	1
5040	1
5197	1
5228	1
5263	1
5307	1
5379	1
5584	1
5631	1
5804	1
5848	1
5860	1
5898	1
5928	1
5987	1
6040	1
6123	1
6200	1
6226	1
6273	1
6278	1
6346	1
6370	1
6482	1
6586	1
6590	1
6609	1
6643	1
6730	1
6835	1
7018	1
7019	1
7053	1
7122	1
7150	1
7260	1
7277	1
7331	1
7368	1
7379	1
7411	1
7419	1
7444	1
7467	1
7474	1
7519	1
7557	1
7612	1
7613	1
7618	1
7635	1
7649	1
7701	1
7759	1
7774	1
7815	1
7840	1
7853	2
7897	1
7912	1
7923	1
7925	1
7931	1
7980	1
8021	1
8036	1
8077	1
8106	1
8121	1
8152	1
8160	1
8167	1
8180	1
8209	1
8223	1
8229	1
8252	1
8260	1
8275	1
8287	1
8321	1
8328	1
8359	1
8404	1
8427	1
8432	1
8440	1
8451	1
8460	1
8472	1
8481	1
8489	1
8530	1
8620	1
8632	1
8678	1
8690	1
8700	1
8705	1
8736	1
8743	1
8757	1
8768	1
8774	1
8783	1
8787	1
8789	1
8805	1
8818	1
8874	1
8881	1
8884	1
8922	1
8924	1
8946	1
8951	1
8983	1
8990	1
8997	1
9005	1
9006	2
9024	1
9038	1
9040	1
9046	1
9057	1
9061	1
9066	1
9069	1
9073	1
9083	1
9123	1
9164	1
9166	2
9168	1
9169	1
9174	1
9190	1
9196	1
9220	1
9222	1
9226	1
9245	2
9264	2
9266	1
9267	1
9280	1
9283	1
9293	1
9303	1
9310	1
9320	1
9325	1
9327	1
9335	1
9337	1
9343	1
9346	1
9377	1
9394	1
9414	2
9422	1
9442	1
9452	1
9464	1
9476	1
9478	1
9502	1
9509	2
9518	1
9530	1
9532	1
9536	1
9537	1
9539	2
9541	1
9566	1
9574	1
9591	1
9596	1
9600	1
9608	1
9615	1
9620	1
9624	1
9626	1
9631	1
9637	1
9639	1
9643	1
9644	1
9666	1
9672	1
9675	1
9680	1
9700	1
9709	1
9713	1
9714	1
9737	1
9741	1
9766	1
9767	1
9768	1
9781	1
9782	1
9792	1
9800	1
9803	1
9816	1
9825	1
9830	1
9845	1
9851	1
9867	1
9873	1
9882	1
9897	1
9917	1
9929	1
9946	1
9952	1
9958	1
9962	2
9964	1
9978	1
9989	1
9990	1
9993	1
10026	1
10030	1
10031	1
10032	1
10034	1
10041	1
10046	1
10057	1
10068	1
10074	1
10078	1
10086	1
10092	2
10096	1
10106	1
10115	1
10117	1
10133	1
10139	1
10144	1
10145	1
10146	1
10156	1
10164	1
10172	1
10173	1
10188	1
10190	1
10191	1
10192	1
10197	1
10200	1
10208	1
10215	1
10221	1
10225	1
10234	1
10236	1
10239	1
10244	1
10245	1
10246	1
10250	1
10266	1
10273	1
10275	1
10279	1
10287	1
10288	2
10295	1
10296	2
10301	1
10304	2
10309	1
10314	1
10316	1
10325	2
10333	1
10342	1
10345	1
10370	1
10374	1
10377	1
10393	1
10396	1
10438	1
10449	1
10451	1
10470	1
10471	1
10472	1
10478	1
10479	1
10492	1
10497	1
10501	2
10506	1
10508	1
10511	1
10513	1
10516	1
10525	1
10537	1
10539	1
10543	1
10544	1
10546	1
10548	1
10555	1
10556	1
10564	2
10576	2
10580	1
10585	1
10586	1
10589	1
10603	1
10608	1
10611	1
10612	1
10616	1
10617	1
10621	1
10625	1
10628	1
10633	1
10637	1
10639	1
10643	1
10645	1
10653	1
10655	2
10656	1
10658	1
10672	1
10680	1
10700	1
10703	1
10719	1
10726	1
10727	1
10729	1
10735	1
10739	1
10745	1
10746	1
10748	1
10750	1
10756	1
10757	1
10762	1
10769	1
10775	1
10778	1
10785	1
10789	1
10795	2
10809	1
10813	1
10821	1
10828	1
10829	1
10830	1
10832	1
10842	2
10846	1
10848	1
10850	1
10851	1
10852	1
10864	1
10865	1
10868	1
10871	1
10881	1
10885	1
10886	1
10888	1
10897	1
10907	1
10912	1
10921	3
10922	1
10923	2
10931	2
10936	1
10937	2
10940	1
10951	1
10961	1
10970	1
10978	1
10981	1
10983	1
10988	2
10989	1
10993	1
11005	1
11023	1
11025	1
11032	1
11033	2
11037	1
11045	1
11047	1
11048	1
11051	3
11056	1
11062	1
11063	1
11068	1
11069	1
11071	1
11075	1
11087	1
11097	1
11100	1
11102	1
11105	3
11106	1
11108	2
11110	3
11119	1
11121	2
11141	1
11142	1
11143	1
11149	1
11160	1
11161	1
11162	1
11165	1
11174	1
11177	1
11183	1
11186	1
11187	1
11190	1
11194	1
11197	1
11198	1
11202	2
11205	1
11206	1
11211	1
11214	1
11220	1
11221	1
11223	1
11224	2
11227	1
11228	1
11229	1
11232	1
11238	1
11248	1
11261	1
11263	1
11266	1
11269	1
11276	1
11277	1
11278	1
11280	1
11282	1
11283	2
11285	1
11288	2
11292	1
11293	1
11297	1
11298	1
11300	1
11309	1
11321	2
11327	1
11336	1
11342	1
11344	1
11362	1
11363	1
11379	1
11380	1
11381	2
11383	1
11384	1
11387	1
11388	1
11392	1
11396	1
11401	1
11406	1
11409	1
11410	2
11411	1
11414	1
11422	1
11426	1
11430	1
11434	1
11439	1
11441	1
11443	1
11446	1
11448	1
11449	1
11464	1
11469	1
11476	2
11481	1
11482	1
11483	4
11495	1
11500	1
11501	1
11502	1
11505	1
11506	1
11510	1
11518	1
11524	2
11525	1
11536	1
11538	1
11539	1
11558	2
11570	1
11571	1
11584	1
11586	1
11587	1
11588	1
11593	1
11595	1
11598	1
11599	1
11605	1
11606	2
11608	1
11610	1
11612	2
11615	1
11618	1
11619	1
11620	1
11622	2
11630	1
11636	1
11638	2
11640	1
11643	1
11646	1
11656	1
11659	1
11660	1
11664	2
11669	1
11671	3
11677	1
11685	2
11690	1
11699	1
11702	1
11705	1
11708	1
11721	1
11723	1
11724	2
11726	1
11733	1
11738	1
11739	1
11741	1
11742	1
11743	1
11745	1
11747	1
11748	1
11753	1
11754	1
11765	1
11772	2
11773	1
11776	1
11780	2
11788	1
11790	1
11791	2
11792	1
11793	1
11797	1
11800	1
11801	2
11802	1
11807	1
11809	1
11830	1
11832	1
11838	1
11843	1
11844	1
11847	1
11849	1
11850	1
11851	1
11853	1
11857	1
11860	1
11861	2
11868	1
11870	1
11879	1
11881	1
11883	1
11884	1
11889	1
11890	1
11891	1
11893	1
11895	1
11899	1
11907	1
11911	1
11913	1
11915	1
11916	1
11920	1
11925	1
11929	1
11938	1
11941	1
11944	1
11951	1
11952	1
11953	1
11955	1
11957	1
11958	1
11961	1
11965	1
11966	1
11968	1
11971	1
11972	1
11975	1
11976	1
11977	2
11978	1
11983	1
11990	1
11991	1
11992	1
11999	1
12004	1
12006	1
12017	1
12018	1
12020	2
12027	2
12033	1
12035	1
12036	1
12047	1
12048	1
12050	1
12051	2
12058	2
12061	1
12067	1
12073	1
12076	1
12077	1
12079	1
12081	2
12083	1
12088	1
12091	1
12093	1
12096	1
12097	1
12101	1
12107	1
12112	1
12119	1
12125	1
12134	1
12146	1
12147	1
12149	2
12150	1
12163	1
12164	1
12170	2
12172	1
12178	2
12182	1
12183	2
12187	1
12189	1
12195	1
12197	1
12201	1
12206	1
12209	1
12222	2
12226	1
12228	1
12230	1
12233	1
12235	1
12238	1
12240	1
12241	1
12248	2
12255	1
12260	1
12264	1
12265	1
12274	2
12280	1
12284	1
12287	1
12288	1
12299	1
12307	1
12313	2
12315	1
12318	1
12320	1
12338	1
12345	1
12351	1
12352	1
12363	2
12364	1
12365	1
12367	1
12368	1
12369	1
12370	1
12371	1
12378	1
12380	1
12385	1
12390	1
12393	1
12394	1
12395	1
12397	1
12400	2
12401	1
12409	1
12417	1
12419	1
12423	1
12424	1
12428	1
12432	1
12440	1
12447	1
12449	1
12452	1
12455	2
12464	1
12468	1
12473	1
12476	1
12477	1
12483	1
12485	1
12487	1
12497	1
12502	1
12503	1
12506	1
12509	1
12510	2
12512	1
12515	1
12518	1
12519	1
12522	1
12529	1
12531	2
12533	1
12537	2
12542	1
12547	1
12553	1
12554	1
12564	1
12566	1
12572	1
12576	1
12580	1
12581	1
12584	1
12587	1
12588	1
12590	1
12593	1
12617	1
12619	1
12623	1
12627	1
12628	2
12630	1
12632	2
12637	1
12640	1
12646	1
12648	1
12649	2
12652	1
12654	1
12656	1
12664	2
12665	1
12669	2
12670	1
12671	1
12672	1
12675	2
12679	1
12687	2
12694	2
12695	1
12697	1
12699	1
12704	1
12708	1
12709	2
12711	1
12724	2
12726	2
12728	1
12730	1
12731	1
12733	1
12735	1
12741	1
12744	1
12749	1
12752	1
12753	1
12759	2
12761	1
12767	1
12773	1
12777	2
12778	1
12782	1
12784	1
12790	3
12792	1
12795	1
12798	2
12800	1
12801	1
12805	1
12810	1
12811	1
12812	1
12813	1
12814	1
12818	1
12822	1
12825	1
12827	1
12828	1
12829	1
12831	1
12838	1
12847	1
12851	1
12853	1
12855	1
12864	1
12865	1
12866	1
12869	1
12870	1
12875	1
12876	1
12878	1
12884	1
12890	1
12897	1
12900	1
12905	1
12906	1
12909	1
12915	2
12916	1
12921	1
12935	1
12940	1
12941	1
12942	1
12951	2
12952	1
12954	1
12956	1
12957	2
12961	1
12962	1
12964	2
12966	1
12972	1
12974	1
12976	1
12979	1
12980	1
12996	1
13000	1
13004	1
13012	1
13015	1
13018	1
13020	2
13023	1
13026	1
13030	1
13032	1
13034	1
13038	2
13043	4
13044	1
13046	1
13047	1
13048	1
13052	1
13055	2
13068	1
13071	2
13072	4
13075	1
13081	2
13088	2
13093	1
13096	1
13097	1
13104	1
13109	1
13112	1
13115	1
13120	1
13123	1
13129	1
13130	1
13131	1
13132	1
13133	3
13145	1
13150	2
13153	1
13154	1
13155	1
13156	1
13158	1
13162	1
13167	1
13168	1
13171	1
13173	2
13174	1
13175	1
13176	2
13177	1
13180	1
13181	1
13182	1
13191	1
13194	1
13195	1
13200	3
13201	1
13202	1
13210	1
13212	2
13213	1
13218	3
13220	2
13223	1
13224	1
13228	1
13229	1
13238	2
13240	1
13241	1
13242	1
13243	1
13244	1
13246	1
13251	1
13257	1
13261	2
13265	1
13268	1
13270	1
13271	1
13272	1
13277	1
13279	1
