length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	43	20	1
0	44	65	1
0	44	90	1
0	46	90	1
1	32	90	1
1	39	90	1
1	40	30	1
1	40	90	1
1	45	30	1
1	46	45	1
1	47	90	1
2	48	40	1
3	36	70	1
3	39	45	1
4	34	70	1
4	42	40	1
4	43	45	1
4	50	40	1
4	52	80	1
5	42	30	1
5	48	20	1
6	40	60	1
6	41	20	1
6	45	35	1
7	38	35	1
7	42	20	1
7	43	25	1
7	43	40	2
7	46	20	1
7	46	30	1
7	46	35	1
7	47	20	1
7	48	40	1
7	50	35	1
7	56	35	1
8	38	20	1
8	38	35	1
8	40	25	1
8	43	45	1
8	44	40	1
8	45	35	1
8	47	25	1
8	48	40	1
8	51	40	1
8	58	60	1
9	37	20	1
9	37	40	1
9	38	45	1
9	38	55	1
9	39	35	1
9	40	25	1
9	41	30	1
9	41	35	1
9	42	30	2
9	42	40	1
9	43	20	2
9	43	30	1
9	44	25	1
9	46	20	1
9	46	40	1
9	48	40	1
9	48	45	1
9	49	35	1
9	54	25	1
10	38	30	1
10	38	35	2
10	39	30	1
10	40	25	1
10	40	35	1
10	40	40	1
10	41	40	1
10	41	45	1
10	42	25	3
10	42	30	1
10	44	30	1
10	44	40	1
10	45	20	2
10	46	35	1
10	46	40	1
10	47	25	1
10	48	25	1
10	49	25	1
10	49	30	1
10	52	20	1
11	37	25	1
11	37	40	1
11	38	25	1
11	38	30	1
11	39	35	1
11	39	40	1
11	40	40	1
11	40	50	1
11	41	25	2
11	41	30	2
11	41	35	2
11	41	40	1
11	42	35	2
11	42	45	1
11	43	25	2
11	43	30	1
11	43	45	1
11	44	20	2
11	44	25	1
11	44	35	1
11	44	40	2
11	44	45	1
11	45	20	1
11	45	25	1
11	45	35	2
11	45	40	1
11	45	45	1
11	46	20	1
11	46	40	1
11	47	20	1
11	47	35	1
11	47	40	2
11	48	20	1
11	48	25	1
11	48	35	1
11	49	30	1
11	50	25	1
11	50	35	1
11	51	35	1
11	53	25	1
11	54	30	1
12	35	40	1
12	38	25	1
12	39	20	1
12	39	25	2
12	39	30	1
12	40	40	2
12	41	20	1
12	41	30	3
12	41	35	2
12	42	25	1
12	42	30	1
12	42	35	1
12	42	40	1
12	43	25	1
12	43	30	1
12	43	35	1
12	44	20	2
12	44	25	2
12	44	30	1
12	44	50	1
12	45	35	1
12	46	20	1
12	47	30	1
12	47	35	1
12	48	30	3
12	48	35	1
12	49	30	1
12	49	35	1
12	52	30	1
12	53	30	1
12	57	25	1
12	58	25	1
13	37	30	2
13	38	20	1
13	38	25	1
13	38	30	2
13	38	35	1
13	39	25	1
13	40	20	2
13	40	25	2
13	40	30	1
13	41	20	1
13	41	30	3
13	41	50	1
13	41	55	1
13	42	20	3
13	42	25	1
13	42	30	2
13	42	35	1
13	43	20	2
13	43	25	2
13	43	30	1
13	43	40	2
13	44	20	2
13	44	30	2
13	44	35	2
13	45	20	2
13	45	25	2
13	45	30	5
13	45	35	2
13	46	20	4
13	46	25	1
13	46	30	2
13	46	35	2
13	47	20	3
