length_bp	read_count
49	1
52	1
55	1
991	1
1105	1
1288	1
1475	1
1540	1
1584	1
1859	1
1883	1
2802	1
3711	1
3956	1
4450	1
4464	1
4827	1
4843	1
4912	1
5860	1
5987	1
6482	1
6586	1
6730	1
7018	1
7053	1
7368	1
7379	1
7474	1
7519	1
7612	1
7635	1
7774	1
7897	1
7931	1
7980	1
8223	1
8275	1
8287	1
8359	1
8440	1
8481	1
8530	1
8632	1
8805	1
8997	1
9005	1
9006	2
9038	1
9040	1
9057	1
9073	1
9164	1
9190	1
9346	1
9394	1
9452	1
9539	1
9615	1
9675	1
9680	1
9767	1
9803	1
9816	1
9978	1
9989	1
10057	1
10106	1
10250	1
10288	1
10325	1
10345	1
10396	1
10449	1
10479	1
10506	1
10513	1
10537	1
10564	1
10658	1
10719	1
10727	1
10830	1
10864	1
10907	1
10912	1
10936	1
10937	1
10961	1
10993	1
11037	1
11075	1
11087	1
11100	1
11102	1
11142	1
11174	1
11214	1
11223	1
11227	1
11232	1
11238	1
11266	1
11288	1
11321	2
11362	1
11379	1
11381	1
11384	1
11410	1
11439	1
11483	1
11502	1
11518	1
11571	1
11606	1
11619	1
11643	1
11660	1
11748	1
11793	1
11801	1
11809	1
11843	1
11847	1
11861	1
11868	1
11889	1
11891	1
11893	1
11907	1
11915	1
11925	1
11951	1
11952	1
11955	1
11957	1
11972	1
11990	1
12020	1
12033	1
12047	1
12048	1
12067	1
12088	1
12091	1
12178	1
12230	1
12241	1
12264	1
12280	1
12318	1
12345	1
12393	1
12394	1
12395	1
12400	1
12401	1
12409	1
12417	1
12423	1
12428	1
12485	1
12593	1
12628	1
12652	1
12669	1
12694	1
12726	1
12777	1
12784	1
12798	1
12800	1
12825	1
12829	1
12875	1
12915	2
12951	1
12956	1
13075	1
13109	1
13133	1
13145	1
13171	1
13176	1
13181	1
13200	1
13202	1
13210	1
13218	1
13220	1
13241	1
13243	1
13288	1
13292	1
13327	1
13329	1
13344	1
13353	1
13366	1
13399	1
13408	1
13413	1
13422	1
13426	1
13456	1
13464	1
13473	1
13502	1
13535	2
13536	1
13542	1
13546	1
13554	1
13575	1
13591	1
13596	1
13619	1
13629	1
13639	1
13657	2
13686	2
13691	1
13708	2
13717	1
13718	1
13722	1
13742	1
13766	1
13770	1
13773	1
13787	1
13791	2
13807	1
13810	1
13827	1
13837	1
13839	1
13846	1
13847	1
13853	1
13877	1
13910	1
13928	1
13932	1
13938	1
13944	1
13971	1
13983	1
13985	1
13991	1
14007	1
14013	1
14022	1
14024	1
14026	1
14028	1
14030	1
14032	1
14034	1
14046	1
14053	1
14054	1
14062	1
14068	1
14072	2
14073	1
14079	1
14081	1
14084	1
14102	2
14120	1
14124	1
14140	1
14142	1
14145	1
14161	1
14171	2
14175	1
14176	1
14178	1
14180	1
14189	1
14197	1
14210	1
14212	1
14242	1
14248	1
14250	1
14254	1
14261	1
14263	1
14268	1
14271	1
14281	1
14289	1
14304	1
14309	1
14317	1
14322	1
14327	2
14329	1
14335	1
14360	1
14364	1
14371	1
14385	1
14390	1
14395	1
14397	1
14399	1
14413	2
14428	2
14437	2
14439	1
14440	1
14444	1
14446	1
14452	1
14459	1
14464	1
14467	1
14473	1
14475	1
14478	1
14484	1
14486	1
14487	1
14489	1
14500	1
14501	1
14510	1
14515	1
14519	1
14531	1
14540	1
14547	1
14555	1
14560	1
14563	1
14566	1
14567	2
14570	1
14571	1
14573	1
14574	1
14577	1
14579	2
14585	1
14586	1
14597	1
14598	1
14600	1
14603	1
14609	1
14613	1
14616	2
14621	1
14623	1
14624	1
14626	1
14628	1
14637	2
14641	1
14643	1
14644	1
14647	1
14652	1
14653	3
14658	2
14660	1
14663	1
14677	1
14680	2
14681	2
14693	1
14700	2
14701	1
14707	1
14712	1
14713	1
14714	1
14717	1
14719	2
14721	1
14724	2
14728	2
14730	1
14731	2
14742	1
14743	1
14744	1
14746	2
14747	3
14751	1
14757	1
14764	1
14766	2
14772	1
14773	1
14774	2
14779	1
14780	1
14781	1
14782	1
14783	2
14784	1
14794	1
14795	1
14799	1
14800	1
14801	1
14804	2
14808	1
14815	1
14820	1
14821	1
14822	1
14825	1
14832	1
14833	2
14834	1
14835	1
14843	1
14844	1
14845	2
14849	2
14853	1
14856	2
14857	1
14863	2
14865	1
14866	1
14867	1
14874	1
14880	1
14887	1
14891	1
14895	1
14898	2
14900	3
14901	1
14902	1
14904	1
14907	1
14908	1
14909	1
14911	1
14912	1
14916	1
14917	1
14918	1
14920	1
14921	1
14925	1
14929	1
14934	1
14936	1
14940	1
14941	2
14948	1
14951	1
14955	1
14957	1
14960	1
14965	1
14968	1
14975	3
14976	2
14977	1
14981	1
14984	2
14989	1
14992	1
14999	1
15007	2
15009	1
15012	1
15013	2
15017	1
15019	1
15020	1
15023	1
15025	1
15027	1
15028	1
15031	1
15033	1
15036	1
15037	1
15042	2
15045	1
15046	1
15050	2
15054	1
15061	1
15069	1
15074	1
15075	1
15079	1
15081	1
15083	2
15085	1
15086	1
15087	1
15088	1
15090	1
15095	1
15096	1
15098	1
15100	1
15101	1
15103	1
15105	2
15106	1
15112	1
15114	1
15124	1
15126	1
15130	1
15133	1
15134	2
15136	1
15137	1
15142	1
15145	1
15151	1
15153	1
15154	1
15159	1
15161	1
15162	1
15164	3
15166	1
15173	1
15174	2
15177	1
15178	2
15179	2
15183	1
15184	1
15186	3
15190	1
15191	1
15192	1
15193	1
15194	1
15197	1
15201	1
15202	1
15203	1
15207	1
15211	1
15212	2
15213	1
15216	1
15217	1
15218	1
15219	1
15221	1
15224	1
15225	1
15229	3
15231	1
15232	1
15233	1
15234	1
15235	1
15238	1
15239	2
15240	2
15242	2
15243	1
15244	2
15246	1
15251	3
15253	3
15254	1
15257	2
15259	1
15262	1
15265	1
15268	1
15270	1
15274	2
15275	2
15277	1
15280	1
15282	1
15283	1
15284	1
15285	1
15286	1
15296	2
15298	2
15300	1
15301	5
15303	1
15304	1
15305	1
15307	1
15308	3
15310	1
15313	1
15315	1
15316	1
15318	1
15320	1
15321	1
15324	1
15326	1
15327	1
15328	1
15329	1
15330	1
15331	1
15336	2
15337	2
15342	1
15343	1
15344	1
15349	1
15350	2
15351	1
15352	1
15353	2
15354	1
15355	1
15356	2
15357	3
15358	1
15360	1
15362	2
15363	1
15365	1
15366	2
15370	1
15371	1
15373	1
15374	2
15375	3
15376	1
15380	1
15382	1
15383	1
