length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	11	30	1
0	15	20	1
0	16	15	1
0	16	25	1
0	17	20	4
0	17	25	2
0	18	20	1
0	18	40	1
0	19	20	1
0	20	15	2
0	20	40	1
0	21	20	1
0	21	25	1
0	21	40	1
0	22	15	2
0	22	20	1
0	22	25	1
0	22	35	1
0	23	15	1
0	23	20	2
0	23	25	1
0	23	40	1
0	24	15	1
0	24	20	1
0	24	40	3
0	25	20	2
0	25	30	1
0	25	35	1
0	25	40	1
0	26	15	1
0	26	20	1
0	26	25	2
0	26	30	1
0	26	40	1
0	27	20	1
0	27	30	1
0	27	40	1
0	28	15	3
0	28	20	2
0	28	35	2
0	29	20	4
0	29	25	1
0	29	35	2
0	29	40	1
0	30	15	1
0	30	25	1
0	30	30	1
0	30	40	2
0	31	15	2
0	31	30	1
0	31	35	1
0	31	40	2
0	32	15	1
0	32	25	2
0	32	30	1
0	32	40	2
0	33	15	1
0	33	20	2
0	33	25	1
0	33	40	3
0	34	25	2
0	34	30	1
0	34	35	1
0	34	40	1
0	35	30	1
0	35	35	1
0	35	40	2
0	36	15	1
0	36	35	2
0	36	40	2
0	37	15	1
0	37	20	1
0	37	25	1
0	37	35	1
0	37	40	2
0	38	20	1
0	38	25	3
0	38	30	2
0	38	40	1
0	39	30	1
0	39	35	1
0	39	40	1
0	40	20	2
0	40	25	3
0	40	40	2
0	41	20	1
0	41	30	1
0	41	40	1
0	42	40	3
0	43	20	1
0	43	35	1
0	43	40	1
0	44	20	1
0	44	25	1
0	44	40	1
0	52	40	1
0	53	20	2
0	54	40	1
1	13	15	1
1	16	35	1
1	16	40	1
1	17	25	1
1	18	15	1
1	18	25	1
1	18	40	1
1	19	30	2
1	19	35	1
1	19	40	3
1	20	15	2
1	20	25	1
1	20	30	1
1	20	35	3
1	20	40	2
1	21	15	1
1	21	20	1
1	21	25	3
1	21	30	1
1	21	35	2
1	21	40	3
1	22	15	1
1	22	20	2
1	22	30	3
1	22	35	4
1	22	40	5
1	23	15	1
1	23	20	1
1	23	25	2
1	23	30	2
1	23	35	3
1	23	40	6
1	24	15	3
1	24	20	4
1	24	25	3
1	24	30	2
1	24	35	5
1	24	40	4
1	25	15	2
1	25	20	2
1	25	25	3
1	25	30	2
1	25	35	3
1	25	40	7
1	26	20	3
1	26	25	2
1	26	30	3
1	26	35	8
1	26	40	7
1	27	15	1
1	27	20	3
1	27	25	6
1	27	30	5
1	27	35	6
1	27	40	10
1	28	15	3
1	28	20	2
1	28	25	1
1	28	30	5
1	28	35	11
1	28	40	3
1	29	15	1
1	29	20	4
1	29	25	2
1	29	30	4
1	29	35	4
1	29	40	11
1	30	15	2
1	30	20	5
1	30	25	4
1	30	30	3
1	30	35	9
1	30	40	13
1	31	15	2
1	31	20	3
1	31	25	7
1	31	30	5
1	31	35	7
1	31	40	16
1	32	15	5
1	32	20	4
1	32	25	5
1	32	30	4
1	32	35	7
1	32	40	19
1	33	15	3
1	33	20	4
1	33	25	5
1	33	30	7
1	33	35	9
1	33	40	12
1	34	10	1
1	34	15	3
1	34	20	5
1	34	25	7
1	34	30	8
1	34	35	12
1	34	40	12
1	35	15	3
1	35	20	1
1	35	25	7
1	35	30	3
1	35	35	13
1	35	40	15
1	36	15	5
1	36	20	4
1	36	25	5
1	36	30	4
