length_bp	read_count
72	1
85	1
99	1
102	1
117	1
119	1
203	1
216	1
220	1
224	1
227	1
243	1
259	1
270	1
280	1
295	1
299	1
315	1
318	1
320	1
324	1
335	1
348	1
374	1
380	2
404	1
419	1
420	1
424	1
434	1
440	1
444	1
448	1
495	1
498	1
519	1
522	1
523	1
542	1
545	1
556	1
568	1
571	1
601	1
611	1
613	1
614	1
619	1
624	1
625	2
640	1
647	1
649	1
658	1
662	1
663	1
666	1
671	1
672	2
680	1
696	2
703	1
707	1
710	2
720	2
726	3
741	1
744	1
750	1
754	1
761	1
772	2
773	1
774	1
786	1
791	1
792	1
797	1
803	1
804	1
806	1
809	2
813	1
820	1
831	1
832	1
836	1
837	1
838	1
844	1
847	1
849	1
855	1
871	2
874	1
883	1
891	1
894	1
896	1
898	1
911	1
913	1
915	1
921	1
926	1
930	1
935	1
938	2
942	1
948	1
950	1
951	1
952	1
953	1
957	1
961	1
963	1
964	1
967	1
972	1
979	1
981	1
982	2
983	1
985	1
986	1
997	1
1001	1
1002	2
1003	1
1007	1
1008	1
1009	2
1011	1
1014	1
1016	1
1017	1
1020	1
1021	1
1024	1
1027	1
1029	1
1031	2
1032	2
1039	1
1041	1
1044	1
1049	1
1052	1
1057	1
1060	1
1061	1
1062	2
1063	1
1064	1
1066	1
1068	1
1083	1
1084	1
1089	1
1091	1
1093	1
1095	1
1096	1
1097	1
1098	1
1101	1
1108	1
1109	1
1110	1
1112	1
1113	1
1114	1
1118	1
1119	1
1120	1
1125	1
1126	1
1128	1
1133	1
1137	2
1139	1
1145	2
1146	1
1150	3
1154	1
1156	1
1157	1
1160	2
1167	1
1169	1
1172	1
1175	1
1176	1
1182	1
1193	1
1194	1
1195	2
1199	1
1202	2
1203	1
1204	1
1206	3
1208	1
1212	1
1214	1
1215	1
1220	1
1221	2
1222	1
1224	1
1228	1
1229	1
1232	2
1233	2
1234	1
1238	1
1239	1
1241	1
1243	1
1249	1
1253	1
1255	1
1257	1
1258	1
1264	1
1265	1
1266	1
1270	1
1274	1
1277	1
1285	1
1290	1
1295	3
1300	3
1301	1
1302	2
1308	1
1309	1
1310	1
1311	2
1312	1
1313	1
1315	1
1316	1
1317	1
1320	1
1322	1
1323	1
1325	1
1330	1
1331	2
1332	1
1338	1
1343	1
1344	1
1345	2
1347	1
1349	1
1353	1
1354	1
1356	1
1358	1
1359	1
1361	1
1364	1
1365	1
1367	1
1369	1
1371	1
1373	5
1374	1
1377	1
1378	2
1381	3
1382	1
1383	2
1384	1
1385	1
1386	1
1390	2
1391	1
1395	1
1397	1
1402	1
1403	3
1404	1
1405	2
1407	1
1408	1
1410	2
1411	1
1414	1
1417	2
1420	1
1422	1
1423	1
1424	3
1425	1
1429	2
1430	1
1431	2
1432	1
1433	1
1434	1
1435	1
1436	1
1438	1
1439	1
1442	1
1443	1
1444	1
1445	2
1446	2
1447	1
1448	1
1450	1
1451	2
1452	2
1455	2
1456	1
1459	1
1462	2
1463	2
1468	1
1470	1
1471	1
1472	1
1473	1
1476	1
1477	1
1478	2
1480	1
1487	1
1489	2
1490	1
1491	1
1492	3
1493	1
1496	2
1497	2
1498	1
1499	2
1500	1
1502	2
1504	1
1506	2
1507	1
1513	2
1515	1
1516	1
1519	3
1520	1
1524	2
1525	1
1527	3
1528	1
1529	1
1530	2
1533	1
1535	1
1539	2
1540	1
1541	2
1542	2
1543	3
1544	3
1545	3
1547	3
1548	3
1549	1
1550	3
1555	3
1556	1
1558	1
1559	1
1564	1
1565	2
1567	1
1569	1
1571	1
1572	1
1573	2
1574	2
1575	1
1576	1
1577	2
1579	1
1580	1
1581	3
1582	1
1583	1
1584	1
1586	3
1587	2
1589	1
1590	1
1591	1
1593	1
1594	2
1595	2
1596	2
1597	2
1598	1
1600	1
1601	1
1602	3
1604	1
1606	1
1609	2
1610	1
1611	1
1613	1
1617	1
1618	1
1620	1
1621	3
1623	3
1625	1
1630	1
1631	2
1634	2
1638	1
1640	2
1642	2
1643	1
1644	2
1646	1
1649	1
1650	2
1653	1
1654	1
1655	1
1657	1
1658	3
1660	1
1662	1
1665	1
1667	1
1668	1
1671	2
1672	3
1673	2
1674	2
1675	5
1676	4
1684	1
1688	3
1689	3
1692	1
1693	1
1695	1
1696	1
1697	1
1700	1
1701	2
1702	1
1703	1
1704	1
1706	1
1708	1
1710	1
1711	1
1712	1
1713	2
1715	1
1716	1
1718	1
1720	1
1721	1
