length_bin_kb	gc_bin_percent	mean_quality_bin_phred	read_count
0	33	25	1
0	34	30	1
0	43	40	1
1	21	40	1
1	30	20	1
1	31	35	2
1	32	20	1
1	34	25	1
1	34	35	1
1	35	40	1
1	36	35	2
1	36	40	1
1	37	30	1
1	39	30	1
1	40	35	2
2	21	30	1
2	22	35	1
2	22	40	1
2	25	25	1
2	26	30	1
2	26	40	1
2	28	35	1
2	29	30	1
2	30	20	1
2	32	15	1
2	32	20	1
2	32	35	2
2	33	35	1
2	35	20	1
2	35	30	1
2	35	35	1
2	35	40	1
2	36	30	1
2	37	20	1
2	37	35	1
2	40	40	1
2	41	30	1
2	42	25	1
2	43	25	1
2	43	30	1
2	43	35	1
2	48	35	1
2	53	40	1
3	22	40	1
3	25	30	1
3	28	15	2
3	29	35	1
3	29	40	1
3	30	35	1
3	31	35	1
3	32	30	1
3	32	35	1
3	33	35	1
3	35	15	1
3	35	30	1
3	35	35	1
3	37	10	1
3	37	30	1
3	37	40	1
3	39	35	1
3	43	35	1
3	44	35	1
3	48	30	1
4	25	30	1
4	26	30	1
4	28	30	2
4	28	35	1
4	30	25	2
4	30	30	1
4	31	35	1
4	32	25	1
4	32	35	3
4	33	20	2
4	33	25	1
4	33	35	3
4	34	20	1
4	34	35	1
4	35	35	1
4	35	40	1
4	36	20	1
4	36	35	1
4	37	30	1
4	37	35	2
4	38	15	1
4	38	25	1
4	38	30	1
4	38	40	1
4	39	15	1
4	39	35	1
4	41	20	1
4	41	35	1
4	43	20	1
4	44	40	1
4	46	30	1
4	48	35	1
5	24	25	1
5	26	25	1
5	26	35	1
5	28	20	1
5	28	35	1
5	28	40	1
5	29	30	3
5	29	35	1
5	30	15	1
5	30	35	1
5	31	15	1
5	31	25	1
5	31	30	1
5	31	35	1
5	32	15	1
5	32	30	2
5	33	20	1
5	33	30	1
5	33	40	1
5	34	20	1
5	34	30	1
5	35	20	1
5	35	25	1
5	35	30	1
5	35	35	1
5	35	40	1
5	36	20	1
5	36	25	1
5	36	30	2
5	37	15	1
5	37	35	2
5	38	20	1
5	41	20	1
5	41	30	1
5	42	30	1
5	43	20	1
5	44	25	1
5	45	25	1
5	47	25	1
5	49	35	1
5	50	25	1
6	23	20	1
6	24	30	1
6	26	35	1
6	27	15	1
6	27	20	3
6	28	25	1
6	28	30	2
6	29	20	1
6	29	25	1
6	29	35	1
6	30	15	1
6	30	20	1
6	30	35	2
6	31	35	1
6	32	20	2
6	32	25	2
6	32	30	1
6	32	35	1
6	33	15	1
6	33	20	1
6	33	25	1
6	33	30	4
6	34	15	1
6	34	20	2
6	34	25	1
6	34	30	2
6	34	35	2
6	35	15	1
6	35	20	1
6	35	25	1
6	35	35	1
6	36	20	2
6	36	25	1
6	36	30	2
6	38	30	2
6	39	35	1
6	40	15	1
6	43	25	1
6	43	30	1
6	44	25	1
6	45	25	1
6	47	25	1
6	48	15	1
7	26	15	1
7	27	15	1
7	27	25	1
7	27	35	1
7	28	15	1
7	28	20	1
7	28	30	3
7	29	15	2
7	29	30	2
7	30	15	1
7	30	20	2
7	30	30	2
7	31	20	1
7	31	25	2
7	31	30	2
7	31	35	1
7	32	20	1
7	32	25	2
7	32	30	2
7	32	35	5
7	33	20	3
7	33	25	1
7	33	30	2
7	33	35	2
7	34	15	1
7	34	20	1
7	34	25	2
7	34	30	1
7	34	35	2
7	35	25	1
7	35	30	2
7	35	35	1
7	36	20	1
7	36	25	1
7	36	35	1
7	37	20	1
7	37	25	1
7	37	35	2
7	38	25	1
7	38	30	2
7	39	20	1
7	39	35	1
7	40	20	3
7	40	25	1
7	40	30	1
7	41	20	2
7	41	25	1
7	41	35	1
7	42	35	1
7	43	20	1
7	44	20	1
7	44	35	1
7	46	25	1
7	49	30	1
8	17	20	1
8	24	20	1
8	25	25	1
8	25	30	1
8	26	15	1
8	26	25	1
8	27	15	1
8	27	20	1
8	27	25	2
8	27	35	2
8	28	15	1
8	28	20	2
8	28	30	3
8	28	35	2
8	29	15	2
8	29	20	2
8	29	25	5
8	29	30	4
8	29	35	3
8	30	15	3
8	30	20	5
8	30	25	4
8	30	30	4
8	30	35	8
8	31	15	5
8	31	20	3
8	31	25	3
8	31	30	5
8	31	35	3
8	32	15	3
8	32	20	6
8	32	25	4
8	32	30	8
8	32	35	7
8	33	15	4
8	33	20	5
8	33	25	4
8	33	30	7
8	33	35	6
8	34	15	2
8	34	20	7
8	34	25	3
8	34	30	4
8	34	35	7
8	35	20	2
8	35	25	1
8	35	30	4
8	35	35	4
8	36	15	2
8	36	25	2
8	36	30	4
8	36	35	1
8	37	15	1
8	37	20	3
8	37	25	4
8	37	35	2
8	38	10	1
8	38	15	2
8	38	25	1
8	38	30	2
8	38	35	3
8	39	20	3
8	39	25	1
8	39	30	2
8	39	35	2
8	40	15	1
8	40	20	2
8	40	25	2
8	40	30	3
8	40	35	3
8	41	10	1
8	41	15	3
8	41	20	2
8	41	25	1
8	41	30	1
8	42	15	1
8	42	25	1
8	42	35	2
8	43	20	2
8	43	25	1
8	43	35	2
8	44	10	1
8	44	20	2
8	44	35	3
8	45	15	2
8	45	20	1
8	45	30	1
8	45	35	2
8	46	15	2
8	47	20	3
8	47	25	2
8	48	15	1
8	48	20	1
8	48	25	1
8	52	20	1
9	21	25	1
9	22	15	1
9	24	20	2
9	24	30	2
9	24	35	2
9	25	20	2
9	25	25	1
9	25	30	2
9	26	20	4
9	26	25	1
9	26	30	3
9	26	35	1
9	27	15	7
9	27	20	5
9	27	25	5
9	27	30	7
9	27	35	7
9	28	15	8
9	28	20	5
9	28	25	10
9	28	30	10
9	28	35	14
9	29	15	3
9	29	20	6
9	29	25	16
9	29	30	10
9	29	35	8
9	30	10	1
9	30	15	12
9	30	20	16
9	30	25	16
9	30	30	12
9	30	35	16
9	31	10	1
9	31	15	11
9	31	20	9
9	31	25	15
9	31	30	23
9	31	35	29
9	32	15	14
9	32	20	15
9	32	25	17
9	32	30	21
9	32	35	33
9	33	15	11
9	33	20	17
9	33	25	19
9	33	30	15
9	33	35	31
9	34	15	13
9	34	20	11
9	34	25	7
9	34	30	16
9	34	35	36
9	35	15	7
9	35	20	10
9	35	25	19
9	35	30	8
9	35	35	20
9	36	15	5
9	36	20	13
9	36	25	16
9	36	30	8
9	36	35	17
9	37	15	6
9	37	20	6
9	37	25	7
9	37	30	7
9	37	35	12
9	38	15	3
9	38	20	7
9	38	25	8
9	38	30	11
9	38	35	13
9	39	15	1
9	39	20	11
9	39	25	6
9	39	30	7
9	39	35	5
9	40	15	4
9	40	20	3
9	40	25	5
9	40	30	8
9	40	35	12
9	41	15	2
9	41	20	5
9	41	25	6
9	41	30	6
9	41	35	4
9	42	10	2
9	42	15	5
9	42	20	3
9	42	25	6
9	42	30	8
9	42	35	5
9	43	15	3
9	43	20	1
9	43	25	4
9	43	30	4
9	43	35	8
9	44	15	1
9	44	20	2
9	44	25	3
9	44	30	3
9	44	35	2
9	45	30	2
9	45	35	2
9	46	15	2
9	46	20	4
9	46	25	1
9	46	30	3
9	46	35	3
9	47	15	1
9	47	20	2
9	47	25	1
9	47	35	1
9	48	20	1
9	48	25	1
9	48	35	2
9	49	25	1
9	49	35	1
9	51	20	1
9	51	35	1
9	52	15	1
9	52	30	1
9	53	15	2
9	53	20	1
9	53	25	1
10	21	10	1
10	22	25	1
10	23	15	2
10	23	20	1
10	23	30	1
10	23	35	1
10	24	15	5
10	24	20	1
10	24	30	1
10	24	35	1
10	25	10	1
10	25	15	5
10	25	20	2
10	25	25	7
10	25	30	6
10	25	35	5
10	26	15	6
10	26	20	5
10	26	25	6
10	26	30	10
10	26	35	8
10	27	15	3
10	27	20	13
10	27	25	14
10	27	30	17
10	27	35	13
10	28	15	16
10	28	20	14
10	28	25	24
10	28	30	33
10	28	35	24
10	29	15	19
10	29	20	27
10	29	25	36
10	29	30	31
10	29	35	33
10	30	10	2
10	30	15	31
10	30	20	46
10	30	25	30
10	30	30	40
10	30	35	52
10	31	10	2
10	31	15	26
10	31	20	44
10	31	25	40
10	31	30	53
10	31	35	54
10	32	10	1
10	32	15	28
10	32	20	46
10	32	25	61
10	32	30	57
10	32	35	61
10	33	10	1
10	33	15	24
10	33	20	50
10	33	25	51
10	33	30	64
10	33	35	83
10	34	10	1
10	34	15	38
10	34	20	32
10	34	25	44
10	34	30	35
10	34	35	59
10	35	10	2
10	35	15	21
10	35	20	23
10	35	25	39
10	35	30	37
10	35	35	52
10	36	15	25
10	36	20	17
10	36	25	22
10	36	30	34
10	36	35	38
10	37	10	1
10	37	15	15
10	37	20	20
10	37	25	18
10	37	30	21
10	37	35	28
10	38	10	1
10	38	15	13
10	38	20	22
10	38	25	14
10	38	30	17
10	38	35	20
10	39	15	9
10	39	20	13
10	39	25	14
10	39	30	26
10	39	35	20
10	40	15	13
10	40	20	6
10	40	25	17
10	40	30	12
10	40	35	21
10	41	15	13
10	41	20	13
10	41	25	13
10	41	30	10
10	41	35	12
10	42	15	5
10	42	20	4
10	42	25	6
10	42	30	10
10	42	35	12
10	43	15	4
10	43	20	11
10	43	25	11
10	43	30	7
10	43	35	13
10	44	15	3
10	44	20	4
10	44	25	4
10	44	30	4
10	44	35	6
10	45	15	4
10	45	20	6
10	45	25	9
10	45	30	9
10	45	35	3
10	46	15	3
10	46	20	2
10	46	25	5
10	46	30	9
10	46	35	6
10	47	15	3
10	47	20	3
10	47	25	6
10	47	30	7
10	47	35	4
10	48	15	2
10	48	20	1
10	48	25	3
10	49	35	1
10	50	15	2
10	52	15	2
10	52	20	1
10	52	25	2
10	52	30	1
10	52	35	1
10	53	15	1
10	53	25	1
10	53	30	1
10	54	15	2
10	54	25	2
11	23	15	1
11	23	20	1
11	23	25	1
11	24	15	3
11	24	20	1
11	24	25	3
11	24	30	3
11	24	35	5
11	25	10	1
11	25	15	4
11	25	20	3
11	25	25	7
11	25	30	6
11	25	35	3
11	26	15	5
11	26	20	10
11	26	25	13
11	26	30	11
11	26	35	10
11	27	15	11
11	27	20	10
11	27	25	25
11	27	30	16
11	27	35	18
11	28	15	32
11	28	20	34
11	28	25	27
11	28	30	43
11	28	35	35
11	29	10	1
11	29	15	24
11	29	20	52
11	29	25	56
11	29	30	47
11	29	35	48
11	30	15	60
11	30	20	56
11	30	25	71
11	30	30	81
11	30	35	75
11	31	10	3
11	31	15	47
11	31	20	72
11	31	25	76
11	31	30	103
11	31	35	93
11	32	10	1
11	32	15	56
11	32	20	73
11	32	25	80
11	32	30	126
11	32	35	93
11	33	10	2
11	33	15	74
11	33	20	95
11	33	25	99
11	33	30	107
11	33	35	95
11	34	10	4
11	34	15	49
11	34	20	80
11	34	25	76
11	34	30	84
11	34	35	90
11	35	10	3
11	35	15	48
11	35	20	46
11	35	25	39
11	35	30	72
11	35	35	51
11	36	10	2
11	36	15	34
11	36	20	38
11	36	25	50
11	36	30	59
11	36	35	56
11	37	10	2
11	37	15	32
11	37	20	32
11	37	25	50
11	37	30	36
11	37	35	50
11	38	10	1
11	38	15	18
11	38	20	18
11	38	25	36
11	38	30	34
11	38	35	33
11	39	15	24
11	39	20	33
11	39	25	31
11	39	30	27
11	39	35	25
11	40	10	2
11	40	15	23
11	40	20	17
11	40	25	36
11	40	30	28
11	40	35	26
11	41	15	18
11	41	20	28
11	41	25	17
11	41	30	29
11	41	35	21
11	42	10	3
11	42	15	13
11	42	20	24
11	42	25	10
11	42	30	13
11	42	35	14
11	43	15	9
11	43	20	7
11	43	25	18
11	43	30	14
11	43	35	10
11	44	15	9
11	44	20	10
11	44	25	23
11	44	30	14
11	44	35	15
11	45	15	2
11	45	20	10
11	45	25	8
11	45	30	9
11	45	35	5
11	46	15	7
11	46	20	11
11	46	25	9
11	46	30	9
11	46	35	7
11	47	10	1
11	47	15	4
11	47	20	4
11	47	25	7
11	47	30	10
11	47	35	5
11	48	20	2
11	48	25	4
11	48	30	2
11	48	35	2
11	49	15	1
11	49	20	1
11	49	25	1
11	49	30	1
11	49	35	1
11	50	25	2
11	51	20	3
11	51	30	1
11	52	20	3
11	52	25	3
11	53	20	4
11	53	25	2
11	53	30	2
11	54	15	2
11	54	20	5
11	54	25	1
12	22	20	1
12	22	35	1
12	23	20	1
12	23	30	1
12	24	15	1
12	24	20	1
12	24	25	1
12	24	30	6
12	24	35	4
12	25	20	4
12	25	25	4
12	25	30	10
12	25	35	5
12	26	15	6
12	26	20	9
12	26	25	11
12	26	30	14
12	26	35	8
12	27	15	20
12	27	20	28
12	27	25	25
12	27	30	22
12	27	35	22
12	28	10	1
12	28	15	25
12	28	20	46
12	28	25	46
12	28	30	47
12	28	35	23
12	29	10	2
12	29	15	38
12	29	20	59
12	29	25	75
12	29	30	56
12	29	35	51
12	30	10	4
12	30	15	49
12	30	20	69
12	30	25	107
12	30	30	112
12	30	35	77
12	31	10	3
12	31	15	68
12	31	20	74
12	31	25	108
12	31	30	133
12	31	35	79
12	32	10	4
12	32	15	79
12	32	20	105
12	32	25	121
12	32	30	144
12	32	35	90
12	33	10	2
12	33	15	67
12	33	20	133
12	33	25	133
12	33	30	120
12	33	35	100
12	34	10	2
12	34	15	69
12	34	20	112
12	34	25	97
12	34	30	102
12	34	35	106
12	35	10	3
12	35	15	66
12	35	20	71
12	35	25	61
12	35	30	82
12	35	35	58
12	36	15	43
12	36	20	53
12	36	25	57
12	36	30	74
12	36	35	35
12	37	15	28
12	37	20	43
12	37	25	44
12	37	30	44
12	37	35	43
12	38	15	25
12	38	20	46
12	38	25	45
12	38	30	39
12	38	35	32
12	39	10	3
12	39	15	24
12	39	20	49
12	39	25	52
12	39	30	51
12	39	35	22
12	40	10	1
12	40	15	16
12	40	20	39
12	40	25	43
12	40	30	13
12	40	35	30
12	41	10	2
12	41	15	20
12	41	20	32
12	41	25	25
12	41	30	30
12	41	35	17
12	42	15	15
12	42	20	28
12	42	25	22
12	42	30	28
12	42	35	15
12	43	10	1
12	43	15	9
12	43	20	18
12	43	25	24
12	43	30	20
12	43	35	13
12	44	10	1
12	44	15	11
12	44	20	10
12	44	25	14
12	44	30	21
12	44	35	7
12	45	15	14
12	45	20	14
12	45	25	14
12	45	30	11
12	45	35	8
12	46	15	6
12	46	20	12
12	46	25	17
12	46	30	18
12	46	35	7
12	47	15	4
12	47	20	7
12	47	25	6
12	47	30	10
12	48	10	1
12	48	15	1
12	48	20	1
12	48	25	2
12	48	30	1
12	49	30	1
12	49	35	1
12	50	30	1
12	50	35	2
12	51	25	1
12	51	30	2
12	51	35	1
12	52	15	4
12	52	20	1
12	52	30	2
12	52	35	1
12	53	15	3
12	53	20	2
12	53	25	2
12	53	30	1
12	53	35	1
12	54	15	1
12	54	20	1
12	54	30	1
12	54	35	1
13	22	20	1
13	22	30	1
13	23	20	1
13	23	25	2
13	23	35	2
13	24	15	1
13	24	20	3
13	24	25	2
13	24	30	2
13	24	35	1
13	25	15	3
13	25	20	5
13	25	25	9
13	25	30	9
13	25	35	4
13	26	15	4
13	26	20	19
13	26	25	9
13	26	30	22
13	26	35	8
13	27	10	1
13	27	15	15
13	27	20	22
13	27	25	25
13	27	30	30
13	27	35	19
13	28	15	33
13	28	20	46
13	28	25	57
13	28	30	55
13	28	35	24
13	29	10	3
13	29	15	52
13	29	20	66
13	29	25	83
13	29	30	92
13	29	35	35
13	30	10	3
13	30	15	78
13	30	20	110
13	30	25	102
13	30	30	128
13	30	35	59
13	31	10	2
