length_bp	read_count
324	1
806	1
844	1
1029	1
1253	1
1274	1
1309	1
1424	1
1480	1
1498	1
1525	1
1527	1
1618	1
1708	1
1765	1
1836	1
1921	1
1976	1
2015	1
2113	1
2121	1
2130	1
2131	1
2134	1
2147	1
2209	1
2227	2
2299	1
2329	1
2353	1
2365	1
2369	1
2381	1
2382	1
2416	1
2497	1
2527	1
2587	1
2681	1
2699	1
2730	1
2734	1
2791	1
2813	1
2897	1
2961	1
3043	1
3070	1
3319	1
3328	1
3346	1
3369	1
3452	1
3499	1
3556	1
3612	1
3617	1
3686	1
3720	1
3762	1
3766	1
3770	1
3780	1
3828	1
3830	1
3843	1
3924	1
4023	1
4047	1
4137	1
4144	2
4207	1
4214	1
4220	1
4236	1
4240	1
4253	1
4299	1
4339	1
4408	1
4435	1
4436	1
4470	1
4484	1
4528	1
4534	1
4543	1
4546	1
4554	1
4576	1
4588	1
4630	1
4669	1
4674	2
4684	1
4737	1
4761	1
4780	1
4825	1
4827	1
4838	1
4843	1
4854	1
4903	1
4920	1
5030	1
5035	1
5061	1
5092	1
5148	1
5168	1
5239	1
5249	1
5270	1
5281	1
5324	1
5328	1
5341	1
5349	1
5369	1
5391	1
5397	1
5438	1
5527	1
5532	1
5543	1
5545	1
5571	1
5579	1
5581	1
5598	1
5604	1
5621	1
5624	1
5625	1
5652	1
5672	1
5674	1
5697	1
5738	1
5777	1
5783	1
5797	1
5799	1
5885	1
5890	1
5894	1
5899	1
5934	1
5967	1
5968	1
6014	1
6032	2
6042	1
6061	1
6084	1
6224	1
6228	1
6236	1
6268	1
6269	1
6286	1
6307	1
6322	1
6324	1
6327	1
6334	1
6354	1
6382	1
6396	1
6417	1
6442	1
6458	1
6467	1
6473	1
6493	1
6501	1
6518	1
6548	2
6559	1
6578	1
6586	1
6602	1
6620	1
6636	1
6653	1
6660	1
6665	1
6685	1
6688	1
6700	1
6704	1
6716	1
6724	1
6746	1
6753	1
6780	1
6784	1
6801	1
6839	1
6851	1
6907	1
6911	1
6951	1
6967	1
6982	1
6992	1
7000	1
7002	1
7007	1
7013	1
7017	1
7022	1
7027	1
7031	1
7035	1
7080	1
7095	1
7096	1
7105	1
7112	1
7131	1
7153	1
7154	1
7158	1
7195	1
7199	1
7203	1
7216	1
7219	1
7224	1
7225	1
7304	1
7318	1
7341	1
7357	1
7364	1
7407	2
7416	1
7429	1
7440	1
7460	1
7475	1
7477	2
7483	1
7485	1
7503	1
7509	1
7515	1
7525	1
7546	2
7600	1
7616	1
7623	1
7624	1
7637	1
7642	1
7681	1
7708	1
7722	1
7737	1
7742	1
7753	1
7756	3
7761	1
7776	1
7777	1
7800	1
7815	1
7824	1
7836	1
7841	1
7865	1
7872	1
7919	1
7936	1
7961	1
7966	1
7968	1
7981	1
7983	1
7991	1
8003	1
8015	1
8022	1
8033	1
8056	2
8078	1
8088	1
8090	1
8092	1
8100	1
8115	1
8128	1
8136	1
8138	1
8148	1
8155	1
8166	1
8169	1
8176	1
8187	1
8189	1
8194	1
8198	1
8203	1
8215	1
8223	1
8251	1
8264	1
8268	1
8270	1
8276	1
8277	1
8282	1
8284	1
8292	1
8297	1
8302	1
8304	1
8313	1
