seed	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
4101	1	0	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
4101	1	0	5000	1	f2	1.0	False	1.9137	possible_overexpansion	False	TN
4101	1	0	5000	1	f3	1.0	False	1.1224	consistent	False	TN
4101	1	0	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
4101	1	0	5000	0.75	f2	0.75	False	1.4353	consistent	False	TN
4101	1	0	5000	0.75	f3	0.75	False	0.8418	consistent	False	TN
4101	1	0	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
4101	1	0	5000	0.5	f2	0.5	True	0.957	consistent	False	FN
4101	1	0	5000	0.5	f3	0.5	True	0.5612	possible_collapse	True	TP
4101	1	0	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
4101	1	0	5000	0.25	f2	0.25	True	0.4786	possible_collapse	True	TP
4101	1	0	5000	0.25	f3	0.25	True	0.2806	possible_collapse	True	TP
4101	1	0	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
4101	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
4101	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
4101	1	0.001	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
4101	1	0.001	5000	1	f2	1.0	False	1.9137	possible_overexpansion	False	TN
4101	1	0.001	5000	1	f3	1.0	False	1.1415	consistent	False	TN
4101	1	0.001	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
4101	1	0.001	5000	0.75	f2	0.75	False	1.4353	consistent	False	TN
4101	1	0.001	5000	0.75	f3	0.75	False	0.8561	consistent	False	TN
4101	1	0.001	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
4101	1	0.001	5000	0.5	f2	0.5	True	0.957	consistent	False	FN
4101	1	0.001	5000	0.5	f3	0.5	True	0.5708	possible_collapse	True	TP
4101	1	0.001	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
4101	1	0.001	5000	0.25	f2	0.25	True	0.4786	possible_collapse	True	TP
4101	1	0.001	5000	0.25	f3	0.25	True	0.2854	possible_collapse	True	TP
4101	1	0.001	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
4101	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
4101	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
4101	1	0.01	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
4101	1	0.01	5000	1	f2	1.0	False	2.3639	possible_overexpansion	False	TN
4101	1	0.01	5000	1	f3	1.0	False	1.3856	consistent	False	TN
4101	1	0.01	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
4101	1	0.01	5000	0.75	f2	0.75	False	1.773	possible_overexpansion	False	TN
4101	1	0.01	5000	0.75	f3	0.75	False	1.0392	consistent	False	TN
4101	1	0.01	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
4101	1	0.01	5000	0.5	f2	0.5	True	1.1821	consistent	False	FN
4101	1	0.01	5000	0.5	f3	0.5	True	0.6928	consistent	False	FN
4101	1	0.01	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
4101	1	0.01	5000	0.25	f2	0.25	True	0.5912	possible_collapse	True	TP
4101	1	0.01	5000	0.25	f3	0.25	True	0.3464	possible_collapse	True	TP
