seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5701	0.01	1	500	iid_base	0.9	1	0	5000	1	f1	1.0	False	1.2309	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0	5000	1	f2	1.0	False	0.4727	possible_collapse	True	FP
5701	0.01	1	500	iid_base	0.9	1	0	5000	1	f3	1.0	False	1.2962	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.75	f1	0.75	False	0.9129	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.75	f2	0.75	False	0.3545	possible_collapse	True	FP
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.75	f3	0.75	False	0.9721	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.5	f1	0.5	True	0.6165	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.5	f2	0.5	True	0.2364	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.5	f3	0.5	True	0.6479	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.25	f1	0.25	True	0.3036	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.25	f2	0.25	True	0.1182	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0	5000	0.25	f3	0.25	True	0.3241	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	1	f1	1.0	False	1.2309	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	1	f2	1.0	False	0.4812	possible_collapse	True	FP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	1	f3	1.0	False	1.3218	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.75	f1	0.75	False	0.9129	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.75	f2	0.75	False	0.3609	possible_collapse	True	FP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.75	f3	0.75	False	0.9913	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.5	f1	0.5	True	0.6165	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.5	f2	0.5	True	0.2406	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.5	f3	0.5	True	0.6607	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.25	f1	0.25	True	0.3036	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.25	f2	0.25	True	0.1203	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0.25	f3	0.25	True	0.3305	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	1	f1	1.0	False	1.515	possible_overexpansion	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	1	f2	1.0	False	0.5953	possible_collapse	True	FP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	1	f3	1.0	False	1.5819	possible_overexpansion	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.75	f1	0.75	False	1.1236	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.75	f2	0.75	False	0.4465	possible_collapse	True	FP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.75	f3	0.75	False	1.1865	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.5	f1	0.5	True	0.7588	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.5	f2	0.5	True	0.2976	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.5	f3	0.5	True	0.7908	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.25	f1	0.25	True	0.3737	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.25	f2	0.25	True	0.1488	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0.25	f3	0.25	True	0.3955	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	1	f1	1.0	False	1.0887	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0	5000	1	f2	1.0	False	1.1262	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0	5000	1	f3	1.0	False	1.1371	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.75	f1	0.75	False	0.8074	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.75	f2	0.75	False	0.8446	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.75	f3	0.75	False	0.8528	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.5	f1	0.5	True	0.5453	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.5	f2	0.5	True	0.5631	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.5	f3	0.5	True	0.5684	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.25	f1	0.25	True	0.2685	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.25	f2	0.25	True	0.2815	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0.25	f3	0.25	True	0.2843	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	1	f1	1.0	False	1.1262	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	1	f2	1.0	False	1.1488	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	1	f3	1.0	False	1.1649	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.75	f1	0.75	False	0.8353	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.75	f2	0.75	False	0.8616	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.75	f3	0.75	False	0.8737	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.5	f1	0.5	True	0.5641	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.5	f2	0.5	True	0.5744	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.5	f3	0.5	True	0.5823	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.25	f1	0.25	True	0.2778	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.25	f2	0.25	True	0.2872	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0.25	f3	0.25	True	0.2912	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	1	f1	1.0	False	1.2725	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	1	f2	1.0	False	1.4177	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	1	f3	1.0	False	1.4097	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.75	f1	0.75	False	0.9437	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.75	f2	0.75	False	1.0633	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.75	f3	0.75	False	1.0573	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f1	0.5	True	0.6373	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f2	0.5	True	0.7089	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f3	0.5	True	0.7047	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f1	0.25	True	0.3139	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f2	0.25	True	0.3544	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f3	0.25	True	0.3524	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	1	f1	1.0	False	1.1393	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0	5000	1	f2	1.0	False	1.2254	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0	5000	1	f3	1.0	False	1.1867	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f1	0.75	False	0.845	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f2	0.75	False	0.9191	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f3	0.75	False	0.89	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.5	f1	0.5	True	0.5706	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.5	f2	0.5	True	0.6127	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.5	f3	0.5	True	0.5932	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.25	f1	0.25	True	0.281	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.25	f2	0.25	True	0.3064	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	0.25	f3	0.25	True	0.2967	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	1	f1	1.0	False	1.1596	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	1	f2	1.0	False	1.2494	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	1	f3	1.0	False	1.2148	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.75	f1	0.75	False	0.86	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.75	f2	0.75	False	0.937	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.75	f3	0.75	False	0.9111	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.5	f1	0.5	True	0.5808	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.5	f2	0.5	True	0.6247	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.5	f3	0.5	True	0.6073	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.25	f1	0.25	True	0.286	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.25	f2	0.25	True	0.3123	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0.25	f3	0.25	True	0.3037	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	1	f1	1.0	False	1.4252	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	1	f2	1.0	False	1.526	possible_overexpansion	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	1	f3	1.0	False	1.4677	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.75	f1	0.75	False	1.057	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.75	f2	0.75	False	1.1445	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.75	f3	0.75	False	1.1008	consistent	False	TN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.5	f1	0.5	True	0.7138	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.5	f2	0.5	True	0.763	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.5	f3	0.5	True	0.7337	consistent	False	FN
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.25	f1	0.25	True	0.3515	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.25	f2	0.25	True	0.3815	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0.25	f3	0.25	True	0.3669	possible_collapse	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0	5000	1	f1	1.0	False	1.2946	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0	5000	1	f2	1.0	False	0.5615	possible_collapse	True	FP
5701	0.01	3	500	iid_base	0.9	1	0	5000	1	f3	1.0	False	1.2524	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.75	f1	0.75	False	0.9593	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.75	f2	0.75	False	0.4211	possible_collapse	True	FP
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.75	f3	0.75	False	0.9391	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.5	f1	0.5	True	0.6489	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.5	f2	0.5	True	0.2807	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.5	f3	0.5	True	0.6258	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.25	f1	0.25	True	0.3201	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.25	f2	0.25	True	0.1404	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0	5000	0.25	f3	0.25	True	0.3131	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	1	f1	1.0	False	1.3871	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	1	f2	1.0	False	0.5696	possible_collapse	True	FP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	1	f3	1.0	False	1.2766	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.75	f1	0.75	False	1.0278	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.75	f2	0.75	False	0.4272	possible_collapse	True	FP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.75	f3	0.75	False	0.9573	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.5	f1	0.5	True	0.6953	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.5	f2	0.5	True	0.2848	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.5	f3	0.5	True	0.6379	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.25	f1	0.25	True	0.343	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.25	f2	0.25	True	0.1424	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0.25	f3	0.25	True	0.3192	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	1	f1	1.0	False	1.6183	possible_overexpansion	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	1	f2	1.0	False	0.6767	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	1	f3	1.0	False	1.5581	possible_overexpansion	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.75	f1	0.75	False	1.1992	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.75	f2	0.75	False	0.5075	possible_collapse	True	FP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.75	f3	0.75	False	1.1683	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.5	f1	0.5	True	0.8112	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.5	f2	0.5	True	0.3383	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.5	f3	0.5	True	0.7785	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.25	f1	0.25	True	0.4002	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.25	f2	0.25	True	0.1692	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0.25	f3	0.25	True	0.3896	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	5	0	5000	1	f1	1.0	False	1.3075	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0	5000	1	f2	1.0	False	1.2612	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0	5000	1	f3	1.0	False	1.2025	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.75	f1	0.75	False	0.9689	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.75	f2	0.75	False	0.9459	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.75	f3	0.75	False	0.9017	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.5	f1	0.5	True	0.6554	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.5	f2	0.5	True	0.6306	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.5	f3	0.5	True	0.6008	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.25	f1	0.25	True	0.3233	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.25	f2	0.25	True	0.3153	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	5	0	5000	0.25	f3	0.25	True	0.3007	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	1	f1	1.0	False	1.3252	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	1	f2	1.0	False	1.2855	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	1	f3	1.0	False	1.2291	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.75	f1	0.75	False	0.982	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.75	f2	0.75	False	0.9642	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.75	f3	0.75	False	0.9217	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.5	f1	0.5	True	0.6643	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.5	f2	0.5	True	0.6428	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.5	f3	0.5	True	0.6141	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.25	f1	0.25	True	0.3277	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.25	f2	0.25	True	0.3214	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0.25	f3	0.25	True	0.3073	possible_collapse	True	TP
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	1	f1	1.0	False	1.6621	possible_overexpansion	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	1	f2	1.0	False	1.5557	possible_overexpansion	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	1	f3	1.0	False	1.4848	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	0.75	f1	0.75	False	1.2317	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	0.75	f2	0.75	False	1.1667	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	0.75	f3	0.75	False	1.1134	consistent	False	TN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	0.5	f1	0.5	True	0.8332	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	0.5	f2	0.5	True	0.7778	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	0.5	f3	0.5	True	0.7419	consistent	False	FN
5701	0.01	3	500	iid_base	0.9	5	0.01	5000	0.25	f1	0.25	True	0.411	possible_collapse	True	TP
