seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5701	0.01	1	500	iid_base	0.9	1	0	5000	f1	20	15.928	-0.20359999999999995	0.20359999999999995	13.937	17.919	False	0.19910000000000005	19.91	-0.004499999999999993	-0.19909999999999997	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0	5000	f2	80	169.235	1.1154375	1.1154375	161.271	184.1675	False	0.28620625000000005	210.0330350877193	1.6254129385964913	-0.5099754385964911	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0	5000	f3	200	154.3025	-0.22848749999999995	0.22848749999999995	144.3475	164.2575	False	0.09954999999999999	191.34881472684086	-0.04325592636579571	-0.18523157363420423	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	f1	20	15.928	-0.20359999999999995	0.20359999999999995	13.937	17.919	False	0.19910000000000005	19.91	-0.004499999999999993	-0.19909999999999997	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	f2	80	166.2485	1.07810625	1.07810625	157.289	181.181	False	0.2986500000000003	210.0330350877193	1.6254129385964913	-0.5473066885964911	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0.001	5000	f3	200	151.316	-0.24342	0.24342	141.361	160.2755	False	0.09457250000000002	191.34881472684086	-0.04325592636579571	-0.20016407363420427	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	f1	20	12.9415	-0.35292500000000004	0.35292500000000004	8.9595	15.928	False	0.34842500000000004	19.91	-0.004499999999999993	-0.34842500000000004	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	f2	80	134.3925	0.6799062500000002	0.6799062500000002	126.4285	148.3295	False	0.27376249999999996	210.0330350877193	1.6254129385964913	-0.9455066885964911	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	1	0.01	5000	f3	200	126.4285	-0.3678575	0.3678575	114.4825	137.379	False	0.11448249999999995	191.34881472684086	-0.04325592636579571	-0.3246015736342043	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	5	0	5000	f1	20	18.009	-0.09954999999999999	0.09954999999999999	15.6078	20.6104	True	0.25012999999999996	22.87706400856743	0.14385320042837152	-0.2434032004283715	diagnostic_kmer_10_90_spread_not_sampling_CI
