unit_substitution_rate	array_fragments	coverage	substitution_rate	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
0.01	1	1	0	9	0.16943597222222223	0.22848749999999995	0.39721125	0.1111111111111111	0.22454055555555558	0.48138118855134665	-0.3119452163291244
0.01	1	1	0.001	9	0.14454847222222225	0.24093125000000004	0.38338486111111114	0.1111111111111111	0.21458555555555558	0.48138118855134665	-0.33683271632912437
0.01	1	1	0.01	9	-0.06561263888888887	0.3678575	0.40374180555555556	0.1111111111111111	0.2516402777777778	0.48138118855134665	-0.5469938274402355
0.01	1	5	0	9	-0.14067969444444445	0.19959749999999996	0.19637525	0.1111111111111111	0.15502272222222221	0.08755686730458224	-0.22823656174902668
0.01	1	5	0.001	9	-0.16130116666666666	0.21060999999999996	0.20810338888888888	0.1111111111111111	0.14979788888888892	0.08755686730458224	-0.2488580339712489
0.01	1	5	0.01	9	-0.29953725	0.29464625	0.30187280555555557	0.1111111111111111	0.1351794722222222	0.08755686730458224	-0.38709411730458226
0.01	1	20	0	9	-0.19723597222222222	0.17983800000000003	0.19723597222222222	0.1111111111111111	0.13276111111111114	0.015295428771157728	-0.21253140099337994
0.01	1	20	0.001	9	-0.21396605555555556	0.19559600000000002	0.21396605555555556	0.1111111111111111	0.1309825277777778	0.015295428771157728	-0.22926148432671328
0.01	1	20	0.01	9	-0.3509656666666667	0.3356665	0.3509656666666667	0	0.11240355555555555	0.015295428771157728	-0.36626109543782437
0.01	3	1	0	9	0.10312916666666669	0.21686249999999996	0.32387750000000004	0.2222222222222222	0.19760888888888892	0.41423451923774424	-0.3111053525710775
0.01	3	1	0.001	9	0.07365625000000002	0.2168625	0.32471958333333334	0.2222222222222222	0.19620541666666663	0.41423451923774424	-0.3405782692377442
0.01	3	1	0.01	9	-0.11076000000000003	0.38106875	0.3540169444444444	0	0.16532902777777778	0.41423451923774424	-0.5249945192377442
0.01	3	5	0	9	-0.1753143888888889	0.19960375	0.1887643888888889	0	0.14657294444444446	0.05342459227311168	-0.2287389811620006
0.01	3	5	0.001	9	-0.19076649999999998	0.21711249999999999	0.1997698333333333	0.1111111111111111	0.1491299722222222	0.05342459227311168	-0.24419109227311167
0.01	3	5	0.01	9	-0.33261494444444445	0.35218	0.33261494444444445	0	0.12545050000000002	0.05342459227311168	-0.38603953671755614
0.01	3	20	0	9	-0.22589483333333332	0.20711000000000004	0.22589483333333332	0	0.12839666666666663	-0.004004906166139935	-0.22188992716719338
0.01	3	20	0.001	9	-0.24187505555555558	0.224615	0.24187505555555558	0	0.12340875000000001	-0.004004906166139935	-0.23787014938941564
0.01	3	20	0.01	9	-0.37271733333333334	0.36468625	0.37271733333333334	0	0.10870552777777778	-0.004004906166139935	-0.3687124271671934
0.03	1	1	0	9	-0.22351000000000001	0.452475	0.42061	0.1111111111111111	0.27431555555555553	0.48138118855134665	-0.7048911885513467
0.03	1	1	0.001	9	-0.24176083333333334	0.44347499999999995	0.4195038888888889	0.1111111111111111	0.26436055555555554	0.48138118855134665	-0.72314202188468
0.03	1	1	0.01	9	-0.38527875	0.512205	0.4468801388888889	0.2222222222222222	0.2497045833333333	0.48138118855134665	-0.8666599385513466
0.03	1	5	0	9	-0.4310480833333334	0.41970999999999997	0.4310480833333334	0.1111111111111111	0.1813690277777778	0.08755686730458224	-0.5186049506379156
0.03	1	5	0.001	9	-0.4407196388888889	0.43221499999999996	0.4407196388888889	0.1111111111111111	0.1788677777777778	0.08755686730458224	-0.5282765061934711
0.03	1	5	0.01	9	-0.53943575	0.5372675	0.53943575	0	0.1493525277777778	0.08755686730458224	-0.6269926173045822
0.03	1	20	0	9	-0.46770430555555553	0.454725	0.46770430555555553	0	0.15304908333333334	0.015295428771157728	-0.4829997343267133
0.03	1	20	0.001	9	-0.47741772222222223	0.46535624999999997	0.47741772222222223	0	0.15085297222222221	0.015295428771157728	-0.4927131509933799
0.03	1	20	0.01	9	-0.5690752222222222	0.5625305	0.5690752222222222	0	0.12181097222222222	0.015295428771157728	-0.5843706509933799
0.03	3	1	0	9	-0.2592473611111111	0.4147	0.38461263888888886	0.2222222222222222	0.2747998611111111	0.41423451923774424	-0.6734818803488553
0.03	3	1	0.001	9	-0.2715979166666666	0.4147	0.3885423611111111	0.2222222222222222	0.2708701388888889	0.41423451923774424	-0.6858324359044108
0.03	3	1	0.01	9	-0.4153134722222222	0.5099075	0.42887458333333334	0.2222222222222222	0.2512215277777778	0.41423451923774424	-0.8295479914599664
