seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5701	0.01	1	500	iid_base	0.9	1	f1	1220	1196	1196	0.980327868852459	1.0	1	1
5701	0.01	1	500	iid_base	0.9	1	f2	13680	13680	13680	1.0	1.0	1	1
5701	0.01	1	500	iid_base	0.9	1	f3	84200	84201	84200	1.0	0.9999881236564886	1	1
5701	0.01	1	500	iid_base	0.9	0.75	f1	915	887	887	0.9693989071038251	1.0	1	1
5701	0.01	1	500	iid_base	0.9	0.75	f2	10260	10260	10260	1.0	1.0	1	1
5701	0.01	1	500	iid_base	0.9	0.75	f3	63150	63151	63150	1.0	0.9999841649380057	1	1
5701	0.01	1	500	iid_base	0.9	0.5	f1	610	599	599	0.9819672131147541	1.0	1	1
5701	0.01	1	500	iid_base	0.9	0.5	f2	6840	6840	6840	1.0	1.0	1	1
5701	0.01	1	500	iid_base	0.9	0.5	f3	42100	42091	42090	0.9997624703087886	0.9999762419519612	1	1
5701	0.01	1	500	iid_base	0.9	0.25	f1	305	295	295	0.9672131147540983	1.0	1	1
5701	0.01	1	500	iid_base	0.9	0.25	f2	3420	3420	3420	1.0	1.0	1	1
5701	0.01	1	500	iid_base	0.9	0.25	f3	21050	21051	21050	1.0	0.9999524963184647	1	1
5701	0.01	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5701	0.01	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5701	0.01	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5701	0.01	3	500	iid_base	0.9	1	f1	1220	1197	1196	0.980327868852459	0.9991645781119465	3	3
5701	0.01	3	500	iid_base	0.9	1	f2	13680	13680	13680	1.0	1.0	3	3
5701	0.01	3	500	iid_base	0.9	1	f3	84200	84179	84176	0.9997149643705463	0.9999643616578957	3	3
5701	0.01	3	500	iid_base	0.9	0.75	f1	915	887	886	0.9683060109289617	0.9988726042841037	3	3
5701	0.01	3	500	iid_base	0.9	0.75	f2	10260	10260	10260	1.0	1.0	3	3
5701	0.01	3	500	iid_base	0.9	0.75	f3	63150	63124	63121	0.9995407759303246	0.9999524744946454	3	3
5701	0.01	3	500	iid_base	0.9	0.5	f1	610	600	599	0.9819672131147541	0.9983333333333333	3	3
5701	0.01	3	500	iid_base	0.9	0.5	f2	6840	6840	6840	1.0	1.0	3	3
5701	0.01	3	500	iid_base	0.9	0.5	f3	42100	42062	42061	0.9990736342042755	0.999976225571775	3	3
5701	0.01	3	500	iid_base	0.9	0.25	f1	305	296	295	0.9672131147540983	0.9966216216216216	3	3
5701	0.01	3	500	iid_base	0.9	0.25	f2	3420	3420	3420	1.0	1.0	3	3
5701	0.01	3	500	iid_base	0.9	0.25	f3	21050	21048	21045	0.9997624703087886	0.9998574686431014	3	3
5701	0.01	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5701	0.01	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5701	0.01	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5701	0.03	1	500	iid_base	0.9	1	f1	1220	1126	1126	0.9229508196721311	1.0	2	1
5701	0.03	1	500	iid_base	0.9	1	f2	13680	13680	13680	1.0	1.0	1	1
5701	0.03	1	500	iid_base	0.9	1	f3	84200	84201	84200	1.0	0.9999881236564886	1	1
5701	0.03	1	500	iid_base	0.9	0.75	f1	915	821	821	0.8972677595628415	1.0	2	1
5701	0.03	1	500	iid_base	0.9	0.75	f2	10260	10260	10260	1.0	1.0	1	1
5701	0.03	1	500	iid_base	0.9	0.75	f3	63150	63151	63150	1.0	0.9999841649380057	1	1
5701	0.03	1	500	iid_base	0.9	0.5	f1	610	516	516	0.8459016393442623	1.0	2	1
5701	0.03	1	500	iid_base	0.9	0.5	f2	6840	6840	6840	1.0	1.0	1	1
5701	0.03	1	500	iid_base	0.9	0.5	f3	42100	42101	42100	1.0	0.999976247595069	1	1
5701	0.03	1	500	iid_base	0.9	0.25	f1	305	196	196	0.6426229508196721	1.0	2	1
5701	0.03	1	500	iid_base	0.9	0.25	f2	3420	3420	3420	1.0	1.0	1	1
5701	0.03	1	500	iid_base	0.9	0.25	f3	21050	21019	21018	0.9984798099762471	0.9999524239973357	1	1
5701	0.03	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5701	0.03	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5701	0.03	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5701	0.03	3	500	iid_base	0.9	1	f1	1220	1109	1109	0.909016393442623	1.0	4	3
5701	0.03	3	500	iid_base	0.9	1	f2	13680	13664	13664	0.9988304093567252	1.0	3	3
5701	0.03	3	500	iid_base	0.9	1	f3	84200	84164	84163	0.9995605700712589	0.9999881184354356	3	3
5701	0.03	3	500	iid_base	0.9	0.75	f1	915	807	806	0.8808743169398907	0.9987608426270136	4	3
5701	0.03	3	500	iid_base	0.9	0.75	f2	10260	10242	10242	0.9982456140350877	1.0	3	3
5701	0.03	3	500	iid_base	0.9	0.75	f3	63150	63078	63077	0.9988440221694378	0.999984146612131	3	3
5701	0.03	3	500	iid_base	0.9	0.5	f1	610	497	497	0.8147540983606557	1.0	4	3
5701	0.03	3	500	iid_base	0.9	0.5	f2	6840	6829	6829	0.998391812865497	1.0	3	3
5701	0.03	3	500	iid_base	0.9	0.5	f3	42100	42076	42075	0.9994061757719715	0.9999762334822702	3	3
5701	0.03	3	500	iid_base	0.9	0.25	f1	305	150	150	0.4918032786885246	1.0	2	3
5701	0.03	3	500	iid_base	0.9	0.25	f2	3420	3409	3409	0.9967836257309941	1.0	3	3
5701	0.03	3	500	iid_base	0.9	0.25	f3	21050	20988	20987	0.9970071258907364	0.9999523537259386	3	3
5701	0.03	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5701	0.03	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5701	0.03	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5701	0.05	1	500	iid_base	0.9	1	f1	1220	1060	1060	0.8688524590163934	1.0	3	1
5701	0.05	1	500	iid_base	0.9	1	f2	13680	13677	13677	0.9997807017543859	1.0	1	1
5701	0.05	1	500	iid_base	0.9	1	f3	84200	84120	84120	0.9990498812351544	1.0	1	1
5701	0.05	1	500	iid_base	0.9	0.75	f1	915	765	765	0.8360655737704918	1.0	3	1
5701	0.05	1	500	iid_base	0.9	0.75	f2	10260	10260	10260	1.0	1.0	1	1
5701	0.05	1	500	iid_base	0.9	0.75	f3	63150	63121	63121	0.9995407759303246	1.0	1	1
5701	0.05	1	500	iid_base	0.9	0.5	f1	610	418	418	0.6852459016393443	1.0	2	1
5701	0.05	1	500	iid_base	0.9	0.5	f2	6840	6811	6811	0.9957602339181286	1.0	1	1
5701	0.05	1	500	iid_base	0.9	0.5	f3	42100	42032	42032	0.9983847980997624	1.0	1	1
5701	0.05	1	500	iid_base	0.9	0.25	f1	305	232	232	0.760655737704918	1.0	2	1
5701	0.05	1	500	iid_base	0.9	0.25	f2	3420	3420	3420	1.0	1.0	1	1
5701	0.05	1	500	iid_base	0.9	0.25	f3	21050	21001	21001	0.9976722090261283	1.0	1	1
5701	0.05	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5701	0.05	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5701	0.05	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5701	0.05	3	500	iid_base	0.9	1	f1	1220	1009	1009	0.8270491803278689	1.0	5	3
5701	0.05	3	500	iid_base	0.9	1	f2	13680	13551	13551	0.9905701754385965	1.0	3	3
5701	0.05	3	500	iid_base	0.9	1	f3	84200	84089	84089	0.9986817102137767	1.0	3	3
5701	0.05	3	500	iid_base	0.9	0.75	f1	915	724	723	0.7901639344262295	0.9986187845303868	4	3
5701	0.05	3	500	iid_base	0.9	0.75	f2	10260	10180	10180	0.9922027290448343	1.0	3	3
5701	0.05	3	500	iid_base	0.9	0.75	f3	63150	63032	63032	0.9981314330958037	1.0	3	3
5701	0.05	3	500	iid_base	0.9	0.5	f1	610	274	273	0.44754098360655736	0.9963503649635036	3	3
5701	0.05	3	500	iid_base	0.9	0.5	f2	6840	6786	6786	0.9921052631578947	1.0	3	3
5701	0.05	3	500	iid_base	0.9	0.5	f3	42100	41957	41957	0.996603325415677	1.0	3	3
5701	0.05	3	500	iid_base	0.9	0.25	f1	305	129	129	0.42295081967213116	1.0	2	3
5701	0.05	3	500	iid_base	0.9	0.25	f2	3420	3375	3375	0.9868421052631579	1.0	3	3
5701	0.05	3	500	iid_base	0.9	0.25	f3	21050	20927	20927	0.9941567695961995	1.0	3	3
5701	0.05	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5701	0.05	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5701	0.05	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5702	0.01	1	500	iid_base	0.9	1	f1	1220	1221	1220	1.0	0.9991809991809992	1	1
5702	0.01	1	500	iid_base	0.9	1	f2	13680	13637	13637	0.9968567251461988	1.0	1	1
5702	0.01	1	500	iid_base	0.9	1	f3	84200	84158	84158	0.9995011876484561	1.0	1	1
5702	0.01	1	500	iid_base	0.9	0.75	f1	915	916	915	1.0	0.9989082969432315	1	1
5702	0.01	1	500	iid_base	0.9	0.75	f2	10260	10247	10247	0.9987329434697856	1.0	1	1
5702	0.01	1	500	iid_base	0.9	0.75	f3	63150	63108	63108	0.9993349168646081	1.0	1	1
5702	0.01	1	500	iid_base	0.9	0.5	f1	610	611	610	1.0	0.9983633387888707	1	1
5702	0.01	1	500	iid_base	0.9	0.5	f2	6840	6820	6820	0.9970760233918129	1.0	1	1
5702	0.01	1	500	iid_base	0.9	0.5	f3	42100	42058	42058	0.9990023752969122	1.0	1	1
5702	0.01	1	500	iid_base	0.9	0.25	f1	305	306	305	1.0	0.9967320261437909	1	1
5702	0.01	1	500	iid_base	0.9	0.25	f2	3420	3407	3407	0.9961988304093568	1.0	1	1
5702	0.01	1	500	iid_base	0.9	0.25	f3	21050	21008	21008	0.9980047505938242	1.0	1	1
5702	0.01	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5702	0.01	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5702	0.01	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5702	0.01	3	500	iid_base	0.9	1	f1	1220	1206	1205	0.9877049180327869	0.9991708126036484	3	3
5702	0.01	3	500	iid_base	0.9	1	f2	13680	13622	13620	0.9956140350877193	0.9998531786815446	3	3
5702	0.01	3	500	iid_base	0.9	1	f3	84200	84159	84158	0.9995011876484561	0.9999881177295358	3	3
5702	0.01	3	500	iid_base	0.9	0.75	f1	915	904	903	0.9868852459016394	0.9988938053097345	3	3
5702	0.01	3	500	iid_base	0.9	0.75	f2	10260	10237	10235	0.9975633528265108	0.9998046302627723	3	3
5702	0.01	3	500	iid_base	0.9	0.75	f3	63150	63103	63103	0.9992557403008709	1.0	3	3
5702	0.01	3	500	iid_base	0.9	0.5	f1	610	611	610	1.0	0.9983633387888707	3	3
5702	0.01	3	500	iid_base	0.9	0.5	f2	6840	6822	6820	0.9970760233918129	0.9997068308413954	3	3
5702	0.01	3	500	iid_base	0.9	0.5	f3	42100	42040	42039	0.9985510688836104	0.999976213130352	3	3
5702	0.01	3	500	iid_base	0.9	0.25	f1	305	306	305	1.0	0.9967320261437909	3	3
5702	0.01	3	500	iid_base	0.9	0.25	f2	3420	3409	3407	0.9961988304093568	0.9994133176884717	3	3
5702	0.01	3	500	iid_base	0.9	0.25	f3	21050	20990	20989	0.9971021377672209	0.9999523582658408	3	3
5702	0.01	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5702	0.01	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5702	0.01	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5702	0.03	1	500	iid_base	0.9	1	f1	1220	1221	1220	1.0	0.9991809991809992	1	1
5702	0.03	1	500	iid_base	0.9	1	f2	13680	13604	13604	0.9944444444444445	1.0	1	1
5702	0.03	1	500	iid_base	0.9	1	f3	84200	84159	84159	0.9995130641330167	1.0	1	1
5702	0.03	1	500	iid_base	0.9	0.75	f1	915	916	915	1.0	0.9989082969432315	1	1
5702	0.03	1	500	iid_base	0.9	0.75	f2	10260	10229	10229	0.9969785575048733	1.0	1	1
5702	0.03	1	500	iid_base	0.9	0.75	f3	63150	63109	63109	0.9993507521773555	1.0	1	1
5702	0.03	1	500	iid_base	0.9	0.5	f1	610	599	598	0.980327868852459	0.998330550918197	1	1
5702	0.03	1	500	iid_base	0.9	0.5	f2	6840	6812	6812	0.995906432748538	1.0	1	1
5702	0.03	1	500	iid_base	0.9	0.5	f3	42100	42059	42059	0.9990261282660332	1.0	1	1
5702	0.03	1	500	iid_base	0.9	0.25	f1	305	306	305	1.0	0.9967320261437909	1	1
5702	0.03	1	500	iid_base	0.9	0.25	f2	3420	3400	3400	0.9941520467836257	1.0	1	1
