seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5401	0.01	1	500	1	0	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
5401	0.01	1	500	1	0	5000	1	f2	1.0	False	1.4586	consistent	False	TN
5401	0.01	1	500	1	0	5000	1	f3	1.0	False	1.2541	consistent	False	TN
5401	0.01	1	500	1	0	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
5401	0.01	1	500	1	0	5000	0.75	f2	0.75	False	1.0935	consistent	False	TN
5401	0.01	1	500	1	0	5000	0.75	f3	0.75	False	0.9402	consistent	False	TN
5401	0.01	1	500	1	0	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
5401	0.01	1	500	1	0	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0	5000	0.5	f3	0.5	True	0.6263	consistent	False	FN
5401	0.01	1	500	1	0	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
5401	0.01	1	500	1	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0	5000	0.25	f3	0.25	True	0.3114	possible_collapse	True	TP
5401	0.01	1	500	1	0	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.01	1	500	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.001	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
5401	0.01	1	500	1	0.001	5000	1	f2	1.0	False	1.5136	possible_overexpansion	False	TN
5401	0.01	1	500	1	0.001	5000	1	f3	1.0	False	1.278	consistent	False	TN
5401	0.01	1	500	1	0.001	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
5401	0.01	1	500	1	0.001	5000	0.75	f2	0.75	False	1.1348	consistent	False	TN
5401	0.01	1	500	1	0.001	5000	0.75	f3	0.75	False	0.9581	consistent	False	TN
5401	0.01	1	500	1	0.001	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
5401	0.01	1	500	1	0.001	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.001	5000	0.5	f3	0.5	True	0.6382	consistent	False	FN
5401	0.01	1	500	1	0.001	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
5401	0.01	1	500	1	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.001	5000	0.25	f3	0.25	True	0.3174	possible_collapse	True	TP
5401	0.01	1	500	1	0.001	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.01	1	500	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.01	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
5401	0.01	1	500	1	0.01	5000	1	f2	1.0	False	1.8232	possible_overexpansion	False	TN
5401	0.01	1	500	1	0.01	5000	1	f3	1.0	False	1.5435	possible_overexpansion	False	TN
5401	0.01	1	500	1	0.01	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
5401	0.01	1	500	1	0.01	5000	0.75	f2	0.75	False	1.3669	consistent	False	TN
5401	0.01	1	500	1	0.01	5000	0.75	f3	0.75	False	1.1571	consistent	False	TN
5401	0.01	1	500	1	0.01	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
5401	0.01	1	500	1	0.01	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.01	5000	0.5	f3	0.5	True	0.7708	consistent	False	FN
5401	0.01	1	500	1	0.01	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
5401	0.01	1	500	1	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.01	5000	0.25	f3	0.25	True	0.3833	possible_collapse	True	TP
5401	0.01	1	500	1	0.01	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.01	1	500	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
