unit_substitution_rate	array_fragments	coverage	substitution_rate	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
0.01	1	1	0	9	-0.5376455555555556	0.58935625	0.5399638888888889	0.1111111111111111	0.06996152777777778	-0.42992713295952123	-0.10771842259603435
0.01	1	1	0.001	9	-0.5492597222222222	0.6018	0.5492597222222222	0.1111111111111111	0.06996152777777778	-0.42992713295952123	-0.11933258926270103
0.01	1	1	0.01	9	-0.620603888888889	0.651575	0.620603888888889	0	0.07327986111111114	-0.42992713295952123	-0.19067675592936772
0.01	1	5	0	9	-0.31876916666666666	0.18358999999999995	0.31876916666666666	0	0.09326883333333333	-0.14493675263307496	-0.1738324140335917
0.01	1	5	0.001	9	-0.33283175	0.20209875000000005	0.33283175	0	0.09482530555555556	-0.14493675263307496	-0.18789499736692505
0.01	1	5	0.01	9	-0.44850125	0.33666700000000005	0.44850125	0	0.08787763888888893	-0.14493675263307496	-0.30356449736692503
0.01	1	20	0	9	-0.22693149999999998	0.2036	0.22693149999999998	0	0.11265338888888887	-0.020982907683482394	-0.2059485923165176
0.01	1	20	0.001	9	-0.24206424999999998	0.22035849999999996	0.24206424999999998	0	0.11227827777777778	-0.020982907683482394	-0.2210813423165176
0.01	1	20	0.01	9	-0.37406083333333334	0.356927	0.37406083333333334	0	0.09777191666666667	-0.020982907683482394	-0.35307792564985097
0.01	3	1	0	9	-0.5565027777777778	0.5705375	0.5689411111111111	0.1111111111111111	0.0752261111111111	-0.453197564346392	-0.10330521343138574
0.01	3	1	0.001	9	-0.5668884722222222	0.58316875	0.5748356944444444	0.1111111111111111	0.07578750000000001	-0.453197564346392	-0.1136909078758302
0.01	3	1	0.01	9	-0.6370620833333334	0.6589562499999999	0.6370620833333334	0	0.07915583333333333	-0.453197564346392	-0.1838645189869413
0.01	3	5	0	9	-0.30604536111111114	0.19660250000000004	0.30604536111111114	0	0.10877625000000003	-0.12245216666470779	-0.18359319444640335
0.01	3	5	0.001	9	-0.3222199722222222	0.21261049999999998	0.3222199722222222	0	0.10666347222222222	-0.12245216666470779	-0.19976780555751444
0.01	3	5	0.01	9	-0.44266822222222224	0.34667649999999994	0.44266822222222224	0	0.09949330555555555	-0.12245216666470779	-0.3202160555575144
0.01	3	20	0	9	-0.23285622222222221	0.20660749999999994	0.23285622222222221	0	0.12224111111111112	-0.030733525715787094	-0.20212269650643513
0.01	3	20	0.001	9	-0.2495867777777778	0.22286550000000005	0.2495867777777778	0	0.12143591666666667	-0.030733525715787094	-0.2188532520619907
0.01	3	20	0.01	9	-0.3821664444444445	0.35593149999999996	0.3821664444444445	0	0.10342599999999999	-0.030733525715787094	-0.3514329187286574
0.03	1	1	0	9	-0.7068805555555555	0.751125	0.7068805555555555	0	0.08046958333333334	-0.42992713295952123	-0.27695342259603434
0.03	1	1	0.001	9	-0.7146233333333334	0.751125	0.7146233333333334	0	0.08212875000000001	-0.42992713295952123	-0.28469620037381216
0.03	1	1	0.01	9	-0.7577616666666667	0.78845625	0.7577616666666667	0	0.069685	-0.42992713295952123	-0.3278345337071455
0.03	1	5	0	9	-0.5558326666666666	0.4757365	0.5558326666666666	0	0.11266758333333333	-0.14493675263307496	-0.4108959140335917
0.03	1	5	0.001	9	-0.565393	0.486742	0.565393	0	0.11333458333333334	-0.14493675263307496	-0.42045624736692505
0.03	1	5	0.01	9	-0.6404306666666667	0.571785	0.6404306666666667	0	0.10021675	-0.14493675263307496	-0.4954939140335917
0.03	1	20	0	9	-0.49046666666666666	0.48424100000000003	0.49046666666666666	0	0.13580477777777777	-0.020982907683482394	-0.46948375898318423
0.03	1	20	0.001	9	-0.5021112222222222	0.494496	0.5021112222222222	0	0.13233058333333333	-0.020982907683482394	-0.48112831453873983
0.03	1	20	0.01	9	-0.5851525833333333	0.5807895	0.5851525833333333	0	0.11166688888888888	-0.020982907683482394	-0.5641696756498509
0.03	3	1	0	9	-0.7187441666666666	0.747375	0.7187441666666666	0	0.07971722222222223	-0.453197564346392	-0.26554660232027466
0.03	3	1	0.001	9	-0.7240773611111111	0.747375	0.7240773611111111	0	0.08224347222222221	-0.453197564346392	-0.27087979676471907
0.03	3	1	0.01	9	-0.7664622222222222	0.76000625	0.7664622222222222	0	0.07887513888888889	-0.453197564346392	-0.3132646578758302
0.03	3	5	0	9	-0.5421061666666667	0.4837445	0.5421061666666667	0	0.13301047222222223	-0.12245216666470779	-0.4196540000019589
0.03	3	5	0.001	9	-0.5538898333333333	0.4937495	0.5538898333333333	0	0.13095413888888888	-0.12245216666470779	-0.43143766666862554
0.03	3	5	0.01	9	-0.6293718333333334	0.5787915	0.6293718333333334	0	0.11416772222222223	-0.12245216666470779	-0.5069196666686255
