seed	unit_substitution_rate	array_fragments	fragment_gap_bp	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5401	0.01	1	500	1	f1	1220	1221	1220	1.0	0.9991809991809992	1	1
5401	0.01	1	500	1	f2	13680	13656	13656	0.9982456140350877	1.0	1	1
5401	0.01	1	500	1	f3	84200	84095	84094	0.9987410926365796	0.9999881086866045	3	1
5401	0.01	1	500	0.75	f1	915	916	915	1.0	0.9989082969432315	1	1
5401	0.01	1	500	0.75	f2	10260	10238	10238	0.9978557504873294	1.0	1	1
5401	0.01	1	500	0.75	f3	63150	63045	63044	0.9983214568487727	0.9999841383139028	3	1
5401	0.01	1	500	0.5	f1	610	611	610	1.0	0.9983633387888707	1	1
5401	0.01	1	500	0.5	f2	6840	0	0	0.0	NA	0	1
5401	0.01	1	500	0.5	f3	42100	41995	41994	0.9974821852731591	0.9999761876413858	3	1
5401	0.01	1	500	0.25	f1	305	306	305	1.0	0.9967320261437909	1	1
5401	0.01	1	500	0.25	f2	3420	0	0	0.0	NA	0	1
5401	0.01	1	500	0.25	f3	21050	20883	20882	0.9920190023752969	0.999952114159843	2	1
5401	0.01	1	500	0	f1	0	0	0	NA	NA	0	0
5401	0.01	1	500	0	f2	0	0	0	NA	NA	0	0
5401	0.01	1	500	0	f3	0	0	0	NA	NA	0	0
5401	0.01	3	500	1	f1	1220	794	793	0.65	0.9987405541561712	2	3
5401	0.01	3	500	1	f2	13680	9054	9054	0.6618421052631579	1.0	2	3
5401	0.01	3	500	1	f3	84200	84093	84089	0.9986817102137767	0.9999524336151642	5	3
5401	0.01	3	500	0.75	f1	915	612	610	0.6666666666666666	0.9967320261437909	2	3
5401	0.01	3	500	0.75	f2	10260	6839	6839	0.6665692007797271	1.0	2	3
5401	0.01	3	500	0.75	f3	63150	62986	62982	0.9973396674584323	0.9999364938240244	4	3
5401	0.01	3	500	0.5	f1	610	424	422	0.6918032786885245	0.9952830188679245	2	3
5401	0.01	3	500	0.5	f2	6840	2215	2215	0.32383040935672514	1.0	1	3
5401	0.01	3	500	0.5	f3	42100	41993	41989	0.9973634204275534	0.9999047460291001	5	3
5401	0.01	3	500	0.25	f1	305	181	180	0.5901639344262295	0.994475138121547	2	3
5401	0.01	3	500	0.25	f2	3420	0	0	0.0	NA	0	3
5401	0.01	3	500	0.25	f3	21050	20888	20882	0.9920190023752969	0.9997127537342014	4	3
5401	0.01	3	500	0	f1	0	0	0	NA	NA	0	0
5401	0.01	3	500	0	f2	0	0	0	NA	NA	0	0
5401	0.01	3	500	0	f3	0	0	0	NA	NA	0	0
5401	0.03	1	500	1	f1	1220	0	0	0.0	NA	0	1
5401	0.03	1	500	1	f2	13680	0	0	0.0	NA	0	1
5401	0.03	1	500	1	f3	84200	353	353	0.004192399049881235	1.0	1	1
5401	0.03	1	500	0.75	f1	915	0	0	0.0	NA	0	1
5401	0.03	1	500	0.75	f2	10260	0	0	0.0	NA	0	1
