panel	metric	method	unit_substitution_rate	array_fragments	assembly_fraction	value	numerator	denominator
A	fresh_genomes	NA	NA	NA	NA	3.0	3	3
A	unit_divergence	NA	NA	NA	NA	3.0	3	3
A	array_structures	NA	NA	NA	NA	2.0	2	2
A	paired_conditions	NA	NA	NA	NA	2430.0	2430	2430
A	multi-k_unavailable	NA	NA	NA	NA	270.0	270	270
B	sensitivity	single_k21	NA	NA	NA	0.8436213991769548	NA	NA
B	false_positive_rate	single_k21	NA	NA	NA	0.6430041152263375	NA	NA
B	precision	single_k21	NA	NA	NA	0.6630727762803235	NA	NA
B	sensitivity	multik_fallback_depth_rule	NA	NA	NA	0.8662551440329218	NA	NA
B	false_positive_rate	multik_fallback_depth_rule	NA	NA	NA	0.6820987654320988	NA	NA
B	precision	multik_fallback_depth_rule	NA	NA	NA	0.6557632398753894	NA	NA
C	TP	single_k21	NA	NA	NA	1230.0	1230	2430
C	FN	single_k21	NA	NA	NA	228.0	228	2430
C	FP	single_k21	NA	NA	NA	625.0	625	2430
C	TN	single_k21	NA	NA	NA	347.0	347	2430
C	TP	multik_fallback_depth_rule	NA	NA	NA	1263.0	1263	2430
C	FN	multik_fallback_depth_rule	NA	NA	NA	195.0	195	2430
C	FP	multik_fallback_depth_rule	NA	NA	NA	663.0	663	2430
C	TN	multik_fallback_depth_rule	NA	NA	NA	309.0	309	2430
D	sensitivity	single_k21	0.01	1	NA	0.6995884773662552	NA	NA
D	sensitivity	single_k21	0.03	1	NA	0.8888888888888888	NA	NA
D	sensitivity	single_k21	0.05	1	NA	0.8888888888888888	NA	NA
D	sensitivity	single_k21	0.01	3	NA	0.8106995884773662	NA	NA
D	sensitivity	single_k21	0.03	3	NA	0.8847736625514403	NA	NA
D	sensitivity	single_k21	0.05	3	NA	0.8888888888888888	NA	NA
D	sensitivity	multik_fallback_depth_rule	0.01	1	NA	0.8024691358024691	NA	NA
D	sensitivity	multik_fallback_depth_rule	0.03	1	NA	0.8888888888888888	NA	NA
D	sensitivity	multik_fallback_depth_rule	0.05	1	NA	0.8888888888888888	NA	NA
D	sensitivity	multik_fallback_depth_rule	0.01	3	NA	0.8395061728395061	NA	NA
D	sensitivity	multik_fallback_depth_rule	0.03	3	NA	0.8888888888888888	NA	NA
D	sensitivity	multik_fallback_depth_rule	0.05	3	NA	0.8888888888888888	NA	NA
E	false_positive_rate	single_k21	0.01	1	NA	0.18518518518518517	NA	NA
E	false_positive_rate	single_k21	0.03	1	NA	0.8888888888888888	NA	NA
E	false_positive_rate	single_k21	0.05	1	NA	0.8888888888888888	NA	NA
E	false_positive_rate	single_k21	0.01	3	NA	0.14814814814814814	NA	NA
E	false_positive_rate	single_k21	0.03	3	NA	0.8580246913580247	NA	NA
E	false_positive_rate	single_k21	0.05	3	NA	0.8888888888888888	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	0.01	1	NA	0.18518518518518517	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	0.03	1	NA	0.8888888888888888	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	0.05	1	NA	0.8888888888888888	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	0.01	3	NA	0.35185185185185186	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	0.03	3	NA	0.8888888888888888	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	0.05	3	NA	0.8888888888888888	NA	NA
F	mean_full_assembly_base_recall	NA	0.01	1	1	0.7549050228500785	9	9
F	mean_full_assembly_base_recall	NA	0.03	1	1	0.0007930852467669569	9	9
F	mean_full_assembly_base_recall	NA	0.05	1	1	0.0	9	9
F	mean_full_assembly_base_recall	NA	0.01	3	1	0.6928139412867815	9	9
F	mean_full_assembly_base_recall	NA	0.03	3	1	0.0007930852467669569	9	9
F	mean_full_assembly_base_recall	NA	0.05	3	1	0.0	9	9
