seed	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5101	1	0	5000	1	f1	1.0	False	1.0053	consistent	False	TN
5101	1	0	5000	1	f2	1.0	False	0.9921	consistent	False	TN
5101	1	0	5000	1	f3	1.0	False	0.8004	consistent	False	TN
5101	1	0	5000	0.75	f1	0.75	False	0.7542	consistent	False	TN
5101	1	0	5000	0.75	f2	0.75	False	0.7441	consistent	False	TN
5101	1	0	5000	0.75	f3	0.75	False	0.6003	consistent	False	TN
5101	1	0	5000	0.5	f1	0.5	True	0.5031	possible_collapse	True	TP
5101	1	0	5000	0.5	f2	0.5	True	0.4961	possible_collapse	True	TP
5101	1	0	5000	0.5	f3	0.5	True	0.4002	possible_collapse	True	TP
5101	1	0	5000	0.25	f1	0.25	True	0.252	possible_collapse	True	TP
5101	1	0	5000	0.25	f2	0.25	True	0.248	possible_collapse	True	TP
5101	1	0	5000	0.25	f3	0.25	True	0.2001	possible_collapse	True	TP
5101	1	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5101	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5101	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5101	1	0.001	5000	1	f1	1.0	False	1.0583	consistent	False	TN
5101	1	0.001	5000	1	f2	1.0	False	1.0045	consistent	False	TN
5101	1	0.001	5000	1	f3	1.0	False	0.82	consistent	False	TN
5101	1	0.001	5000	0.75	f1	0.75	False	0.7939	consistent	False	TN
5101	1	0.001	5000	0.75	f2	0.75	False	0.7534	consistent	False	TN
5101	1	0.001	5000	0.75	f3	0.75	False	0.615	consistent	False	TN
5101	1	0.001	5000	0.5	f1	0.5	True	0.5296	possible_collapse	True	TP
5101	1	0.001	5000	0.5	f2	0.5	True	0.5023	possible_collapse	True	TP
5101	1	0.001	5000	0.5	f3	0.5	True	0.41	possible_collapse	True	TP
5101	1	0.001	5000	0.25	f1	0.25	True	0.2652	possible_collapse	True	TP
5101	1	0.001	5000	0.25	f2	0.25	True	0.2511	possible_collapse	True	TP
5101	1	0.001	5000	0.25	f3	0.25	True	0.205	possible_collapse	True	TP
5101	1	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5101	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5101	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5101	1	0.01	5000	1	f1	1.0	False	1.2567	consistent	False	TN
5101	1	0.01	5000	1	f2	1.0	False	1.1994	consistent	False	TN
5101	1	0.01	5000	1	f3	1.0	False	0.9897	consistent	False	TN
5101	1	0.01	5000	0.75	f1	0.75	False	0.9428	consistent	False	TN
5101	1	0.01	5000	0.75	f2	0.75	False	0.8996	consistent	False	TN
5101	1	0.01	5000	0.75	f3	0.75	False	0.7423	consistent	False	TN
5101	1	0.01	5000	0.5	f1	0.5	True	0.6289	consistent	False	FN
5101	1	0.01	5000	0.5	f2	0.5	True	0.5997	possible_collapse	True	TP
5101	1	0.01	5000	0.5	f3	0.5	True	0.4948	possible_collapse	True	TP
5101	1	0.01	5000	0.25	f1	0.25	True	0.3149	possible_collapse	True	TP
5101	1	0.01	5000	0.25	f2	0.25	True	0.2999	possible_collapse	True	TP
5101	1	0.01	5000	0.25	f3	0.25	True	0.2474	possible_collapse	True	TP
5101	1	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5101	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5101	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5101	5	0	5000	1	f1	1.0	False	0.9349	consistent	False	TN
5101	5	0	5000	1	f2	1.0	False	1.526	possible_overexpansion	False	TN
5101	5	0	5000	1	f3	1.0	False	0.962	consistent	False	TN
5101	5	0	5000	0.75	f1	0.75	False	0.7013	consistent	False	TN
5101	5	0	5000	0.75	f2	0.75	False	1.1445	consistent	False	TN
5101	5	0	5000	0.75	f3	0.75	False	0.7215	consistent	False	TN
5101	5	0	5000	0.5	f1	0.5	True	0.4678	possible_collapse	True	TP
5101	5	0	5000	0.5	f2	0.5	True	0.763	consistent	False	FN
5101	5	0	5000	0.5	f3	0.5	True	0.481	possible_collapse	True	TP
5101	5	0	5000	0.25	f1	0.25	True	0.2343	possible_collapse	True	TP
5101	5	0	5000	0.25	f2	0.25	True	0.3815	possible_collapse	True	TP
5101	5	0	5000	0.25	f3	0.25	True	0.2405	possible_collapse	True	TP
5101	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5101	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5101	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5101	5	0.001	5000	1	f1	1.0	False	0.9527	consistent	False	TN
5101	5	0.001	5000	1	f2	1.0	False	1.5556	possible_overexpansion	False	TN
5101	5	0.001	5000	1	f3	1.0	False	0.9818	consistent	False	TN
5101	5	0.001	5000	0.75	f1	0.75	False	0.7147	consistent	False	TN
5101	5	0.001	5000	0.75	f2	0.75	False	1.1667	consistent	False	TN
5101	5	0.001	5000	0.75	f3	0.75	False	0.7364	consistent	False	TN
