seed	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5201	1	0	5000	1	f1	1.0	False	1.0045	consistent	False	TN
5201	1	0	5000	1	f2	1.0	False	4.0184	possible_overexpansion	False	TN
5201	1	0	5000	1	f3	1.0	False	1.0045	consistent	False	TN
5201	1	0	5000	0.75	f1	0.75	False	0.7534	consistent	False	TN
5201	1	0	5000	0.75	f2	0.75	False	3.0139	possible_overexpansion	False	TN
5201	1	0	5000	0.75	f3	0.75	False	0.7534	consistent	False	TN
5201	1	0	5000	0.5	f1	0.5	True	0.5023	possible_collapse	True	TP
5201	1	0	5000	0.5	f2	0.5	True	2.0093	possible_overexpansion	False	FN
5201	1	0	5000	0.5	f3	0.5	True	0.5023	possible_collapse	True	TP
5201	1	0	5000	0.25	f1	0.25	True	0.2511	possible_collapse	True	TP
5201	1	0	5000	0.25	f2	0.25	True	1.0048	consistent	False	FN
5201	1	0	5000	0.25	f3	0.25	True	0.2511	possible_collapse	True	TP
5201	1	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5201	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5201	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5201	1	0.001	5000	1	f1	1.0	False	1.0045	consistent	False	TN
5201	1	0.001	5000	1	f2	1.0	False	4.0184	possible_overexpansion	False	TN
5201	1	0.001	5000	1	f3	1.0	False	1.0303	consistent	False	TN
5201	1	0.001	5000	0.75	f1	0.75	False	0.7534	consistent	False	TN
5201	1	0.001	5000	0.75	f2	0.75	False	3.0139	possible_overexpansion	False	TN
5201	1	0.001	5000	0.75	f3	0.75	False	0.7727	consistent	False	TN
5201	1	0.001	5000	0.5	f1	0.5	True	0.5023	possible_collapse	True	TP
5201	1	0.001	5000	0.5	f2	0.5	True	2.0093	possible_overexpansion	False	FN
5201	1	0.001	5000	0.5	f3	0.5	True	0.5151	possible_collapse	True	TP
5201	1	0.001	5000	0.25	f1	0.25	True	0.2511	possible_collapse	True	TP
5201	1	0.001	5000	0.25	f2	0.25	True	1.0048	consistent	False	FN
5201	1	0.001	5000	0.25	f3	0.25	True	0.2576	possible_collapse	True	TP
5201	1	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5201	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5201	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5201	1	0.01	5000	1	f1	1.0	False	1.2557	consistent	False	TN
5201	1	0.01	5000	1	f2	1.0	False	5.023	possible_overexpansion	False	TN
5201	1	0.01	5000	1	f3	1.0	False	1.2401	consistent	False	TN
5201	1	0.01	5000	0.75	f1	0.75	False	0.9417	consistent	False	TN
5201	1	0.01	5000	0.75	f2	0.75	False	3.7673	possible_overexpansion	False	TN
5201	1	0.01	5000	0.75	f3	0.75	False	0.9301	consistent	False	TN
5201	1	0.01	5000	0.5	f1	0.5	True	0.6278	consistent	False	FN
5201	1	0.01	5000	0.5	f2	0.5	True	2.5117	possible_overexpansion	False	FN
5201	1	0.01	5000	0.5	f3	0.5	True	0.6201	consistent	False	FN
5201	1	0.01	5000	0.25	f1	0.25	True	0.3139	possible_collapse	True	TP
5201	1	0.01	5000	0.25	f2	0.25	True	1.256	consistent	False	FN
5201	1	0.01	5000	0.25	f3	0.25	True	0.31	possible_collapse	True	TP
5201	1	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5201	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5201	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5201	5	0	5000	1	f1	1.0	False	2.4987	possible_overexpansion	False	TN
5201	5	0	5000	1	f2	1.0	False	1.1935	consistent	False	TN
5201	5	0	5000	1	f3	1.0	False	1.0325	consistent	False	TN
5201	5	0	5000	0.75	f1	0.75	False	1.8741	possible_overexpansion	False	TN
5201	5	0	5000	0.75	f2	0.75	False	0.8952	consistent	False	TN
5201	5	0	5000	0.75	f3	0.75	False	0.7744	consistent	False	TN
5201	5	0	5000	0.5	f1	0.5	True	1.2494	consistent	False	FN
5201	5	0	5000	0.5	f2	0.5	True	0.5968	possible_collapse	True	TP
5201	5	0	5000	0.5	f3	0.5	True	0.5163	possible_collapse	True	TP
5201	5	0	5000	0.25	f1	0.25	True	0.6247	consistent	False	FN
5201	5	0	5000	0.25	f2	0.25	True	0.2984	possible_collapse	True	TP
5201	5	0	5000	0.25	f3	0.25	True	0.2581	possible_collapse	True	TP
5201	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5201	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5201	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5201	5	0.001	5000	1	f1	1.0	False	2.5628	possible_overexpansion	False	TN
5201	5	0.001	5000	1	f2	1.0	False	1.2265	consistent	False	TN
5201	5	0.001	5000	1	f3	1.0	False	1.0532	consistent	False	TN
5201	5	0.001	5000	0.75	f1	0.75	False	1.9221	possible_overexpansion	False	TN
5201	5	0.001	5000	0.75	f2	0.75	False	0.9199	consistent	False	TN
5201	5	0.001	5000	0.75	f3	0.75	False	0.7899	consistent	False	TN
5201	5	0.001	5000	0.5	f1	0.5	True	1.2814	consistent	False	FN
5201	5	0.001	5000	0.5	f2	0.5	True	0.6133	consistent	False	FN
5201	5	0.001	5000	0.5	f3	0.5	True	0.5266	possible_collapse	True	TP
5201	5	0.001	5000	0.25	f1	0.25	True	0.6407	consistent	False	FN
5201	5	0.001	5000	0.25	f2	0.25	True	0.3067	possible_collapse	True	TP
5201	5	0.001	5000	0.25	f3	0.25	True	0.2633	possible_collapse	True	TP
5201	5	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5201	5	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5201	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5201	5	0.01	5000	1	f1	1.0	False	3.2242	possible_overexpansion	False	TN
5201	5	0.01	5000	1	f2	1.0	False	1.4646	consistent	False	TN
5201	5	0.01	5000	1	f3	1.0	False	1.2732	consistent	False	TN
5201	5	0.01	5000	0.75	f1	0.75	False	2.4181	possible_overexpansion	False	TN
5201	5	0.01	5000	0.75	f2	0.75	False	1.0985	consistent	False	TN
5201	5	0.01	5000	0.75	f3	0.75	False	0.9549	consistent	False	TN
5201	5	0.01	5000	0.5	f1	0.5	True	1.6121	possible_overexpansion	False	FN
5201	5	0.01	5000	0.5	f2	0.5	True	0.7323	consistent	False	FN
5201	5	0.01	5000	0.5	f3	0.5	True	0.6366	consistent	False	FN
5201	5	0.01	5000	0.25	f1	0.25	True	0.806	consistent	False	FN
5201	5	0.01	5000	0.25	f2	0.25	True	0.3662	possible_collapse	True	TP
5201	5	0.01	5000	0.25	f3	0.25	True	0.3183	possible_collapse	True	TP
5201	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5201	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5201	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5201	20	0	5000	1	f1	1.0	False	0.9149	consistent	False	TN
5201	20	0	5000	1	f2	1.0	False	1.0992	consistent	False	TN
5201	20	0	5000	1	f3	1.0	False	1.0286	consistent	False	TN
5201	20	0	5000	0.75	f1	0.75	False	0.6862	consistent	False	TN
5201	20	0	5000	0.75	f2	0.75	False	0.8244	consistent	False	TN
