seed	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5201	1	0	5000	f1	20	19.91	-0.004499999999999993	0.004499999999999993	18.9145	19.91	False	0.04977499999999999	19.91	-0.004499999999999993	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0	5000	f2	80	19.91	-0.751125	0.751125	18.9145	20.9055	False	0.024887499999999996	20.468877192982458	-0.7441390350877193	-0.006985964912280718	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0	5000	f3	200	199.1	-0.004500000000000028	0.004500000000000028	195.118	200.0955	True	0.024887499999999962	199.08581235154392	-0.004570938242280391	7.093824228036282e-05	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0.001	5000	f1	20	19.91	-0.004499999999999993	0.004499999999999993	17.919	19.91	False	0.09954999999999999	19.91	-0.004499999999999993	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0.001	5000	f2	80	19.91	-0.751125	0.751125	18.9145	20.9055	False	0.024887499999999996	20.468877192982458	-0.7441390350877193	-0.006985964912280718	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0.001	5000	f3	200	194.1225	-0.02938749999999999	0.02938749999999999	189.145	197.109	False	0.039819999999999994	199.08581235154392	-0.004570938242280391	-0.024816561757719596	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0.01	5000	f1	20	15.928	-0.20359999999999995	0.20359999999999995	13.937	16.9235	False	0.14932500000000007	19.91	-0.004499999999999993	-0.19909999999999997	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0.01	5000	f2	80	15.928	-0.8009000000000001	0.8009000000000001	14.9325	18.9145	False	0.049775000000000014	20.468877192982458	-0.7441390350877193	-0.056760964912280706	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	1	0.01	5000	f3	200	161.271	-0.19364500000000007	0.19364500000000007	153.307	167.244	False	0.06968500000000005	199.08581235154392	-0.004570938242280391	-0.18907406175771968	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0	5000	f1	20	8.004	-0.5998	0.5998	7.6038	8.004	False	0.020009999999999993	8.004020100502514	-0.5997989949748743	-1.0050251256998878e-06	diagnostic_kmer_10_90_spread_not_sampling_CI
