seed	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments
5201	1	f1	1220	1220	1220	1.0	1.0	1
5201	1	f2	13680	13681	13680	1.0	0.9999269059279292	1
5201	1	f3	84200	84200	84200	1.0	1.0	1
5201	0.75	f1	915	915	915	1.0	1.0	1
5201	0.75	f2	10260	10261	10260	1.0	0.9999025436117337	1
5201	0.75	f3	63150	63150	63150	1.0	1.0	1
5201	0.5	f1	610	610	610	1.0	1.0	1
5201	0.5	f2	6840	6841	6840	1.0	0.9998538225405642	1
5201	0.5	f3	42100	42100	42100	1.0	1.0	1
5201	0.25	f1	305	305	305	1.0	1.0	1
5201	0.25	f2	3420	3421	3420	1.0	0.9997076878105817	1
5201	0.25	f3	21050	21050	21050	1.0	1.0	1
5201	0	f1	0	0	0	NA	NA	0
5201	0	f2	0	0	0	NA	NA	0
5201	0	f3	0	0	0	NA	NA	0
5202	1	f1	1220	1226	1220	1.0	0.9951060358890701	1
5202	1	f2	13680	13680	13680	1.0	1.0	1
5202	1	f3	84200	84200	84200	1.0	1.0	1
5202	0.75	f1	915	921	915	1.0	0.993485342019544	1
5202	0.75	f2	10260	10260	10260	1.0	1.0	1
5202	0.75	f3	63150	63150	63150	1.0	1.0	1
5202	0.5	f1	610	616	610	1.0	0.9902597402597403	1
5202	0.5	f2	6840	6840	6840	1.0	1.0	1
5202	0.5	f3	42100	42100	42100	1.0	1.0	1
5202	0.25	f1	305	311	305	1.0	0.9807073954983923	1
5202	0.25	f2	3420	3420	3420	1.0	1.0	1
5202	0.25	f3	21050	21050	21050	1.0	1.0	1
5202	0	f1	0	0	0	NA	NA	0
5202	0	f2	0	0	0	NA	NA	0
5202	0	f3	0	0	0	NA	NA	0
5203	1	f1	1220	1220	1220	1.0	1.0	1
5203	1	f2	13680	13681	13680	1.0	0.9999269059279292	1
5203	1	f3	84200	84200	84200	1.0	1.0	1
5203	0.75	f1	915	915	915	1.0	1.0	1
5203	0.75	f2	10260	10261	10260	1.0	0.9999025436117337	1
5203	0.75	f3	63150	63150	63150	1.0	1.0	1
5203	0.5	f1	610	610	610	1.0	1.0	1
5203	0.5	f2	6840	6841	6840	1.0	0.9998538225405642	1
5203	0.5	f3	42100	42100	42100	1.0	1.0	1
5203	0.25	f1	305	305	305	1.0	1.0	1
5203	0.25	f2	3420	3421	3420	1.0	0.9997076878105817	1
5203	0.25	f3	21050	21050	21050	1.0	1.0	1
5203	0	f1	0	0	0	NA	NA	0
5203	0	f2	0	0	0	NA	NA	0
5203	0	f3	0	0	0	NA	NA	0
