seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5301	0.01	1	500	iid_base	0.9	1	f1	1220	1205	1204	0.9868852459016394	0.9991701244813278	1	1
5301	0.01	1	500	iid_base	0.9	1	f2	13680	13681	13680	1.0	0.9999269059279292	1	1
5301	0.01	1	500	iid_base	0.9	1	f3	84200	84198	84198	0.9999762470308788	1.0	1	1
5301	0.01	1	500	iid_base	0.9	0.75	f1	915	916	915	1.0	0.9989082969432315	1	1
5301	0.01	1	500	iid_base	0.9	0.75	f2	10260	10261	10260	1.0	0.9999025436117337	1	1
5301	0.01	1	500	iid_base	0.9	0.75	f3	63150	63148	63148	0.9999683293745052	1.0	1	1
5301	0.01	1	500	iid_base	0.9	0.5	f1	610	611	610	1.0	0.9983633387888707	1	1
5301	0.01	1	500	iid_base	0.9	0.5	f2	6840	6841	6840	1.0	0.9998538225405642	1	1
5301	0.01	1	500	iid_base	0.9	0.5	f3	42100	42098	42098	0.9999524940617577	1.0	1	1
5301	0.01	1	500	iid_base	0.9	0.25	f1	305	279	278	0.9114754098360656	0.996415770609319	1	1
5301	0.01	1	500	iid_base	0.9	0.25	f2	3420	3421	3420	1.0	0.9997076878105817	1	1
5301	0.01	1	500	iid_base	0.9	0.25	f3	21050	21040	21040	0.9995249406175772	1.0	1	1
5301	0.01	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5301	0.01	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5301	0.01	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5301	0.01	3	500	iid_base	0.9	1	f1	1220	1205	1204	0.9868852459016394	0.9991701244813278	3	3
5301	0.01	3	500	iid_base	0.9	1	f2	13680	13683	13680	1.0	0.9997807498355624	3	3
5301	0.01	3	500	iid_base	0.9	1	f3	84200	84199	84198	0.9999762470308788	0.9999881233743869	3	3
5301	0.01	3	500	iid_base	0.9	0.75	f1	915	882	881	0.9628415300546448	0.9988662131519275	3	3
5301	0.01	3	500	iid_base	0.9	0.75	f2	10260	10260	10257	0.9997076023391813	0.9997076023391813	3	3
5301	0.01	3	500	iid_base	0.9	0.75	f3	63150	63138	63137	0.9997941409342834	0.9999841616775951	3	3
5301	0.01	3	500	iid_base	0.9	0.5	f1	610	607	606	0.9934426229508196	0.9983525535420099	3	3
5301	0.01	3	500	iid_base	0.9	0.5	f2	6840	6843	6840	1.0	0.9995615957913196	3	3
5301	0.01	3	500	iid_base	0.9	0.5	f3	42100	42080	42079	0.9995011876484561	0.9999762357414449	3	3
5301	0.01	3	500	iid_base	0.9	0.25	f1	305	245	244	0.8	0.9959183673469387	2	3
5301	0.01	3	500	iid_base	0.9	0.25	f2	3420	3423	3420	1.0	0.9991235758106923	3	3
5301	0.01	3	500	iid_base	0.9	0.25	f3	21050	21021	21021	0.9986223277909738	1.0	3	3
5301	0.01	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5301	0.01	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5301	0.01	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5301	0.03	1	500	iid_base	0.9	1	f1	1220	1212	1211	0.9926229508196721	0.9991749174917491	1	1
5301	0.03	1	500	iid_base	0.9	1	f2	13680	13681	13680	1.0	0.9999269059279292	1	1
5301	0.03	1	500	iid_base	0.9	1	f3	84200	84147	84147	0.9993705463182898	1.0	1	1
5301	0.03	1	500	iid_base	0.9	0.75	f1	915	895	894	0.9770491803278688	0.9988826815642458	1	1
5301	0.03	1	500	iid_base	0.9	0.75	f2	10260	10261	10260	1.0	0.9999025436117337	1	1
5301	0.03	1	500	iid_base	0.9	0.75	f3	63150	63134	63134	0.9997466349960412	1.0	1	1
5301	0.03	1	500	iid_base	0.9	0.5	f1	610	606	605	0.9918032786885246	0.9983498349834984	1	1
5301	0.03	1	500	iid_base	0.9	0.5	f2	6840	6830	6829	0.998391812865497	0.9998535871156662	1	1
5301	0.03	1	500	iid_base	0.9	0.5	f3	42100	42082	42082	0.9995724465558194	1.0	1	1
5301	0.03	1	500	iid_base	0.9	0.25	f1	305	273	272	0.8918032786885246	0.9963369963369964	1	1
5301	0.03	1	500	iid_base	0.9	0.25	f2	3420	3403	3402	0.9947368421052631	0.9997061416397296	1	1
5301	0.03	1	500	iid_base	0.9	0.25	f3	21050	21034	21034	0.9992399049881235	1.0	1	1
5301	0.03	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5301	0.03	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5301	0.03	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5301	0.03	3	500	iid_base	0.9	1	f1	1220	1193	1192	0.9770491803278688	0.9991617770326907	3	3
5301	0.03	3	500	iid_base	0.9	1	f2	13680	13660	13658	0.998391812865497	0.9998535871156662	3	3
5301	0.03	3	500	iid_base	0.9	1	f3	84200	84146	84145	0.9993467933491686	0.9999881158938037	3	3
5301	0.03	3	500	iid_base	0.9	0.75	f1	915	857	856	0.9355191256830601	0.9988331388564761	3	3
5301	0.03	3	500	iid_base	0.9	0.75	f2	10260	10227	10225	0.996588693957115	0.9998044392294906	3	3
5301	0.03	3	500	iid_base	0.9	0.75	f3	63150	63097	63097	0.9991607284243864	1.0	3	3
5301	0.03	3	500	iid_base	0.9	0.5	f1	610	592	591	0.9688524590163935	0.9983108108108109	3	3
5301	0.03	3	500	iid_base	0.9	0.5	f2	6840	6819	6817	0.9966374269005848	0.9997067018624431	3	3
5301	0.03	3	500	iid_base	0.9	0.5	f3	42100	42047	42047	0.9987410926365796	1.0	3	3
5301	0.03	3	500	iid_base	0.9	0.25	f1	305	242	241	0.7901639344262295	0.9958677685950413	2	3
5301	0.03	3	500	iid_base	0.9	0.25	f2	3420	3366	3364	0.9836257309941521	0.9994058229352347	3	3
5301	0.03	3	500	iid_base	0.9	0.25	f3	21050	21001	21001	0.9976722090261283	1.0	3	3
5301	0.03	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5301	0.03	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5301	0.03	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5301	0.05	1	500	iid_base	0.9	1	f1	1220	1109	1108	0.9081967213114754	0.9990982867448152	2	1
5301	0.05	1	500	iid_base	0.9	1	f2	13680	13672	13671	0.9993421052631579	0.9999268578115857	1	1
5301	0.05	1	500	iid_base	0.9	1	f3	84200	84163	84163	0.9995605700712589	1.0	1	1
5301	0.05	1	500	iid_base	0.9	0.75	f1	915	815	814	0.8896174863387978	0.9987730061349693	2	1
5301	0.05	1	500	iid_base	0.9	0.75	f2	10260	10245	10244	0.9984405458089669	0.9999023914104441	1	1
5301	0.05	1	500	iid_base	0.9	0.75	f3	63150	63110	63110	0.9993665874901029	1.0	1	1
5301	0.05	1	500	iid_base	0.9	0.5	f1	610	603	602	0.9868852459016394	0.9983416252072969	1	1
5301	0.05	1	500	iid_base	0.9	0.5	f2	6840	6822	6821	0.9972222222222222	0.9998534154206977	1	1
5301	0.05	1	500	iid_base	0.9	0.5	f3	42100	42084	42084	0.9996199524940618	1.0	1	1
5301	0.05	1	500	iid_base	0.9	0.25	f1	305	281	280	0.9180327868852459	0.99644128113879	1	1
5301	0.05	1	500	iid_base	0.9	0.25	f2	3420	3403	3402	0.9947368421052631	0.9997061416397296	1	1
5301	0.05	1	500	iid_base	0.9	0.25	f3	21050	21007	21007	0.997957244655582	1.0	1	1
5301	0.05	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5301	0.05	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5301	0.05	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5301	0.05	3	500	iid_base	0.9	1	f1	1220	1081	1080	0.8852459016393442	0.9990749306197965	4	3
5301	0.05	3	500	iid_base	0.9	1	f2	13680	13547	13546	0.9902046783625731	0.9999261829187274	3	3
